state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,asymptomatic_hiv_positive_female,asymptomatic_hiv_positive_male,asymptomatic_hiv_positive_total,confirmed_to_have_aids_female,confirmed_to_have_aids_male,confirmed_to_have_aids_total,infected_with_lesser_forms_of_symptomatic_hiv_disease_female,infected_with_lesser_forms_of_symptomatic_hiv_disease_male,infected_with_lesser_forms_of_symptomatic_hiv_disease_total,total_in_custody_hiv_positive_or_with_aids_female,total_in_custody_hiv_positive_or_with_aids_male,total_in_custody_hiv_positive_or_with_aids_total
New Jersey,2016,6962122,5682758,8944469,4575789,4368680,3607261,3354861,2870624,2812134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey,2015,6960879,5715537,8958013,4581199,4376814,3605135,3355744,2888521,2827016,0,0,0,2,12,14,17,183,200,19,195,214
New Jersey,2014,6926870,5713070,8938175,4568381,4369794,3591661,3335209,2889520,2823550,0,0,0,0,17,17,19,202,221,19,219,238
New Jersey,2013,6879591,5686255,8899339,4559251,4340088,3569159,3310432,2874162,2812093,0,0,0,2,22,24,22,219,241,24,241,265
New Jersey,2012,6838531,5691193,8864590,4548369,4316221,3556346,3282185,2887219,2803974,0,0,0,2,24,26,19,258,277,21,282,303
New Jersey,2011,6780274,5656091,8821155,4522404,4298751,3527273,3253001,2866666,2789425,NA,NA,NA,4,56,60,20,292,312,24,348,372
New Jersey,2010,6739909,5623488,8801624,4519141,4282483,3509380,3230529,2853408,2770080,0,0,0,4,69,73,27,320,347,31,389,420
New Jersey,2009,6662880,5575807,8707740,4440517,4267223,3442797,3220083,2801694,2774113,0,0,0,3,73,76,29,312,341,32,385,417
New Jersey,2008,6635601,5574997,8682661,4430714,4251947,3426778,3208823,2799079,2775918,0,0,0,6,101,107,46,367,413,52,468,520
New Jersey,2007,6634776,5577116,8685920,4436132,4249788,3440254,3194522,2813043,2764073,0,0,0,6,128,134,57,359,416,63,487,550
New Jersey,2006,6632707,5581945,8724560,4465756,4258804,3435497,3197210,2812620,2769325,0,0,0,17,122,139,61,412,473,78,534,612
New Jersey,2005,6364651,5349459,8524868,4375857,4149011,3330969,3033682,2735143,2614316,0,0,0,19,99,118,58,364,422,77,463,540
New Jersey,2004,6352672,5344939,8503294,4393227,4110067,3332843,3019829,2740855,2604084,NA,NA,NA,21,181,202,60,393,453,81,574,655
New Jersey,2003,6320351,5325514,8444076,4354803,4089273,3319461,3000890,2730543,2594971,NA,NA,NA,17,151,168,71,418,489,88,569,657
New Jersey,2002,6275385,5282513,8395357,4327542,4067815,3296695,2978690,2710532,2571981,0,0,0,14,153,167,51,538,589,65,691,756
New Jersey,2001,6357318,5375232,8289599,4295870,3993729,3345181,3012137,2755563,2619669,NA,NA,NA,26,157,183,65,556,621,91,713,804
New Jersey,2000,6091506,5119380,8206336,4209681,3996655,3208416,2883090,2631332,2488048,38,79,117,15,146,161,37,456,493,90,681,771
New Jersey,1999,6073078.1,5102803.5,8155602.2,4186746.4,3968855.8,3198096.7,2874981.4,2620906.1,2481897.4,NA,NA,NA,29,186,215,93,561,654,122,747,869
New Jersey,1998,6054650.2,5086227,8104868.4,4163811.8,3941056.6,3187777.4,2866872.8,2610480.2,2475746.8,NA,NA,NA,25,231,256,99,569,668,124,800,924
New Jersey,1997,6036222.3,5069650.5,8054134.6,4140877.2,3913257.4,3177458.1,2858764.2,2600054.3,2469596.2,NA,NA,565,NA,NA,302,NA,NA,NA,71,796,867
New Jersey,1996,6017794.4,5053074,8003400.8,4117942.6,3885458.2,3167138.8,2850655.6,2589628.4,2463445.6,NA,NA,445,NA,NA,260,NA,NA,NA,91,614,705
New Jersey,1995,5999366.5,5036497.5,7952667,4095008,3857659,3156819.5,2842547,2579202.5,2457295,NA,NA,504,NA,NA,343,NA,NA,NA,99,748,847
New Jersey,1994,5980938.6,5019921,7901933.2,4072073.4,3829859.8,3146500.2,2834438.4,2568776.6,2451144.4,NA,NA,563,NA,NA,207,NA,NA,NA,75,695,770
New Jersey,1993,5962510.7,5003344.5,7851199.4,4049138.8,3802060.6,3136180.9,2826329.8,2558350.7,2444993.8,NA,NA,774,NA,NA,107,NA,NA,NA,72,809,881
New Jersey,1992,5944082.8,4986768,7800465.6,4026204.2,3774261.4,3125861.6,2818221.2,2547924.8,2438843.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1326
New Jersey,1991,5925654.9,4970191.5,7749731.8,4003269.6,3746462.2,3115542.3,2810112.6,2537498.9,2432692.6,NA,NA,0,NA,NA,62,NA,NA,694,NA,NA,756
