state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
North Dakota,2016,584891,480919,757953,367311,390642,284469,300422,227303,253616,95,1544,95,165,260,0,1379,1379,NA,NA,NA,0,1379,1379
North Dakota,2015,584774,482817,756928,368326,388602,284233,300541,227159,255658,208,1564,208,219,427,0,1345,1345,NA,NA,NA,0,1345,1345
North Dakota,2014,572255,474147,739482,362327,377155,281476,290779,227326,246821,204,1492,204,167,371,0,1325,1325,NA,NA,NA,0,1325,1325
North Dakota,2013,563342,470064,723393,354742,368651,276354,286988,224507,245557,157,1419,157,162,319,0,1257,1257,0,0,0,0,1257,1257
North Dakota,2012,546266,452599,699628,340386,359242,265616,280650,212354,240245,171,1242,0,0,0,171,1242,1413,0,0,0,171,1242,1413
North Dakota,2011,532740,438520,683932,338937,344995,264562,268178,212106,226414,147,1238,0,0,0,147,1238,1385,0,0,0,147,1238,1385
North Dakota,2010,524634,433967,674499,331184,343315,259417,265217,208430,225537,173,1243,0,0,0,173,1243,1416,0,0,0,173,1243,1416
North Dakota,2009,504757,415578,646844,325534,321310,255336,249421,204131,211447,174,1262,0,0,0,174,1262,1436,NA,NA,NA,174,1262,1436
North Dakota,2008,504597,419055,641481,318526,322955,255384,249213,204956,214099,159,1220,0,0,0,159,1220,1379,NA,NA,NA,159,1220,1379
North Dakota,2007,497018,412734,639715,317330,322385,247684,249334,198765,213969,147,1245,0,0,0,147,1245,1392,NA,NA,NA,147,1245,1392
North Dakota,2006,493893,405285,635867,318440,317427,251386,242507,200585,204700,158,1179,0,0,0,158,1179,1337,NA,NA,NA,158,1179,1337
North Dakota,2005,477908,397941,621063,315374,305689,243875,234033,196980,200961,153,1165,0,47,47,153,1118,1271,0,0,0,153,1118,1271
North Dakota,2004,472176,390994,609691,306842,302849,239698,232478,192567,198427,93,1037,0,35,35,93,1002,1095,0,0,0,93,1002,1095
North Dakota,2003,463605,383112,609236,305790,303446,234417,229188,188330,194782,97,1003,0,0,0,97,1003,1100,0,0,0,97,1003,1100
North Dakota,2002,463533,382827,610245,307685,302560,234859,228674,188632,194195,100,1017,0,23,23,100,994,1094,NA,NA,NA,100,994,1094
North Dakota,2001,471608,391036,610793,306740,304053,238313,233295,192681,198355,112,976,0,44,44,112,932,1044,NA,NA,NA,112,932,1044
North Dakota,2000,455157,372544,609909,303685,306224,226381,228776,180457,192087,66,957,0,96,96,66,861,927,NA,NA,NA,66,861,927
North Dakota,1999,455748.8,372823.1,612427.6,305093,307334.6,227124.4,228624.4,180795.8,192027.3,69,845,0,0,0,69,845,914,0,0,0,69,845,914
North Dakota,1998,456340.6,373102.2,614946.2,306501,308445.2,227867.8,228472.8,181134.6,191967.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,871,941
North Dakota,1997,456932.4,373381.3,617464.8,307909,309555.8,228611.2,228321.2,181473.4,191907.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,757,823
North Dakota,1996,457524.2,373660.4,619983.4,309317,310666.4,229354.6,228169.6,181812.2,191848.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,708,765
North Dakota,1995,458116,373939.5,622502,310725,311777,230098,228018,182151,191788.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,633,670
North Dakota,1994,458707.8,374218.6,625020.6,312133,312887.6,230841.4,227866.4,182489.8,191728.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,571,612
North Dakota,1993,459299.6,374497.7,627539.2,313541,313998.2,231584.8,227714.8,182828.6,191669.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,542,572
North Dakota,1992,459891.4,374776.8,630057.8,314949,315108.8,232328.2,227563.2,183167.4,191609.4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,31,519,550
North Dakota,1991,460483.2,375055.9,632576.4,316357,316219.4,233071.6,227411.6,183506.2,191549.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,46,505,551
North Dakota,1990,461075,375335,635095,317765,317330,233815,227260,183845,191490,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,512,542
