state,year,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
Arkansas,1998,NA,NA,NA,NA,NA,NA
Arkansas,1999,NA,NA,NA,NA,NA,NA
Arkansas,2e3,NA,NA,NA,0,51,51
Arkansas,2001,NA,NA,NA,0,38,38
Arkansas,2002,NA,NA,NA,1,30,31
Arkansas,2003,0,0,0,1,27,28
Arkansas,2004,9,116,125,0,15,15
Arkansas,2005,6,129,135,0,19,19
Arkansas,2006,0,165,165,0,17,17
Arkansas,2007,6,168,174,0,19,19
Arkansas,2008,6,168,174,0,17,17
Arkansas,2009,4,183,187,0,17,17
Arkansas,2010,4,153,157,1,8,9
Arkansas,2011,100,1125,1225,0,6,6
Arkansas,2012,8,175,183,2,15,17
Arkansas,2013,8,205,213,1,13,14
Arkansas,2014,4,114,118,0,11,11
Arkansas,2015,8,279,287,0,15,15
Arkansas,2016,10,268,278,0,17,17
