state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Wisconsin,1978,0,0,0,11,81,92,88,1204,1292,0,0,0,0,62,62,1,72,73,1,55,56,5,53,58,0,0,0,106,1527,1633,0,0,0
Wisconsin,1979,NA,NA,NA,NA,NA,NA,74,1164,1238,0,0,0,0,67,67,3,107,110,1,54,55,3,66,69,0,0,0,88,1505,1593,0,0,0
Wisconsin,1980,NA,NA,NA,NA,NA,NA,79,1461,1540,2,34,36,0,108,108,3,132,135,0,52,52,3,74,77,0,0,0,87,1861,1948,0,0,0
Wisconsin,1981,NA,NA,NA,NA,NA,NA,107,1777,1884,1,79,80,0,88,88,3,139,142,1,45,46,5,96,101,0,0,0,117,2224,2341,0,0,0
Wisconsin,1982,NA,NA,NA,NA,NA,NA,134,1769,1903,0,0,0,1,66,67,0,122,122,3,67,70,1,141,142,0,0,0,139,2165,2304,0,0,0
Wisconsin,1983,NA,NA,NA,NA,NA,NA,133,1936,2069,0,0,0,3,143,146,3,190,193,2,97,99,8,134,142,NA,NA,NA,149,2500,2649,NA,NA,NA
Wisconsin,1984,NA,NA,NA,NA,NA,NA,130,1740,1870,7,130,137,4,101,105,3,145,148,4,82,86,10,172,182,NA,NA,NA,158,2370,2528,NA,NA,NA
Wisconsin,1985,NA,NA,NA,NA,NA,NA,134,1835,1969,0,2,2,1,127,128,7,191,198,1,126,127,6,159,165,NA,NA,NA,149,2440,2589,NA,NA,NA
Wisconsin,1986,NA,NA,NA,NA,NA,NA,150,1963,2113,0,1,1,3,132,135,2,232,234,6,112,118,8,182,190,NA,NA,NA,169,2622,2791,NA,NA,NA
Wisconsin,1987,NA,NA,NA,NA,NA,NA,153,2024,2177,0,0,0,2,134,136,1,274,275,5,107,112,12,156,168,NA,NA,NA,173,2695,2868,NA,NA,NA
Wisconsin,1988,NA,NA,NA,NA,NA,NA,143,1975,2118,0,0,0,4,160,164,17,348,365,3,41,44,6,78,84,NA,NA,NA,173,2602,2775,NA,NA,NA
