state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
Alabama,1978,NA,NA,NA,9,1331,1340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,257,5368,5625
Alabama,1979,NA,NA,NA,16,1299,1315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,243,5221,5464
Alabama,1980,NA,NA,NA,27,1383,1410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,47,265,6278,6543
Alabama,1981,NA,NA,NA,19,1453,1472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,286,298,318,7339,7657
Alabama,1982,NA,NA,NA,29,1084,1113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,376,406,476,8757,9233
Alabama,1983,NA,NA,NA,53,948,1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481,9375,9856
Alabama,1984,NA,NA,NA,21,436,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521,9961,10482
Alabama,1985,NA,NA,NA,16,382,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562,10453,11015
Alabama,1986,NA,NA,NA,27,487,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616,11094,11710
Alabama,1987,NA,NA,NA,31,732,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,732,12095,12827
Alabama,1988,NA,NA,NA,29,442,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,11858,12610
Alabama,1989,NA,NA,NA,32,792,824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845,13062,13907
Alabama,1990,NA,NA,NA,52,806,858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955,14710,15665
Alabama,1991,NA,NA,NA,69,1241,1310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1055,15705,16760
Alabama,1992,NA,NA,NA,43,923,966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1101,16352,17453
Alabama,1993,NA,NA,NA,48,1156,1204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1131,17493,18624
Alabama,1994,NA,NA,NA,82,1465,1547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1214,18359,19573
Alabama,1995,NA,NA,NA,24,776,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295,19423,20718
Alabama,1996,NA,NA,NA,76,1092,1168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1357,20403,21760
Alabama,1997,NA,NA,NA,92,1873,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1360,20930,22290
Alabama,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1461,21215,22676
