state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Wyoming,2016,445361,363174,585501,288697,296804,218603,226758,174854,188320,0,0,0,0,9,9,132,616,748,0,0,0,0,0,0,0,0,0,2,14,16,34,199,233,0,0,0,168,840,1008,0,2,2
Wyoming,2015,446677,368905,586107,293248,292859,222276,224401,181073,187832,0,0,0,1,5,6,118,637,755,0,0,0,0,0,0,0,0,0,1,20,21,18,148,166,0,0,0,138,815,953,0,5,5
Wyoming,2014,446810,374770,584153,287723,296430,220223,226587,180903,193867,0,0,0,0,5,5,102,650,752,0,0,0,0,0,0,0,0,0,1,15,16,23,146,169,0,0,0,126,822,948,0,6,6
Wyoming,2013,442390,373526,582658,286499,296159,219105,223285,182064,191462,0,0,0,0,11,11,125,683,808,0,0,0,0,0,0,0,0,0,1,22,23,29,144,173,0,0,0,155,865,1020,0,5,5
Wyoming,2012,440162,371589,576412,284411,292001,218097,222065,181444,190145,0,0,0,0,9,9,116,654,770,0,0,0,0,0,0,0,0,0,2,17,19,10,108,118,0,0,0,128,788,916,0,0,0
Wyoming,2011,433541,367758,568158,278935,289223,212981,220560,177593,190165,0,0,0,0,10,10,108,631,739,0,0,0,0,0,0,0,0,0,2,16,18,12,88,100,0,0,0,122,745,867,0,0,0
Wyoming,2010,427961,363280,564460,277752,286708,210827,217134,176212,187068,0,0,0,0,3,3,102,613,715,0,0,0,0,0,0,0,0,0,2,12,14,12,88,100,0,0,0,116,723,839,NA,7,NA
Wyoming,2009,414877,351648,544270,264778,279492,204172,210705,169202,182446,0,0,0,0,3,3,102,598,700,0,0,0,0,0,0,0,0,0,1,12,13,9,93,102,0,0,0,113,710,823,1,4,5
Wyoming,2008,404715,343138,532668,263380,269288,201704,203011,167914,175224,0,0,0,1,8,9,84,577,661,0,0,0,0,0,0,0,0,0,3,11,14,4,99,103,0,1,1,92,700,792,0,4,4
Wyoming,2007,396119,337062,522830,255652,267178,194600,201519,162972,174090,0,0,0,0,10,10,104,554,658,0,0,0,0,0,0,0,0,0,1,7,8,6,74,80,0,0,0,112,650,762,1,5,6
Wyoming,2006,393018,336338,515004,255976,259028,196867,196151,164884,171454,0,0,0,0,13,13,115,614,729,0,0,0,0,0,0,0,0,0,0,13,13,15,80,95,0,0,0,130,721,851,0,1,1
Wyoming,2005,383367,327533,494170,248594,245576,194756,188611,163422,164111,0,0,0,0,13,13,120,556,676,0,0,0,0,0,0,0,10,10,0,17,17,4,65,69,0,0,0,125,664,789,1,3,4
Wyoming,2004,376652,323598,492534,245797,246737,189525,187127,160839,162759,0,0,0,0,10,10,101,544,645,0,0,0,0,0,0,0,18,18,0,7,7,12,86,98,0,1,1,113,667,780,0,1,1
Wyoming,2003,367675,315308,487341,243545,243796,185285,182390,156305,159003,0,0,0,0,0,0,76,583,659,0,0,0,0,0,0,0,33,33,1,10,11,7,80,87,0,1,1,84,712,796,0,1,1
Wyoming,2002,363129,310337,484833,241138,243695,182866,180263,153869,156468,0,0,0,1,6,7,87,530,617,0,0,0,0,0,0,0,77,77,1,7,8,7,60,67,0,0,0,96,685,781,0,5,5
Wyoming,2001,358315,308081,480332,240876,239456,180820,177495,152861,155220,0,0,0,0,6,6,77,504,581,0,0,0,0,0,0,0,97,97,0,11,11,2,40,42,0,0,0,79,659,738,0,1,1
Wyoming,2000,347372,296289,473089,233255,239834,174054,173318,146185,150104,0,0,0,1,27,28,83,400,483,0,0,0,0,0,0,0,121,121,0,0,0,1,33,34,0,0,0,85,584,669,0,3,3
Wyoming,1999,344373.6,293952.8,471099,232686.1,238412.9,172697.4,171676.2,145060,148892.8,NA,NA,NA,1,3,4,86,437,523,0,0,0,0,0,0,0,214,214,NA,NA,NA,1,60,61,0,0,0,88,717,805,0,3,3
Wyoming,1998,341375.2,291616.6,469109,232117.2,236991.8,171340.8,170034.4,143935,147681.6,NA,NA,NA,NA,NA,NA,74,387,461,0,0,0,0,0,0,0,227,227,NA,NA,NA,1,59,60,0,3,3,76,681,757,0,3,3
Wyoming,1997,338376.8,289280.4,467119,231548.3,235570.7,169984.2,168392.6,142810,146470.4,NA,NA,NA,NA,NA,NA,90,390,480,0,0,0,0,0,0,0,174,174,NA,NA,NA,2,27,29,0,0,0,92,601,693,0,1,1
Wyoming,1996,335378.4,286944.2,465129,230979.4,234149.6,168627.6,166750.8,141685,145259.2,NA,NA,NA,NA,NA,NA,64,459,523,0,0,0,0,0,0,0,44,44,0,0,0,2,36,38,0,0,0,66,548,614,0,3,3
Wyoming,1995,332380,284608,463139,230410.5,232728.5,167271,165109,140560,144048,NA,NA,NA,NA,NA,NA,55,470,525,0,0,0,0,0,0,0,46,46,0,0,0,8,37,45,0,0,0,63,565,628,0,3,3
Wyoming,1994,329381.6,282271.8,461149,229841.6,231307.4,165914.4,163467.2,139435,142836.8,NA,NA,NA,NA,NA,NA,39,457,496,0,0,0,0,0,0,0,0,0,0,6,6,2,41,43,0,1,1,41,527,568,0,5,5
Wyoming,1993,326383.2,279935.6,459159,229272.7,229886.3,164557.8,161825.4,138310,141625.6,NA,NA,NA,NA,NA,NA,40,377,417,3,17,20,0,0,0,0,0,0,2,9,11,0,41,41,0,2,2,45,468,513,0,6,6
Wyoming,1992,323384.8,277599.4,457169,228703.8,228465.2,163201.2,160183.6,137185,140414.4,NA,NA,NA,NA,NA,NA,34,344,378,0,0,0,0,0,0,0,0,0,0,9,9,0,13,13,0,0,0,34,372,406,0,3,3
Wyoming,1991,320386.4,275263.2,455179,228134.9,227044.1,161844.6,158541.8,136060,139203.2,NA,NA,NA,NA,NA,NA,34,360,394,0,0,0,0,0,0,0,0,0,0,10,10,0,21,21,0,0,0,34,398,432,0,4,4
Wyoming,1990,317388,272927,453189,227566,225623,160488,156900,134935,137992,NA,NA,NA,NA,NA,NA,47,381,428,0,0,0,0,0,0,0,0,0,0,9,9,0,20,20,0,0,0,47,429,476,0,9,9
Wyoming,1989,318059.2,274800.3,455106.1,227869.4,227236.7,160325.2,157734,135471.5,139328.8,NA,NA,NA,NA,NA,NA,48,305,353,0,0,0,0,0,0,0,0,0,0,9,9,0,30,30,0,2,2,63,359,422,15,5,20
