state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Maine,2016,1074700,838495,1331479,682023,649456,556093,518607,424483,414012,7170,3572,3598,5138,2744,2394,3994,2332,1662,16412,10420,5992,12903,9256,3647,11587,8066,3521,21097,10172,10925,11086,4353,6733,11004,4297,6707,20044,11371,8673,13597,7948,5649,12184,7021,5163,23176,10517,12659,13519,6513,7006,12174,5790,6384,1243580,635971,607609,1018457,525279,493178,787552,396977,390575,14,55,69,1,10,11,5,185,190,9,101,110,0,0,0,202,1787,1989
Maine,2015,1076844,842264,1329328,676767,652561,556010,520834,426668,415596,6671,3922,2749,4882,2653,2229,3779,1962,1817,14522,9509,5013,11984,8070,3914,10786,7338,3448,14752,5547,9205,9149,3347,5802,8541,2894,5647,20677,9856,10821,15531,7763,7768,13816,6706,7110,30076,13639,16437,20230,9059,11171,17431,6980,10451,1242630,634294,608336,1015068,525118,489950,787911,400788,387123,11,51,62,1,12,13,6,169,175,4,97,101,0,0,0,182,1709,1891
Maine,2014,1070523,845718,1330089,686226,643863,556146,514377,433209,412509,6179,3390,2789,4428,2372,2056,3973,2263,1710,13920,9993,3927,11899,8809,3090,11132,8347,2785,17353,9065,8288,9646,4524,5122,9354,4232,5122,16637,8954,7683,10369,5352,5017,9886,5014,4872,30938,16465,14473,19289,9781,9508,17709,9120,8589,1245062,638359,606703,1014892,525308,489584,793664,404233,389431,10,54,64,1,9,10,5,171,176,2,17,19,0,0,0,158,1775,1933
Maine,2013,1069180,854033,1328302,677009,651293,550732,518448,431783,422250,8267,3736,4531,6831,3111,3720,6186,2656,3530,13680,8543,5137,10554,6906,3648,9897,6301,3596,13817,5121,8696,8336,3421,4915,8109,3421,4688,17115,6695,10420,12501,4634,7867,10830,3817,7013,28301,14437,13864,16424,8747,7677,14964,8334,6630,1247122,638477,608645,1014534,523913,490621,804047,407254,396793,9,59,68,1,11,12,5,149,154,1,20,21,0,0,0,139,1733,1872
Maine,2012,1062129,856296,1329192,676731,652461,547786,514343,433457,422839,8583,4203,4380,6776,3433,3343,6462,3175,3287,13026,6190,6836,10180,4521,5659,9512,4152,5360,11174,4234,6940,7418,3168,4250,6533,2868,3665,20034,10558,9476,11923,6096,5827,11515,5988,5527,25298,12162,13136,12888,6375,6513,11443,5518,5925,1251077,639384,611693,1012944,524193,488751,810831,411756,399075,9,49,58,0,9,9,7,140,147,2,18,20,0,0,0,141,1684,1825
Maine,2011,1058912,853642,1328188,678273,649915,547126,511786,432762,420880,7417,3459,3958,5234,3044,2190,4175,2677,1498,15702,9117,6585,12456,6895,5561,10845,5741,5104,15306,7745,7561,9701,4251,5450,9544,4251,5293,14822,9003,5819,8845,4797,4048,7679,4029,3650,21660,8590,13070,10917,4764,6153,9896,4372,5524,1253281,640359,612922,1011759,523375,488384,811503,411692,399811,8,46,54,0,11,11,4,133,137,3,21,24,0,0,0,144,1727,1871
Maine,2010,1053562,856244,1327567,679910,647657,547702,505860,436483,419761,7177,4535,2642,5557,3668,1889,5373,3554,1819,15763,10567,5196,11545,7704,3841,10488,6894,3594,15133,7274,7859,8580,4365,4215,8174,4230,3944,15946,7415,8531,10973,5007,5966,9505,4194,5311,19397,9548,9849,9484,5573,3911,8776,5386,3390,1254151,640571,613580,1007423,521385,486038,813928,412225,401703,5,40,45,1,10,11,5,142,147,4,23,27,0,0,0,143,1719,1862
Maine,2009,1043838,853607,1318301,677770,640531,542269,501569,434234,419373,7031,3373,3658,5573,2669,2904,5163,2434,2729,11601,6927,4674,8661,5038,3623,8358,4735,3623,16591,8343,8248,8705,3354,5351,8581,3309,5272,16655,8962,7693,10253,4983,5270,9347,4873,4474,26125,13521,12604,13501,7582,5919,12912,7074,5838,1240298,636644,603654,997145,518643,478502,809246,411809,397437,5,36,41,0,9,9,2,108,110,5,40,45,0,0,0,141,1793,1934
Maine,2008,1040736,852606,1316456,675825,640631,544537,496199,436227,416379,6730,4053,2677,4932,3433,1499,4251,2806,1445,10410,6056,4354,7645,4464,3181,6156,3552,2604,10467,3523,6944,6543,1997,4546,6386,1973,4413,12700,7897,4803,7683,4592,3091,6977,4386,2591,21884,11271,10613,11272,4885,6387,10332,4670,5662,1254265,643025,611240,1002661,525166,477495,818504,418840,399664,3,38,41,0,8,8,6,111,117,6,45,51,NA,NA,NA,138,1789,1927
Maine,2007,1032387,850070,1317207,675555,641652,542305,490082,437369,412701,8571,4128,4443,5871,2964,2907,5099,2310,2789,14821,8341,6480,9124,5617,3507,8420,5168,3252,13719,4938,8781,6719,2288,4431,6544,2266,4278,14322,6265,8057,9738,4868,4870,8899,4418,4481,20133,11797,8336,11127,6553,4574,10248,6392,3856,1245641,640086,605555,989808,520015,469793,810860,416815,394045,4,39,43,2,5,7,5,122,127,NA,NA,NA,0,0,0,122,1774,1896
