state,year,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Rhode Island,1978,0,2,2,0,7,7,4,189,193,0,0,0,0,0,0,0,0,0,0,15,15,0,19,19,0,1,1,4,235,239,0,2,2
Rhode Island,1979,NA,NA,NA,NA,NA,NA,3,218,221,0,0,0,0,0,0,0,0,0,0,18,18,2,10,12,0,5,5,5,274,279,0,4,4
Rhode Island,1980,NA,NA,NA,NA,NA,NA,7,241,248,0,1,1,0,7,7,1,13,14,1,11,12,0,17,17,0,4,4,10,316,326,0,1,1
Rhode Island,1981,NA,NA,NA,NA,NA,NA,5,255,260,0,1,1,0,7,7,0,16,16,0,14,14,0,19,19,0,7,7,5,359,364,0,9,9
Rhode Island,1982,NA,NA,NA,NA,NA,NA,14,298,312,0,0,0,0,17,17,0,23,23,0,25,25,0,18,18,0,9,9,14,421,435,0,6,6
Rhode Island,1983,NA,NA,NA,NA,NA,NA,8,339,347,0,1,1,1,28,29,0,24,24,2,41,43,0,42,42,0,3,3,11,499,510,0,5,5
Rhode Island,1984,NA,NA,NA,NA,NA,NA,9,282,291,0,1,1,0,20,20,0,30,30,1,38,39,0,30,30,2,7,9,13,441,454,0,6,6
Rhode Island,1985,NA,NA,NA,NA,NA,NA,15,304,319,0,0,0,0,44,44,0,34,34,0,34,34,1,39,40,0,10,10,17,500,517,0,6,6
Rhode Island,1986,NA,NA,NA,NA,NA,NA,17,329,346,0,0,0,3,25,28,0,33,33,2,46,48,2,35,37,0,9,9,24,521,545,0,9,9
Rhode Island,1987,NA,NA,NA,NA,NA,NA,6,253,259,0,0,0,1,26,27,4,21,25,0,22,22,2,66,68,0,9,9,15,452,467,0,11,11
