state,year,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_females,jurisdiction_unsentenced_males,jurisdiction_unsentenced_total,total_under_jurisdiction_females,total_under_jurisdiction_males,total_under_jurisdiction_total
Missouri,1978,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,182,5455,5637
Missouri,1979,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,203,5076,5279
Missouri,1980,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,236,5490,5726
Missouri,1981,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,265,6224,6489
Missouri,1982,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,394,7051,7445
Missouri,1983,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,7793,8103
Missouri,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,8425,8770
Missouri,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,9415,9796
Missouri,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,9856,10309
Missouri,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,10728,11357
Missouri,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,11546,12176
Missouri,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,13203,13921
Missouri,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777,14166,14943
Missouri,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,821,15076,15897
Missouri,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,919,15276,16195
Missouri,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,920,15258,16178
Missouri,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1042,16856,17898
Missouri,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174,17960,19134
Missouri,1996,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464,20539,22003
Missouri,1997,NA,NA,NA,0,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1663,22001,23664
Missouri,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1894,23166,25060
Missouri,1999,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1891,24264,26155,0,0,0,1891,24264,26155
Missouri,2e3,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,1993,25550,27543,0,0,0,1993,25550,27543
Missouri,2001,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2124,26633,28757,0,0,0,2124,26633,28757
Missouri,2002,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2274,27825,30099,0,0,0,2274,27825,30099
Missouri,2003,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2239,28064,30303,0,0,0,2239,28064,30303
Missouri,2004,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2507,28574,31081,0,0,0,2507,28574,31081
Missouri,2005,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2511,28312,30823,0,0,0,2511,28312,30823
Missouri,2006,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2579,27588,30167,0,0,0,2579,27588,30167
Missouri,2007,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2522,27335,29857,0,0,0,2522,27335,29857
Missouri,2008,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2449,27737,30186,0,0,0,2449,27737,30186
Missouri,2009,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2427,28136,30563,NA,NA,NA,2427,28136,30563
Missouri,2010,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2460,28163,30623,0,0,0,2460,28163,30623
Missouri,2011,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2575,28258,30833,0,0,0,2575,28258,30833
Missouri,2012,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2703,28544,31247,0,0,0,2703,28544,31247
Missouri,2013,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,2782,28755,31537,0,0,0,2782,28755,31537
Missouri,2014,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,3106,28836,31942,NA,NA,NA,3106,28836,31942
Missouri,2015,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,3267,29063,32330,NA,NA,NA,3267,29063,32330
Missouri,2016,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,3337,29124,32461,NA,NA,NA,3337,29124,32461
