state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Louisiana,1983,NA,NA,10699,NA,NA,10699,NA,NA,10699
Louisiana,1984,NA,NA,10967,NA,NA,10967,NA,NA,10967
Louisiana,1985,NA,NA,11017,NA,NA,11017,NA,NA,11017
Louisiana,1986,NA,NA,11080,NA,NA,11080,NA,NA,11080
Louisiana,1987,NA,NA,11738,NA,NA,11738,NA,NA,11738
Louisiana,1988,NA,NA,12330,NA,NA,12330,NA,NA,12330
Louisiana,1989,NA,NA,13535,NA,NA,13535,NA,NA,13535
Louisiana,1990,NA,NA,14697,NA,NA,14697,NA,NA,14697
Louisiana,1991,NA,NA,15493,NA,NA,15493,NA,NA,15493
Louisiana,1992,NA,NA,17131,NA,NA,17131,NA,NA,17131
Louisiana,1993,NA,NA,17131,NA,NA,17131,NA,NA,17131
Louisiana,1994,NA,NA,NA,NA,NA,15675,NA,NA,15884
Louisiana,1995,NA,NA,NA,NA,NA,17804,NA,NA,17231
Louisiana,1996,NA,NA,NA,NA,NA,17664,NA,NA,17631
Louisiana,1997,NA,NA,NA,NA,NA,18467,NA,NA,18470
Louisiana,1998,NA,NA,NA,NA,NA,18975,NA,NA,19016
Louisiana,1999,NA,NA,NA,940,18423,NA,959,18215,NA
Louisiana,2e3,NA,NA,NA,1060,18641,NA,1020,18428,NA
Louisiana,2001,NA,NA,NA,990,18941,NA,1038,18622,NA
Louisiana,2002,NA,NA,NA,970,19040,NA,1034,18654,NA
Louisiana,2003,NA,NA,NA,970,19060,NA,1024,18474,NA
Louisiana,2004,NA,NA,NA,970,18694,NA,986,18484,NA
Louisiana,2005,NA,NA,NA,1090,18960,NA,1030,18341,NA
Louisiana,2006,NA,NA,NA,1162,19190,NA,1145,19670,NA
Louisiana,2007,NA,NA,NA,1132,19509,NA,1169,19292,NA
Louisiana,2008,NA,NA,NA,1229,19540,NA,1161,19696,NA
Louisiana,2009,NA,NA,NA,1229,19491,NA,1101,18788,NA
Louisiana,2010,NA,NA,NA,1138,19195,NA,1078,17930,NA
Louisiana,2011,NA,NA,NA,1098,17742,NA,1084,17759,NA
Louisiana,2012,NA,NA,NA,1098,17760,NA,1076,17523,NA
Louisiana,2013,1171,15593,NA,1098,14433,NA,1171,16950,NA
Louisiana,2014,1171,15593,NA,1098,14588,NA,1171,16950,NA
Louisiana,2015,1171,15593,NA,936,14588,NA,1171,16950,NA
Louisiana,2016,1171,15593,NA,1536,14588,NA,1171,16950,NA
