state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,in_custody_not_us_citizens_female,in_custody_not_us_citizens_male,in_custody_not_us_citizens_total,in_custody_under_18_years_of_age_female,in_custody_under_18_years_of_age_male,in_custody_under_18_years_of_age_total
California,2016,30161367,25208518,39250017,19752605,19497412,15316063,14845304,12543904,12664614,0,0,0,0,0,0
California,2015,30036576,25242668,39144818,19718423,19426395,15252323,14784253,12565280,12677388,0,0,0,0,0,0
California,2014,29657288,25051350,38802500,19544750,19257750,15066286,14591002,12484967,12566383,0,0,0,0,0,0
California,2013,29166485,24748650,38332521,19273782,19058739,14802893,14363592,12315189,12433461,0,0,0,0,0,0
California,2012,28811886,24580453,38041430,19130566,18910864,14618952,14192934,12231612,12348841,334,14745,15079,0,0,0
California,2011,28428497,24342806,37691912,18938705,18753207,14423636,14004861,12112730,12230076,370,15719,16089,0,0,0
California,2010,28045434,24084544,37349363,18782439,18566924,14238965,13806469,11987395,12097149,425,17216,17641,0,0,0
California,2009,27529898,23675378,36961664,18440773,18520891,13855146,13674752,11638857,12036521,465,18073,18538,0,0,0
California,2008,27407685,23581891,36756666,18373167,18383499,13811667,13596018,11614904,11966987,435,16575,17010,0,0,0
California,2007,27145831,23428281,36553215,18272008,18281207,13680468,13465363,11535522,11892759,387,18060,18447,0,0,0
California,2006,26913190,23266323,36457549,18235868,18221681,13565186,13348004,11462253,11804070,321,15528,15849,0,0,0
California,2005,25665530,22202559,35340566,17798914,17541652,13076050,12589480,11101730,11100829,354,16259,16613,0,5,5
California,2004,25494686,22071260,35057375,17687829,17369546,13016395,12478291,11041125,11030135,405,17485,17890,0,123,123
California,2003,25298742,21939768,34644509,17472389,17172120,12908627,12390115,10982624,10957144,392,18177,18569,0,147,147
California,2002,24903151,21595083,34325414,17368754,16956660,12743589,12159562,10851630,10743453,434,18984,19418,1,111,112
California,2001,24050763,20781306,33713792,17050634,16663158,12311489,11739274,10440547,10340759,489,20127,20616,0,95,95
California,2000,23923698,20727821,33087051,16699671,16387380,12243261,11680437,10396081,10331740,474,21383,21857,5,101,106
