state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Colorado,2016,4280618,3594974,5540545,2750477,2790068,2137926,2142692,1764528,1830446,66,310,376,NA,NA,NA,0,0,3564,3564,3564,0,0,0,3564,1903,14514,16417,NA,NA,NA,1903,18078,19981
Colorado,2015,4199053,3550797,5456574,2713952,2742622,2100768,2098285,1747545,1803252,11,71,82,NA,NA,NA,0,0,3987,3987,3987,0,0,0,3987,1842,14212,16054,NA,NA,NA,1842,18199,20041
Colorado,2014,4108534,3488581,5355866,2664744,2691122,2061256,2047278,1722475,1766106,63,113,176,NA,NA,NA,0,0,3782,3782,3782,0,0,0,3782,1908,14956,16864,0,0,0,1908,18738,20646
Colorado,2013,4027780,3444514,5268367,2616599,2651768,2017621,2010159,1694605,1749909,60,127,187,NA,NA,NA,0,0,3898,3898,3898,0,0,0,3898,1815,14658,16473,0,0,0,1815,18556,20371
Colorado,2012,3956423,3405027,5187582,2582695,2604887,1981592,1974831,1676679,1728348,1,133,134,NA,NA,NA,0,0,3939,3939,3939,0,0,0,3939,1723,14800,16523,0,0,0,1723,18739,20462
Colorado,2011,3890434,3356506,5116796,2548745,2568051,1954486,1935948,1656763,1699743,67,49,116,NA,NA,NA,0,0,4303,4303,4303,0,0,0,4303,2021,15654,17675,0,0,0,2021,19957,21978
Colorado,2010,3820050,3309314,5049071,2514593,2534478,1921492,1898558,1636743,1672571,33,30,63,NA,NA,NA,0,0,4498,4498,4498,0,0,0,4498,2052,16265,18317,0,0,0,2052,20763,22815
Colorado,2009,3797239,3303684,5024748,2496186,2528562,1896008,1901231,1617218,1686466,9,61,70,NA,NA,NA,212,212,4745,4957,4745,0,0,0,4957,1889,15949,17838,NA,NA,NA,2101,20694,22795
Colorado,2008,3733023,3260695,4939456,2451628,2487828,1865840,1867183,1599383,1661312,17,46,63,NA,NA,NA,259,259,5015,5274,5015,0,0,0,5274,2035,15965,18e3,NA,NA,NA,2294,20980,23274
Colorado,2007,3671619,3217074,4861515,2409823,2451692,1825429,1846190,1566941,1650133,23,152,175,NA,NA,NA,244,244,4157,4401,4634,0,477,477,4878,2091,15872,17963,NA,NA,NA,2335,20506,22841
Colorado,2006,3585699,3145647,4753377,2360934,2392443,1794196,1791503,1545274,1600373,20,410,430,NA,NA,NA,251,251,4364,4615,4604,0,240,240,4855,2051,15575,17626,NA,NA,NA,2302,20179,22481
Colorado,2005,3372564,2963293,4540639,2264462,2276177,1693374,1679190,1465322,1497971,25,368,393,NA,NA,NA,266,266,3773,4039,3773,0,0,0,4039,1854,15563,17417,0,0,0,2120,19336,21456
Colorado,2004,3325951,2920097,4498611,2240875,2257736,1672841,1653110,1443154,1476943,42,596,638,NA,NA,NA,84,84,2614,2698,2735,0,121,121,2819,1816,15658,17474,0,0,0,1900,18393,20293
Colorado,2003,3301536,2906682,4447892,2212333,2235559,1658402,1643134,1434500,1472182,101,120,221,NA,NA,NA,0,0,3013,3013,3013,0,0,0,3013,1736,14922,16658,0,0,0,1736,17935,19671
Colorado,2002,3260358,2880256,4403659,2202416,2201243,1642939,1617419,1426258,1453998,28,132,160,NA,NA,NA,0,0,2452,2452,2452,0,0,0,2452,1566,14815,16381,NA,NA,NA,1566,17267,18833
Colorado,2001,3164594,2790285,4314724,2162634,2152090,1599739,1564855,1385021,1405264,16,113,129,NA,NA,NA,0,0,2390,2390,2390,0,0,0,2390,1375,13683,15058,NA,NA,NA,1375,16073,17448
Colorado,2000,3126471,2756861,4247729,2108803,2138926,1565190,1561281,1355536,1401325,2,77,79,NA,NA,NA,0,0,2099,2099,2099,0,0,0,2099,1333,13401,14734,NA,NA,NA,1333,15500,16833
Colorado,1999,3056479.2,2693606.1,4151231.7,2063662.2,2087569.5,1532728.2,1523751,1326063.9,1367542.2,67,2608,2675,67,2608,2675,0,0,0,0,0,0,0,0,0,1213,14457,15670,0,0,0,1213,14457,15670
Colorado,1998,2986487.4,2630351.2,4054734.4,2018521.4,2036213,1500266.4,1486221,1296591.8,1333759.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1070,13242,14312
Colorado,1997,2916495.6,2567096.3,3958237.1,1973380.6,1984856.5,1467804.6,1448691,1267119.7,1299976.6,NA,NA,NA,127,1759,1886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949,12512,13461
Colorado,1996,2846503.8,2503841.4,3861739.8,1928239.8,1933500,1435342.8,1411161,1237647.6,1266193.8,NA,NA,NA,16,1147,1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845,11593,12438
Colorado,1995,2776512,2440586.5,3765242.5,1883099,1882143.5,1402881,1373631,1208175.5,1232411,NA,NA,NA,5,544,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713,10350,11063
Colorado,1994,2706520.2,2377331.6,3668745.2,1837958.2,1830787,1370419.2,1336101,1178703.4,1198628.2,NA,NA,NA,90,1045,1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670,10047,10717
Colorado,1993,2636528.4,2314076.7,3572247.9,1792817.4,1779430.5,1337957.4,1298571,1149231.3,1164845.4,NA,NA,NA,52,508,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542,8920,9462
