state,year,awol_release_female,awol_release_male,awol_release_total,conditional_release_probations_female,conditional_release_probations_male,conditional_release_probations_total,discretionary_parole_female,discretionary_parole_male,discretionary_parole_total,escape_from_confinement_female,escape_from_confinement_male,escape_from_confinement_total,other_conditional_release_female,other_conditional_release_male,other_conditional_release_total,other_unconditional_release_female,other_unconditional_release_male,other_unconditional_release_total,release_to_appeal_or_bond_female,release_to_appeal_or_bond_male,release_to_appeal_or_bond_total,supervised_mandatory_release_female,supervised_mandatory_release_male,supervised_mandatory_release_total,total_releases_female,total_releases_male,total_releases_total,transfers_to_other_jurisdictions_female,transfers_to_other_jurisdictions_male,transfers_to_other_jurisdictions_total,unconditional_release_commutations_female,unconditional_release_commutations_male,unconditional_release_commutations_total,unconditional_release_expirations_of_sentence_female,unconditional_release_expirations_of_sentence_male,unconditional_release_expirations_of_sentence_total
North Dakota,1978,0,0,0,0,4,4,4,141,145,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,172,178,0,0,0,0,0,0,0,18,18
North Dakota,1979,NA,NA,NA,0,9,9,4,115,119,NA,NA,NA,0,8,8,0,0,0,0,1,1,0,0,0,4,146,150,0,0,0,0,0,0,0,10,10
North Dakota,1980,NA,NA,NA,2,4,6,1,115,116,NA,NA,NA,1,4,5,0,0,0,0,1,1,0,0,0,4,142,146,0,0,0,0,0,0,0,16,16
North Dakota,1981,NA,NA,NA,0,11,11,1,146,147,NA,NA,NA,0,7,7,0,0,0,0,0,0,0,0,0,1,174,175,0,0,0,0,0,0,0,9,9
North Dakota,1982,NA,NA,NA,2,27,29,2,131,133,NA,NA,NA,0,6,6,0,0,0,0,1,1,0,0,0,4,187,191,0,0,0,0,0,0,0,22,22
North Dakota,1983,NA,NA,NA,8,42,50,5,146,151,NA,NA,NA,0,8,8,0,0,0,0,0,0,NA,NA,NA,13,224,237,0,0,0,0,0,0,0,27,27
North Dakota,1984,NA,NA,NA,1,44,45,5,120,125,NA,NA,NA,0,11,11,0,0,0,0,2,2,NA,NA,NA,7,208,215,0,0,0,0,0,0,1,29,30
North Dakota,1985,NA,NA,NA,2,64,66,4,130,134,NA,NA,NA,0,4,4,0,0,0,0,0,0,NA,NA,NA,7,235,242,0,0,0,0,0,0,1,36,37
North Dakota,1986,NA,NA,NA,3,77,80,3,131,134,NA,NA,NA,0,5,5,0,0,0,0,2,2,NA,NA,NA,10,300,310,0,0,0,0,0,0,4,83,87
North Dakota,1987,NA,NA,NA,6,66,72,5,125,130,NA,NA,NA,1,6,7,0,0,0,0,2,2,NA,NA,NA,13,281,294,0,0,0,0,0,0,1,81,82
North Dakota,1988,NA,NA,NA,2,66,68,2,107,109,NA,NA,NA,3,15,18,0,0,0,0,0,0,NA,NA,NA,8,263,271,0,0,0,0,0,0,1,70,71
North Dakota,1989,NA,NA,NA,8,92,100,5,139,144,NA,NA,NA,1,12,13,0,0,0,0,1,1,NA,NA,NA,16,331,347,0,0,0,0,0,0,2,86,88
North Dakota,1990,NA,NA,NA,11,96,107,9,107,116,NA,NA,NA,3,12,15,0,0,0,0,2,2,NA,NA,NA,27,306,333,0,0,0,0,0,0,4,87,91
North Dakota,1991,NA,NA,NA,3,105,108,6,114,120,NA,NA,NA,3,8,11,0,0,0,0,0,0,NA,NA,NA,16,318,334,0,0,0,0,0,0,4,87,91
North Dakota,1992,NA,NA,NA,5,98,103,15,102,117,NA,NA,NA,0,6,6,0,0,0,0,2,2,NA,NA,NA,26,304,330,0,0,0,0,0,0,6,86,92
North Dakota,1993,NA,NA,NA,3,98,101,11,104,115,NA,NA,NA,3,11,14,0,0,0,0,1,1,NA,NA,NA,18,316,334,0,0,0,0,0,0,1,100,101
North Dakota,1994,NA,NA,NA,8,89,97,11,121,132,NA,NA,NA,1,7,8,0,0,0,0,0,0,NA,NA,NA,30,315,345,0,0,0,0,0,0,10,98,108
North Dakota,1995,NA,NA,NA,9,118,127,16,162,178,NA,NA,NA,3,5,8,0,0,0,0,0,0,NA,NA,NA,34,401,435,0,0,0,0,0,0,6,109,115
North Dakota,1996,NA,NA,NA,10,138,148,17,137,154,NA,NA,NA,1,8,9,0,0,0,0,0,0,NA,NA,NA,35,444,479,0,0,0,0,0,0,7,153,160
North Dakota,1997,NA,NA,NA,11,147,158,18,169,187,NA,NA,NA,1,8,9,0,0,0,0,0,0,NA,NA,NA,40,486,526,0,0,0,0,0,0,10,154,164
North Dakota,1998,NA,NA,NA,12,194,206,42,243,285,NA,NA,NA,0,8,8,0,0,0,1,4,5,NA,NA,NA,65,581,646,0,0,0,0,0,0,10,130,140
North Dakota,1999,0,0,0,12,142,154,31,258,289,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,64,608,672,0,0,0,0,0,0,20,178,198
North Dakota,2e3,0,6,6,14,172,186,26,152,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,540,604,0,0,0,1,0,1,23,208,231
