state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
Iowa,2016,2411135,1931424,3134693,1578385,1556308,1226677,1184458,958290,973134,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,821,8210,9031,4,29,33,821,8210,9031
Iowa,2015,2398939,1932736,3123899,1574958,1548941,1219281,1179658,957379,975357,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,808,8041,8849,8,25,33,808,8041,8849
Iowa,2014,2382458,1925061,3107126,1561996,1545130,1212257,1170201,953572,971489,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,752,8086,8838,12,28,40,752,8086,8838
Iowa,2013,2366311,1921974,3090416,1562487,1527929,1209296,1157015,957544,964430,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,714,7983,8697,11,32,43,714,7983,8697
Iowa,2012,2352328,1918450,3074186,1549982,1524204,1198601,1153727,950431,968019,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,784,7949,8733,15,32,47,784,7949,8733
Iowa,2011,2339920,1911086,3062309,1549135,1513174,1193978,1145942,947267,963819,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,738,8378,9116,17,42,59,738,8378,9116
Iowa,2010,2327048,1901086,3049883,1544201,1505682,1188820,1138228,943042,958044,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,780,8675,9455,19,48,67,780,8675,9455
Iowa,2009,2299255,1877018,3007857,1525620,1482237,1179111,1120144,932704,944314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723,8090,8813
Iowa,2008,2297884,1884107,3002557,1522092,1480465,1178886,1118998,933488,950619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,749,8017,8766
Iowa,2007,2276058,1857403,2988047,1513126,1474921,1167475,1108583,921759,935644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,8015,8732
Iowa,2006,2275603,1870476,2982085,1512501,1469584,1171581,1104022,932049,938427,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,789,8049,8838
Iowa,2005,2191376,1802448,2848266,1445057,1403209,1125352,1066024,897577,904871,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,800,7937,8737,0,0,0,800,7937,8737
Iowa,2004,2170380,1796139,2849976,1449430,1400546,1120108,1050272,903445,892694,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,757,7768,8525,0,0,0,757,7768,8525
Iowa,2003,2155627,1782647,2846089,1439759,1406330,1106308,1049319,890611,892036,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,716,7830,8546,0,0,0,716,7830,8546
Iowa,2002,2145832,1764550,2838815,1445584,1393231,1103910,1041922,881859,882691,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,703,7695,8398,NA,NA,NA,703,7695,8398
Iowa,2001,2099158,1722578,2819039,1433375,1385664,1083778,1015380,862949,859629,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,635,7327,7962,NA,NA,NA,635,7327,7962
Iowa,2000,2089720,1708728,2820668,1429775,1390893,1082458,1007262,862742,845986,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,592,7363,7955,NA,NA,NA,592,7363,7955
Iowa,1999,2085645,1702833.4,2815267,1429846.2,1385420.8,1082250.3,1003394.7,860204.3,842629.1,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,539,6693,7232,0,0,0,539,6693,7232
Iowa,1998,2081570,1696938.8,2809866,1429917.4,1379948.6,1082042.6,999527.4,857666.6,839272.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491,6903,7394
Iowa,1997,2077495,1691044.2,2804465,1429988.6,1374476.4,1081834.9,995660.1,855128.9,835915.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,6410,6938
Iowa,1996,2073420,1685149.6,2799064,1430059.8,1369004.2,1081627.2,991792.8,852591.2,832558.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,5872,6342
Iowa,1995,2069345,1679255,2793663,1430131,1363532,1081419.5,987925.5,850053.5,829201.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425,5481,5906
Iowa,1994,2065270,1673360.4,2788262,1430202.2,1358059.8,1081211.8,984058.2,847515.8,825844.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351,5086,5437
Iowa,1993,2061195,1667465.8,2782861,1430273.4,1352587.6,1081004.1,980190.9,844978.1,822487.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,4617,4898
Iowa,1992,2057120,1661571.2,2777460,1430344.6,1347115.4,1080796.4,976323.6,842440.4,819130.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,4275,4518
Iowa,1991,2053045,1655676.6,2772059,1430415.8,1341643.2,1080588.7,972456.3,839902.7,815773.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,3949,4145
