state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,population_american_indian,population_female_american_indian,population_male_american_indian,population_adult_american_indian,population_female_adult_american_indian,population_male_adult_american_indian,population_aged_18_65_american_indian,population_female_aged_18_65_american_indian,population_male_aged_18_65_american_indian,population_asian,population_female_asian,population_male_asian,population_adult_asian,population_female_adult_asian,population_male_adult_asian,population_aged_18_65_asian,population_female_aged_18_65_asian,population_male_aged_18_65_asian,population_black,population_female_black,population_male_black,population_adult_black,population_female_adult_black,population_male_adult_black,population_aged_18_65_black,population_female_aged_18_65_black,population_male_aged_18_65_black,population_hispanic,population_female_hispanic,population_male_hispanic,population_adult_hispanic,population_female_adult_hispanic,population_male_adult_hispanic,population_aged_18_65_hispanic,population_female_aged_18_65_hispanic,population_male_aged_18_65_hispanic,population_other_or_unknown,population_female_other_or_unknown,population_male_other_or_unknown,population_adult_other_or_unknown,population_female_adult_other_or_unknown,population_male_adult_other_or_unknown,population_aged_18_65_other_or_unknown,population_female_aged_18_65_other_or_unknown,population_male_aged_18_65_other_or_unknown,population_white,population_female_white,population_male_white,population_adult_white,population_female_adult_white,population_male_adult_white,population_aged_18_65_white,population_female_aged_18_65_white,population_male_aged_18_65_white,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,other_or_unknown_race_female,other_or_unknown_race_male,other_or_unknown_race_total,white_female,white_male,white_total
Connecticut,2016,2827751,2292041,3576452,1830542,1745910,1464350,1363401,1159318,1132723,4795,1755,3040,3756,1447,2309,3484,1312,2172,161037,84792,76245,124701,65480,59221,112956,59374,53582,358403,184615,173788,275668,145249,130419,239139,122467,116672,560669,282568,278101,384564,195458,189106,356087,178722,177365,80002,40798,39204,47196,25054,22142,44230,22894,21336,2411546,1236014,1175532,1991866,1031662,960204,1536145,774549,761596,3,34,37,6,66,72,270,5862,6132,200,3708,3908,0,0,0,584,4222,4806
Connecticut,2015,2828634,2299206,3590886,1837230,1753656,1466377,1362257,1161631,1137575,4298,1407,2891,3964,1396,2568,3246,1087,2159,154458,78991,75467,120739,64065,56674,109604,57851,51753,359405,189019,170386,271527,146870,124657,236427,124701,111726,554361,276491,277870,380020,190585,189435,352800,175141,177659,79630,39428,40202,46072,21896,24176,43612,20271,23341,2438734,1251894,1186840,2006312,1041565,964747,1553517,782580,770937,7,36,43,10,74,84,299,6163,6462,189,3822,4011,0,0,0,614,4600,5214
Connecticut,2014,2823459,2307453,3596677,1843981,1752696,1464931,1358528,1169505,1137948,5137,2762,2375,4176,2437,1739,3228,1856,1372,151838,79688,72150,119396,63281,56115,108782,56996,51786,350507,183594,166913,264235,141161,123074,233725,122739,110986,540224,269608,270616,367810,184370,183440,340521,168541,171980,82927,43649,39278,47146,24939,22207,44144,23394,20750,2466044,1264680,1201364,2020696,1048743,971953,1577053,795979,781074,4,37,41,4,69,73,340,6454,6794,184,4028,4212,0,0,0,592,4922,5514
Connecticut,2013,2811600,2307112,3596080,1844231,1751849,1459733,1351867,1170603,1136509,4175,2212,1963,3263,1621,1642,2961,1549,1412,145850,73203,72647,111344,57276,54068,101691,51880,49811,348587,182037,166550,259483,139622,119861,229463,121124,108339,527225,264906,262319,357050,179998,177052,332471,166189,166282,75901,41261,34640,44268,23158,21110,40955,21216,19739,2494342,1280612,1213730,2036192,1058058,978134,1599571,808645,790926,1,29,30,5,83,88,363,6907,7270,216,4329,4545,0,0,0,650,4980,5630
Connecticut,2012,2796969,2307171,3590347,1843982,1746365,1454145,1342824,1172516,1134655,5825,2065,3760,4767,1620,3147,4402,1470,2932,147506,79585,67921,110015,59973,50042,101080,54519,46561,343281,178982,164299,255866,136867,118999,226003,118574,107429,510514,257127,253387,344254,174542,169712,321269,161307,159962,69190,33884,35306,38600,19208,19392,35945,17945,18e3,2514031,1292339,1221692,2043467,1061935,981532,1618472,818701,799771,2,28,30,9,71,80,376,6815,7191,200,4403,4603,0,0,0,631,4995,5626
Connecticut,2011,2777833,2295955,3580709,1837345,1743364,1446091,1331742,1165066,1130889,3784,2148,1636,2589,1487,1102,2376,1333,1043,141042,76446,64596,105673,57140,48533,97854,52284,45570,344375,179707,164668,255351,137309,118042,226838,119433,107405,494366,245810,248556,332384,168139,164245,310297,154508,155789,68815,34885,33930,37596,19458,18138,34707,18081,16626,2528327,1298349,1229978,2044240,1062558,981682,1623883,819427,804456,3,35,38,6,68,74,368,7180,7548,202,4591,4793,0,0,0,655,5216,5871
Connecticut,2010,2762028,2289579,3577073,1844880,1732193,1442197,1319831,1164882,1124697,4404,1857,2547,3602,1499,2103,3073,1219,1854,133788,70748,63040,100548,52578,47970,93636,48639,44997,335261,176514,158747,247211,133678,113533,219801,116407,103394,481548,243550,237998,320325,162852,157473,301934,151127,150807,81227,44235,36992,45747,25981,19766,42811,23945,18866,2540845,1307976,1232869,2044595,1065609,978986,1628324,823545,804779,0,33,33,9,70,79,390,7664,8054,209,4928,5137,0,0,0,638,5380,6018
Connecticut,2009,2710846,2255218,3518288,1801145,1717143,1408436,1302410,1140855,1114363,5184,2655,2529,4232,2142,2090,4025,2065,1960,125392,63685,61707,94712,48225,46487,86966,44334,42632,323751,167657,156094,237607,125790,111817,212366,110595,101771,434361,215878,218483,289861,145151,144710,270883,133474,137409,68779,35386,33393,36698,20233,16465,34258,19130,15128,2560821,1315884,1244937,2047736,1066895,980841,1646720,831257,815463,1,35,36,7,71,78,410,7902,8312,237,4928,5165,NA,NA,NA,680,5445,6125
Connecticut,2008,2689215,2246294,3501252,1791958,1709294,1396007,1293208,1135148,1111146,6293,2971,3322,4869,2257,2612,4173,1927,2246,119313,60585,58728,89420,45785,43635,83647,42650,40997,314182,163499,150683,230326,123268,107058,207380,109571,97809,424191,210882,213309,279876,139192,140684,262679,129530,133149,58992,29106,29886,30954,16315,14639,28105,14147,13958,2578281,1324915,1253366,2053770,1069190,984580,1660310,837323,822987,4,37,41,7,68,75,498,8398,8896,265,5198,5463,NA,NA,NA,728,5458,6186
Connecticut,2007,2687835,2243777,3502309,1795389,1706920,1399869,1287966,1136682,1107095,6448,3316,3132,5553,2845,2708,4757,2651,2106,121495,62341,59154,91924,47105,44819,84351,42639,41712,306953,160996,145957,219637,116320,103317,196233,103224,93009,411349,207925,203424,277432,142441,134991,260683,131967,128716,67260,33450,33810,40727,21410,19317,38817,19873,18944,2588804,1327361,1261443,2052562,1069748,982814,1658936,836328,822608,5,38,43,7,84,91,517,8427,8944,295,5268,5563,NA,NA,NA,672,5611,6283
