state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
New Hampshire,2016,1073855,863795,1334689,667355,667334,542774,531081,428302,435493,0,0,0,1,9,10,117,619,736,0,0,0,0,0,0,0,0,0,0,0,0,118,684,802,0,0,0,236,1321,1557,0,9,9
New Hampshire,2015,1067668,865391,1330608,670815,659793,543377,524291,432710,432681,0,0,0,2,7,9,124,672,796,0,0,0,0,0,0,0,0,0,0,0,0,113,669,782,0,0,0,239,1365,1604,0,17,17
New Hampshire,2014,1058741,865272,1326813,672152,654661,540716,518025,433558,431714,0,0,0,0,8,8,86,572,658,38,145,183,0,0,0,0,0,0,0,0,0,89,681,770,0,0,0,267,1509,1776,54,103,157
New Hampshire,2013,1051212,866176,1323459,672259,651200,537386,513826,434291,431885,0,0,0,0,7,7,117,744,861,0,0,0,0,0,0,0,0,0,0,0,0,82,716,798,0,0,0,199,1475,1674,0,8,8
New Hampshire,2012,1047619,868878,1320718,673809,646909,538595,509024,438163,430715,0,0,0,2,8,10,116,752,868,2,13,15,0,0,0,3,15,18,0,0,0,86,709,795,0,0,0,253,1585,1838,44,88,132
New Hampshire,2011,1037685,864569,1318194,666509,651685,531791,505894,435562,429007,0,0,0,1,8,9,89,700,789,0,19,19,0,0,0,3,13,16,0,0,0,75,717,792,0,0,0,195,1551,1746,27,94,121
New Hampshire,2010,1031503,863430,1316759,668441,648318,528859,502644,435229,428201,0,0,0,0,5,5,86,634,720,21,49,70,0,0,0,0,0,0,0,0,0,59,535,594,0,0,0,202,1313,1515,NA,90,NA
New Hampshire,2009,1036920,870613,1324575,669097,655478,530434,506486,436803,433810,NA,NA,NA,1,0,1,20,193,213,46,398,444,NA,NA,NA,34,154,188,NA,NA,NA,70,470,540,8,23,31,222,1323,1545,43,85,128
New Hampshire,2008,1021355,866399,1315809,668393,647416,524318,497037,436322,430077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208,1256,1464,NA,NA,NA
New Hampshire,2007,1016938,865870,1315828,668721,647107,522968,493970,435460,430410,NA,NA,NA,2,3,5,62,553,615,1,21,22,NA,NA,NA,8,138,146,38,469,507,NA,NA,NA,NA,NA,NA,121,1388,1509,10,204,214
New Hampshire,2006,1019526,865752,1314895,667193,647702,525647,493879,438357,427395,NA,NA,NA,NA,NA,NA,75,616,691,1,11,12,NA,NA,NA,26,77,103,NA,NA,NA,57,449,506,NA,NA,NA,164,2512,2676,5,166,171
New Hampshire,2005,975010,830429,1271897,646788,625109,501752,473258,418853,411576,0,0,0,0,5,5,61,537,598,4,10,14,0,0,0,0,0,0,0,0,0,71,588,659,0,0,0,146,1318,1464,10,198,208
New Hampshire,2004,956817,819978,1261970,636703,625267,490640,466177,413682,406296,0,1,1,0,0,0,52,611,663,0,0,0,0,0,0,0,0,0,39,397,436,0,0,0,0,0,0,91,1009,1100,0,0,0
New Hampshire,2003,947715,814784,1251572,633038,618534,485644,462071,410290,404494,0,4,4,0,4,4,67,645,712,NA,NA,NA,0,0,0,0,0,0,27,400,427,0,0,0,0,0,0,94,1053,1147,0,0,0
New Hampshire,2002,931969,799455,1238917,627812,611105,477325,454644,401913,397542,2,8,10,1,1,2,75,647,722,0,0,0,0,0,0,0,0,0,0,0,0,29,362,391,0,0,0,107,1018,1125,0,0,0
New Hampshire,2001,930896,801013,1223636,619382,604254,477415,453481,403855,397158,0,0,0,1,9,10,91,700,791,0,0,0,0,0,0,0,0,0,0,0,0,20,360,380,0,0,0,112,1069,1181,0,0,0
New Hampshire,2000,899575,767921,1200522,622370,578152,473413,426162,393955,373966,0,0,0,3,12,15,61,625,686,0,0,0,0,0,0,0,0,0,0,0,0,25,340,365,0,0,0,89,977,1066,0,0,0
New Hampshire,1999,892254.9,762146.3,1190894,616162.1,574731.9,468692.9,423562,390168.8,371977.5,1,11,12,1,3,4,67,663,730,0,0,0,NA,NA,NA,NA,NA,NA,13,324,337,0,0,0,NA,NA,NA,82,1001,1083,0,0,0
New Hampshire,1998,884934.8,756371.6,1181266,609954.2,571311.8,463972.8,420962,386382.6,369989,NA,NA,NA,NA,NA,NA,49,580,629,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,338,358,NA,NA,NA,70,930,1e3,0,0,0
