state,year,american_indian_female,american_indian_male,american_indian_total,asian_female,asian_male,asian_total,black_female,black_male,black_total,hispanic_or_latino_female,hispanic_or_latino_male,hispanic_or_latino_total,native_hawaiian_female,native_hawaiian_male,native_hawaiian_total,other_category_race_total,other_race_female,other_race_male,two_or_more_races_female,two_or_more_races_male,two_or_more_races_total,unknown_race_female,unknown_race_male,unknown_race_total,white_female,white_male,white_total
Tennessee,1978,0,0,0,0,0,0,125,2647,2772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,136,2927,3063
Tennessee,1979,0,0,0,0,0,0,138,2988,3126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,145,3358,3503
Tennessee,1980,0,0,0,0,0,0,116,3028,3144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,220,3658,3878
Tennessee,1981,0,0,0,0,0,0,136,3210,3346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,259,4292,4551
Tennessee,1982,0,0,0,0,0,0,145,3370,3515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,235,4119,4354
Tennessee,1983,NA,NA,NA,NA,NA,NA,176,3450,3626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,20,221,4334,4555
Tennessee,1984,NA,NA,NA,NA,NA,NA,109,3128,3237,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,20,204,3841,4045
Tennessee,1985,NA,NA,NA,NA,NA,NA,108,3045,3153,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,64,70,188,3716,3904
Tennessee,1986,NA,NA,NA,NA,NA,NA,142,3e3,3142,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,148,157,262,4030,4292
Tennessee,1987,NA,NA,NA,NA,NA,NA,137,3019,3156,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,153,162,254,4052,4306
Tennessee,1988,NA,NA,NA,NA,NA,NA,156,2972,3128,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,224,229,241,4134,4375
Tennessee,1989,NA,NA,NA,NA,NA,NA,155,4364,4519,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,430,457,289,5365,5654
Tennessee,1990,NA,NA,NA,NA,NA,NA,155,4428,4583,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,351,378,289,5219,5508
Tennessee,1991,NA,NA,NA,NA,NA,NA,216,5287,5503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,110,114,239,5618,5857
Tennessee,1992,NA,NA,NA,NA,NA,NA,230,5586,5816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,52,296,5685,5981
Tennessee,1993,NA,NA,NA,NA,NA,NA,217,5965,6182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43,47,287,6308,6595
Tennessee,1994,1,8,9,0,5,5,251,6918,7169,0,38,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38,38,335,6845,7180
Tennessee,1995,1,13,14,0,6,6,261,7537,7798,0,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,46,46,375,6967,7342
Tennessee,1996,1,11,12,0,12,12,262,7711,7973,4,46,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,46,50,421,7158,7579
Tennessee,1997,2,15,17,NA,NA,NA,316,8121,8437,5,70,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,70,75,475,7639,8114
Tennessee,1998,2,18,20,NA,NA,NA,331,8662,8993,5,85,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,85,90,547,8068,8615
Tennessee,1999,3,21,24,NA,NA,NA,602,11440,12042,5,148,153,NA,NA,NA,153,5,148,NA,NA,NA,0,0,0,757,9500,10257
Tennessee,2e3,2,17,19,NA,NA,NA,573,11108,11681,7,175,182,0,0,0,0,0,0,NA,NA,NA,0,0,0,785,9464,10249
Tennessee,2001,1,20,21,NA,NA,NA,591,11672,12263,7,231,238,0,0,0,0,0,0,NA,NA,NA,0,0,0,867,10244,11111
Tennessee,2002,1,23,24,NA,NA,NA,660,11915,12575,8,263,271,0,0,0,0,0,0,NA,NA,NA,0,0,0,1071,11001,12072
Tennessee,2003,10,24,34,NA,NA,NA,630,11894,12524,13,293,306,0,0,0,0,0,0,NA,NA,NA,0,0,0,1191,11340,12531
Tennessee,2004,10,26,36,NA,NA,NA,620,11944,12564,14,343,357,0,0,0,0,0,0,NA,NA,NA,0,0,0,1260,11625,12885
Tennessee,2005,8,41,49,NA,NA,NA,627,11984,12611,15,377,392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1370,11906,13276
Tennessee,2006,8,43,51,NA,NA,NA,620,11639,12259,18,395,413,0,0,0,0,0,0,0,0,0,0,0,0,1308,11670,12978
Tennessee,2007,8,44,52,NA,NA,NA,604,11955,12559,17,446,463,0,0,0,0,0,0,0,0,0,0,0,0,1290,11858,13148
Tennessee,2008,9,43,52,NA,NA,NA,643,12286,12929,16,547,563,0,0,0,0,0,0,0,0,0,0,0,0,1460,12180,13640
Tennessee,2009,8,40,48,NA,NA,NA,600,12376,12976,18,545,563,0,0,0,0,0,0,0,0,0,0,0,0,1379,11942,13321
Tennessee,2010,7,33,40,NA,NA,NA,627,12425,13052,16,573,589,0,0,0,0,0,0,0,0,0,0,0,0,1455,12258,13713
Tennessee,2011,7,30,37,NA,NA,NA,656,12637,13293,20,576,596,0,0,0,0,0,0,0,0,0,5,5,10,1718,12772,14490
Tennessee,2012,7,31,38,NA,NA,NA,632,12538,13170,27,579,606,0,0,0,0,0,0,0,0,0,5,6,11,1688,12834,14522
Tennessee,2013,6,28,34,NA,NA,NA,600,12353,12953,25,562,587,0,0,0,0,0,0,0,0,0,0,5,5,1814,13064,14878
Tennessee,2014,7,31,38,NA,NA,NA,605,12095,12700,31,546,577,0,0,0,0,0,0,0,0,0,0,5,5,1961,13424,15385
Tennessee,2015,8,28,36,NA,NA,NA,596,11770,12366,27,561,588,0,0,0,0,0,0,0,0,0,0,6,6,2002,13110,15112
Tennessee,2016,9,32,41,NA,NA,NA,628,11567,12195,23,544,567,0,0,0,0,0,0,0,0,0,0,0,0,2056,13279,15335
