state,year,population_adult,population_aged_18_65,population,population_female,population_male,population_female_adult,population_male_adult,population_female_aged_18_65,population_male_aged_18_65,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_female,custody_unsentenced_male,custody_unsentenced_total,total_under_custody_female,total_under_custody_male,total_under_custody_total
South Carolina,2016,3861305,3093306,4961119,2554934,2406185,2017533,1843772,1587865,1505441,1452,18924,3,9,12,1449,18915,20364,0,7,7,1452,18924,20376
South Carolina,2015,3807727,3072261,4896146,2511586,2384560,1983746,1823981,1575150,1497111,1336,19121,4,10,14,1332,19111,20443,0,13,13,1336,19121,20457
South Carolina,2014,3751743,3052725,4832482,2479946,2352536,1952338,1799405,1560300,1492425,1356,19592,5,10,15,1351,19582,20933,0,10,10,1356,19592,20948
South Carolina,2013,3696456,3032381,4774839,2455831,2319008,1925267,1771189,1550074,1482307,1378,20156,3,12,15,1375,20144,21519,0,12,12,1378,20156,21534
South Carolina,2012,3642927,3012049,4723723,2427435,2296288,1898700,1744227,1542277,1469772,1327,20540,2,14,16,1325,20526,21851,0,19,19,1327,20540,21867
South Carolina,2011,3598500,2986941,4679230,2406763,2272467,1874186,1724314,1526413,1460528,1376,20987,5,15,20,1371,20972,22343,0,12,12,1371,20972,22343
South Carolina,2010,3555183,2969516,4636312,2385140,2251172,1850283,1704900,1514446,1455070,1464,21545,2,15,17,1462,21530,22992,0,14,14,1462,21530,22992
South Carolina,2009,3482873,2908780,4561242,2344655,2216587,1817926,1664947,1482810,1425970,1506,22179,1,13,14,1505,22166,23671,1,19,20,1505,22166,23671
South Carolina,2008,3416097,2867503,4479800,2300546,2179254,1788356,1627741,1470506,1396997,1623,22062,2,10,12,1621,22052,23673,1,14,15,1621,22052,23673
South Carolina,2007,3346810,2815502,4407709,2267145,2140564,1745348,1601462,1434213,1381289,1591,21987,1,8,9,1590,21979,23569,0,18,18,1590,21979,23569
South Carolina,2006,3286547,2768324,4321249,2218563,2102686,1712945,1573602,1406847,1361477,1590,21340,1,12,13,1589,21328,22917,0,18,18,1589,21328,22917
South Carolina,2005,3094471,2627450,4127391,2132509,1994882,1624157,1470314,1352612,1274838,1501,20955,4,10,14,1497,20945,22442,0,25,25,1497,20945,22442
South Carolina,2004,3044353,2588976,4059838,2092909,1966929,1599268,1445085,1335847,1253129,1538,21112,0,6,6,1538,21106,22644,0,30,30,1538,21106,22644
South Carolina,2003,2992670,2540019,4008553,2077207,1931346,1579461,1413209,1315697,1224322,1558,21384,12,32,44,1546,21352,22898,0,33,33,1546,21352,22898
South Carolina,2002,2999792,2567073,3971899,2058953,1912946,1583580,1416212,1327760,1239313,1639,21257,4,17,21,1635,21240,22875,0,35,35,1635,21240,22875
