state,year,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
State prison total,1983,NA,NA,243604,NA,NA,351835,NA,NA,227293
State prison total,1984,NA,NA,239215,NA,NA,339651,NA,NA,195454
State prison total,1985,NA,NA,268728,NA,NA,378108,NA,NA,285383
State prison total,1986,NA,NA,289486,NA,NA,380684,NA,NA,301954
State prison total,1987,NA,NA,301393,NA,NA,436926,NA,NA,253765
State prison total,1988,NA,NA,338457,NA,NA,438e3,NA,NA,323261
State prison total,1989,NA,NA,353857,NA,NA,500682,NA,NA,428391
State prison total,1990,NA,NA,387634,NA,NA,442489,NA,NA,378929
State prison total,1991,NA,NA,429204,NA,NA,484149,NA,NA,415191
State prison total,1992,NA,NA,380114,NA,NA,504230,NA,NA,444516
State prison total,1993,NA,NA,390246,NA,NA,535100,NA,NA,462930
State prison total,1994,NA,NA,531515,NA,NA,613033,NA,NA,498614
State prison total,1995,NA,NA,606764,NA,NA,648246,NA,NA,579437
State prison total,1996,NA,NA,594702,NA,NA,704703,NA,NA,561213
State prison total,1997,NA,NA,623823,NA,NA,702818,NA,NA,599787
State prison total,1998,NA,NA,640495,NA,NA,789126,NA,NA,594747
State prison total,1999,40196,575244,NA,59756,886275,NA,35981,543730,NA
State prison total,2e3,42906,588161,NA,63957,909395,NA,38762,572217,NA
State prison total,2001,42572,556385,NA,59227,820092,NA,38225,514588,NA
State prison total,2002,44359,554778,NA,64347,931108,NA,37630,479417,NA
State prison total,2003,42192,541983,NA,67451,953549,NA,43171,552082,NA
State prison total,2004,47462,593871,NA,72779,998234,NA,45516,578109,NA
State prison total,2005,47180,609936,NA,79466,982429,NA,40785,542392,NA
State prison total,2006,77866,622234,NA,74173,1054057,NA,39192,499326,NA
State prison total,2007,49379,650613,NA,77151,1074368,NA,41147,537234,NA
State prison total,2008,61316,640148,NA,79077,1039683,NA,44596,559902,NA
State prison total,2009,47660,628736,NA,78268,1053565,NA,42743,531466,NA
State prison total,2010,47716,591865,NA,76277,979343,NA,49987,618153,NA
State prison total,2011,51057,609789,NA,77530,975291,NA,47240,578210,NA
State prison total,2012,45430,554022,NA,70168,910661,NA,49571,595548,NA
State prison total,2013,45573,600635,NA,74046,975544,NA,48763,620777,NA
State prison total,2014,48241,634753,NA,75975,1000400,NA,46091,579332,NA
State prison total,2015,47957,612928,NA,77978,997380,NA,45153,547058,NA
State prison total,2016,48704,593327,NA,81865,999003,NA,45233,545016,NA
