state,year,population,population_adult,population_adult_aged_18_65,jurisdiction_housed_in_local_facility_female,jurisdiction_housed_in_local_facility_male,jurisdiction_housed_in_local_facility_total,jurisdiction_local_facilities_solely_to_ease_prison_crowding_female,jurisdiction_local_facilities_solely_to_ease_prison_crowding_male,jurisdiction_local_facilities_solely_to_ease_prison_crowding_total,jurisdiction_private_prison_female,jurisdiction_private_prison_in_state_female,jurisdiction_private_prison_in_state_male,jurisdiction_private_prison_in_state_total,jurisdiction_private_prison_male,jurisdiction_private_prison_out_of_state_female,jurisdiction_private_prison_out_of_state_male,jurisdiction_private_prison_out_of_state_total,jurisdiction_private_prison_total,jurisdiction_public_prison_female,jurisdiction_public_prison_male,jurisdiction_public_prison_total,jurisdiction_unsentenced_female,jurisdiction_unsentenced_male,jurisdiction_unsentenced_total,total_under_jurisdiction_female,total_under_jurisdiction_male,total_under_jurisdiction_total
New Jersey,2016,8944469,6962122,5682758,2,81,83,NA,NA,NA,178,178,2542,2720,2542,0,0,0,2720,656,16410,17066,NA,NA,NA,834,18952,19786
New Jersey,2015,8958013,6960879,5715537,2,99,101,NA,NA,NA,187,187,2676,2863,2676,0,0,0,2863,721,16905,17626,NA,NA,NA,908,19581,20489
New Jersey,2014,8938175,6926870,5713070,5,105,110,NA,NA,NA,228,228,2533,2761,2533,0,0,0,2761,791,18038,18829,NA,NA,NA,1019,20571,21590
New Jersey,2013,8899339,6879591,5686255,11,108,119,NA,NA,NA,260,260,2475,2735,2475,0,0,0,2735,765,18952,19717,0,0,0,1025,21427,22452
New Jersey,2012,8864590,6838531,5691193,8,101,109,NA,NA,NA,266,266,2451,2717,2451,0,0,0,2717,795,19713,20508,0,0,0,1061,22164,23225
New Jersey,2011,8821155,6780274,5656091,20,180,200,NA,NA,NA,270,270,2617,2887,2617,0,0,0,2887,802,20145,20947,0,0,0,1072,22762,23834
New Jersey,2010,8801624,6739909,5623488,30,499,529,NA,NA,NA,261,261,2580,2841,2580,0,0,0,2841,875,21291,22166,0,0,0,1136,23871,25007
New Jersey,2009,8707740,6662880,5575807,55,1219,1274,NA,NA,NA,270,270,2680,2950,2680,0,0,0,2950,936,21496,22432,NA,NA,NA,1206,24176,25382
New Jersey,2008,8682661,6635601,5574997,58,1064,1122,NA,NA,NA,313,313,2328,2641,2328,0,0,0,2641,986,22326,23312,NA,NA,NA,1299,24654,25953
New Jersey,2007,8685920,6634776,5577116,66,1402,1468,NA,NA,NA,279,279,2407,2686,2407,0,0,0,2686,1131,23010,24141,NA,NA,NA,1410,25417,26827
New Jersey,2006,8724560,6632707,5581945,78,1743,1821,NA,NA,NA,262,262,2340,2602,2340,0,0,0,2602,1166,23603,24769,NA,NA,NA,1428,25943,27371
New Jersey,2005,8524868,6364651,5349459,84,1670,1754,NA,NA,NA,240,240,2360,2600,2360,0,0,0,2600,1209,23550,24759,0,0,0,1449,25910,27359
New Jersey,2004,8503294,6352672,5344939,73,1185,1258,NA,NA,NA,238,238,2272,2510,2272,0,0,0,2510,1232,23015,24247,0,0,0,1470,25287,26757
New Jersey,2003,8444076,6320351,5325514,175,1367,1542,NA,NA,NA,165,165,2471,2636,2471,0,0,0,2636,1352,23258,24610,0,0,0,1517,25729,27246
New Jersey,2002,8395357,6275385,5282513,139,1389,1528,NA,NA,NA,173,173,2428,2601,2428,0,0,0,2601,1413,23877,25290,NA,NA,NA,1586,26305,27891
New Jersey,2001,8289599,6357318,5375232,178,1841,2019,NA,NA,NA,161,161,2459,2620,2459,0,0,0,2620,1467,24055,25522,NA,NA,NA,1628,26514,28142
New Jersey,2000,8206336,6091506,5119380,189,3036,3225,NA,NA,NA,141,141,2357,2498,2357,0,0,0,2498,1509,25777,27286,NA,NA,NA,1650,28134,29784
New Jersey,1999,8155602,6073078.100000003,5102803.5,425,3903,4328,0,0,0,140,140,2377,2517,2377,0,0,0,2517,1722,27254,28976,0,0,0,1862,29631,31493
New Jersey,1998,8104868,6054650.200000003,5086227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1653,29468,31121
New Jersey,1997,8054135,6036222.300000003,5069650.5,NA,NA,NA,118,2746,2864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1404,26957,28361
New Jersey,1996,8003401,6017794.400000002,5053074,NA,NA,NA,266,4101,4367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1281,26209,27490
