state,year,custody_including_private_facilities_female,custody_including_private_facilities_male,custody_private_prison_female,custody_private_prison_male,custody_private_prison_total,custody_public_prisons_female,custody_public_prisons_male,custody_public_prisons_total,custody_unsentenced_females,custody_unsentenced_males,custody_unsentenced_total,total_under_custody_females,total_under_custody_males,total_under_custody_total
Maine,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,666
Maine,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,676
Maine,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,653
Maine,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,802
Maine,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,893
Maine,1983,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,30,917,947
Maine,1984,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,24,958,982
Maine,1985,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,27,1091,1118
Maine,1986,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,27,1289,1316
Maine,1987,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,26,1232,1258
Maine,1988,NA,NA,NA,NA,NA,NA,NA,NA,0,20,20,33,1252,1285
Maine,1989,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,45,1397,1442
Maine,1990,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,43,1498,1541
Maine,1991,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,59,1505,1564
Maine,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,1453,1510
Maine,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,1385,1437
Maine,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,1422,1460
Maine,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1425,1455
Maine,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1437,1476
Maine,1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1546,1601
Maine,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,1562,1629
Maine,1999,61,1600,3,19,22,58,1581,1639,0,0,0,58,1581,1639
Maine,2e3,57,1590,2,9,11,55,1581,1636,0,0,0,55,1581,1636
Maine,2001,58,1617,2,9,11,56,1608,1664,0,0,0,56,1608,1664
Maine,2002,84,1771,0,8,8,84,1763,1847,0,0,0,84,1763,1847
Maine,2003,121,1853,8,22,30,113,1831,1944,0,0,0,113,1831,1944
Maine,2004,125,1888,10,22,32,115,1866,1981,0,0,0,115,1866,1981
Maine,2005,124,1846,5,15,20,119,1831,1950,0,0,0,119,1831,1950
Maine,2006,145,1938,6,13,19,139,1925,2064,0,0,0,139,1925,2064
Maine,2007,139,2009,10,32,42,129,1977,2106,0,0,0,129,1977,2106
Maine,2008,147,1900,0,0,0,147,1900,2047,0,0,0,147,1900,2047
Maine,2009,190,1884,0,0,0,190,1884,2074,0,0,0,190,1884,2074
Maine,2010,154,1800,0,0,0,154,1800,1954,0,0,0,154,1800,1954
Maine,2011,150,1828,0,0,0,150,1828,1978,0,0,0,150,1828,1978
Maine,2012,144,1833,0,0,0,144,1833,1977,0,0,0,144,1833,1977
Maine,2013,135,1938,0,0,0,135,1938,2073,0,0,0,135,1938,2073
Maine,2014,174,2025,0,0,0,174,2025,2199,0,0,0,174,2025,2199
Maine,2015,157,2033,0,0,0,157,2033,2190,0,0,0,157,2033,2190
Maine,2016,226,2130,0,0,0,226,2130,2356,0,0,0,226,2130,2356
