state,year,population,population_adult,population_aged_18_65,awol_returns_with_or_without_new_sentences_female,awol_returns_with_or_without_new_sentences_male,awol_returns_with_or_without_new_sentences_total,escapee_returns_with_or_without_new_sentences_female,escapee_returns_with_or_without_new_sentences_male,escapee_returns_with_or_without_new_sentences_total,new_court_commitments_female,new_court_commitments_male,new_court_commitments_total,other_admissions_female,other_admissions_male,other_admissions_total,other_conditional_release_violators_admitted_with_new_sentence_female,other_conditional_release_violators_admitted_with_new_sentence_male,other_conditional_release_violators_admitted_with_new_sentence_total,other_conditional_release_violators_admitted_without_new_sentence_female,other_conditional_release_violators_admitted_without_new_sentence_male,other_conditional_release_violators_admitted_without_new_sentence_total,parole_violators_with_new_sentence_female,parole_violators_with_new_sentence_male,parole_violators_with_new_sentence_total,parole_violators_without_new_sentence_female,parole_violators_without_new_sentence_male,parole_violators_without_new_sentence_total,returns_from_appeal_or_bond_female,returns_from_appeal_or_bond_male,returns_from_appeal_or_bond_total,total_admissions_female,total_admissions_male,total_admissions_total,transfers_admitted_from_other_jurisdictions_female,transfers_admitted_from_other_jurisdictions_male,transfers_admitted_from_other_jurisdictions_total
Ohio,2016,11614373,9007798,7256258,0,0,0,0,0,0,2980,15012,17992,0,0,0,52,1840,1892,272,2562,2834,0,7,7,0,56,56,2,9,11,3306,19486,22792,0,0,0
Ohio,2015,11613423,8990472,7285422,0,0,0,0,0,0,2936,15271,18207,0,0,0,56,1572,1628,219,2285,2504,0,9,9,2,104,106,1,18,19,3214,19259,22473,0,0,0
Ohio,2014,11594163,8960023,7291280,0,0,0,0,0,0,2774,15527,18301,0,0,0,60,1647,1707,189,1836,2025,0,15,15,2,119,121,1,19,20,3026,19163,22189,0,0,0
Ohio,2013,11570808,8928373,7314167,0,0,0,0,0,0,2817,16269,19086,0,0,0,37,1140,1177,109,1514,1623,0,29,29,2,68,70,0,13,13,2965,19033,21998,0,0,0
Ohio,2012,11544225,8892056,7320406,0,0,0,0,11,11,2538,16401,18939,0,0,0,41,1054,1095,140,1228,1368,1,59,60,1,55,56,3,8,11,2724,18816,21540,0,0,0
Ohio,2011,11544951,8858876,7309982,0,0,0,0,3,3,2622,17098,19720,0,0,0,26,799,825,157,1189,1346,1,136,137,3,97,100,4,18,22,2813,19340,22153,0,0,0
Ohio,2010,11536182,8817345,7291841,0,0,0,0,5,5,3e3,19245,22245,0,0,0,34,708,742,143,1114,1257,2,202,204,0,137,137,3,11,14,3182,21422,24604,NA,0,NA
Ohio,2009,11542645,8829355,7328849,NA,NA,NA,0,9,9,3196,20390,23586,0,0,0,50,1118,1168,168,1467,1635,7,270,277,6,179,185,1,12,13,3428,23445,26873,NA,NA,NA
Ohio,2008,11485910,8750083,7288692,NA,NA,NA,NA,NA,NA,3415,21466,24881,NA,NA,NA,66,1597,1663,206,1977,2183,13,404,417,12,331,343,3,20,23,3715,25795,29510,NA,NA,NA
Ohio,2007,11466917,8726992,7282406,0,0,0,0,1,1,3649,23129,26778,27,161,188,45,781,826,251,1821,2072,12,562,574,11,346,357,1,12,13,3997,26834,30831,1,21,22
