state,year,population,population_adult,population_adult_aged_18_65,design_capacity_female,design_capacity_male,design_capacity_total,operational_capacity_female,operational_capacity_male,operational_capacity_total,rated_capacity_female,rated_capacity_male,rated_capacity_total
Minnesota,2016,5519952,4236521,3467457,NA,NA,NA,656,8848,9504,NA,NA,NA
Minnesota,2015,5489594,4208742,3468203,NA,NA,NA,650,8804,9454,NA,NA,NA
Minnesota,2014,5457173,4181144,3463225,NA,NA,NA,650,8804,9454,NA,NA,NA
Minnesota,2013,5420380,4146028,3445541,NA,NA,NA,665,8434,9099,NA,NA,NA
Minnesota,2012,5379139,4104420,3437697,NA,NA,NA,665,8434,9099,NA,NA,NA
Minnesota,2011,5344861,4065715,3410073,NA,NA,NA,665,8434,9099,NA,NA,NA
Minnesota,2010,5310584,4027588,3389211,NA,NA,NA,665,8434,9099,NA,NA,NA
Minnesota,2009,5266215,4008244,3382159,NA,NA,NA,665,8434,9099,NA,NA,NA
Minnesota,2008,5220393,3966043,3368484,NA,NA,NA,665,7696,8361,NA,NA,NA
Minnesota,2007,5197621,3936036,3343268,NA,NA,NA,573,7234,7807,NA,NA,NA
Minnesota,2006,5167101,3915729,3324271,NA,NA,NA,573,7382,7955,NA,NA,NA
Minnesota,2005,4969152,3732482,3197058,NA,NA,NA,573,7630,8203,NA,NA,NA
Minnesota,2004,4958748,3722060,3185624,NA,NA,NA,431,7577,8008,431,7577,8008
Minnesota,2003,4919584,3677177,3148010,NA,NA,NA,422,7173,7595,NA,NA,NA
Minnesota,2002,4882303,3634196,3111914,422,6642,7064,422,6642,7064,422,6642,7064
Minnesota,2001,4836367,3637692,3120740,366,6216,6582,366,6216,6582,366,6216,6582
Minnesota,2000,4850802,3549788,3025178,359,5962,6321,359,5962,6321,359,5962,6321
Minnesota,1999,4802379,3515225.099999999,2992208.1999999983,354,5432,5786,354,5432,5786,292,5372,5664
Minnesota,1998,4753955,3480662.1999999993,2959238.3999999985,NA,NA,5724,NA,NA,5724,NA,NA,5567
Minnesota,1997,4705532,3446099.2999999993,2926268.5999999987,NA,NA,5327,NA,NA,5327,NA,NA,5327
Minnesota,1996,4657108,3411536.3999999994,2893298.799999999,NA,NA,5014,NA,NA,5014,NA,NA,5014
Minnesota,1995,4608685,3376973.4999999995,2860328.999999999,NA,NA,4554,NA,NA,4554,NA,NA,4554
Minnesota,1994,4560262,3342410.5999999996,2827359.1999999993,NA,NA,4095,NA,NA,4095,NA,NA,4095
Minnesota,1993,4511838,3307847.6999999997,2794389.3999999994,NA,NA,3845,NA,NA,3845,NA,NA,3845
Minnesota,1992,4463415,3273284.8,2761419.5999999996,NA,NA,3678,NA,NA,3678,NA,NA,3678
Minnesota,1991,4414991,3238721.9,2728449.8,NA,NA,3414,NA,NA,3414,NA,NA,3414
Minnesota,1990,4366568,3204159,2695480,NA,NA,3198,NA,NA,3198,NA,NA,3198
Minnesota,1989,4337353,3172923.099999999,2670652,NA,NA,3098,NA,NA,3113,NA,NA,3098
Minnesota,1988,4308138,3141687.1999999993,2645824,NA,NA,2976,NA,NA,2964,NA,NA,2964
Minnesota,1987,4278924,3110451.2999999993,2620996,NA,NA,2717,NA,NA,2605,NA,NA,2605
Minnesota,1986,4249709,3079215.3999999994,2596168,NA,NA,2633,NA,NA,2495,NA,NA,2495
Minnesota,1985,4220494,3047979.4999999995,2571340,NA,NA,2546,NA,NA,2410,NA,NA,2410
Minnesota,1984,4191279,3016743.5999999996,2546512,NA,NA,2500,NA,NA,2410,NA,NA,2410
Minnesota,1983,4162064,2985507.6999999997,2521684,NA,NA,NA,NA,NA,2405,NA,NA,2405
