agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Brighton Police Department,2016,Michigan,7643,MI4726900,12,38,5,13,44,3,6,42,19,0,0,22,57,2,0,0,1,1,0,13,4,4,4,1,16,1,6,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0
Brighton Police Department,2015,Michigan,7682,MI4726900,26,25,2,9,54,3,14,30,14,0,2,15,73,1,0,0,4,1,0,6,2,3,7,1,6,0,13,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brighton Police Department,2014,Michigan,7615,MI4726900,16,24,3,7,47,4,3,38,27,0,0,21,69,1,0,2,1,0,0,6,1,2,9,0,14,2,9,0,1,8,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2013,Michigan,7586,MI4726900,10,28,0,11,36,6,5,39,32,0,0,41,45,2,0,2,0,0,0,13,3,1,8,1,9,1,24,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Brighton Police Department,2012,Michigan,7480,MI4726900,12,25,4,11,55,0,9,51,41,0,0,41,41,2,0,1,0,0,0,12,4,3,6,0,11,3,16,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Brighton Police Department,2011,Michigan,7438,MI4726900,24,32,2,20,43,3,1,47,52,0,3,39,62,2,0,2,0,3,0,12,6,5,8,1,18,1,14,1,2,13,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brighton Police Department,2010,Michigan,7238,MI4726900,49,17,6,20,62,3,4,31,37,0,1,35,68,4,0,2,0,1,0,17,9,3,5,0,16,1,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2009,Michigan,7256,MI4726900,40,41,6,17,58,1,6,25,31,0,1,23,47,0,0,0,1,2,0,19,1,1,4,5,12,2,12,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brighton Police Department,2008,Michigan,7237,MI4726900,29,27,12,22,77,13,14,23,41,0,5,21,71,3,0,0,1,5,0,12,8,5,6,0,13,3,7,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2007,Michigan,7326,MI4726900,15,39,8,18,123,7,9,36,63,0,3,47,103,4,1,2,1,3,0,29,13,1,5,2,11,5,25,0,4,6,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
Brighton Police Department,2006,Michigan,7121,MI4726900,46,32,7,22,115,9,10,34,51,0,2,65,74,3,3,3,1,2,0,27,12,8,5,1,7,4,30,0,2,6,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2005,Michigan,7122,MI4726900,38,42,3,26,95,3,2,42,56,1,2,74,71,4,3,5,0,2,0,23,7,1,8,2,16,0,15,1,3,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2004,Michigan,7052,MI4726900,75,45,5,31,101,11,6,41,74,0,1,82,90,5,1,4,0,1,0,30,13,2,19,0,5,7,13,0,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2003,Michigan,7012,MI4726900,45,43,12,16,129,10,5,47,71,2,1,77,72,5,2,0,0,2,0,21,17,6,12,0,10,11,9,0,2,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2002,Michigan,6777,MI4726900,44,54,6,32,92,16,7,41,74,0,2,52,104,2,0,0,1,3,0,25,12,4,7,1,12,7,13,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2001,Michigan,6736,MI4726900,44,41,11,29,106,12,2,40,72,1,3,43,81,2,3,5,0,3,0,21,21,8,4,2,12,6,9,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,2000,Michigan,0,MI4726900,60,50,7,17,107,12,2,46,76,0,2,39,63,2,3,0,1,6,0,19,11,9,10,2,5,7,24,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,1999,Michigan,6489,MI4726900,48,52,9,42,98,24,2,34,71,3,1,41,73,1,0,4,0,7,0,19,6,6,7,0,4,5,32,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,1998,Michigan,6635,MI4726900,60,47,6,22,135,23,5,52,66,1,1,34,84,2,1,7,0,0,1,12,9,2,13,3,2,7,17,1,6,3,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Brighton Police Department,1997,Michigan,6638,MI4726900,90,45,6,39,160,8,15,52,69,2,4,51,172,5,5,4,0,4,1,17,16,6,5,2,5,7,17,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brighton Police Department,1996,Michigan,6516,MI4726900,74,47,11,23,174,13,17,37,75,1,2,35,147,3,1,3,0,1,0,21,12,2,4,4,6,10,30,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
