agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Washington County Sheriff's Office,2016,Arkansas,47612,AR0720000,62,303,134,174,255,51,3,241,286,1,19,1,4,0,0,0,1,256,2,315,0,19,31,5,7,26,29,1,20,3,0,9,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2015,Arkansas,47157,AR0720000,78,282,117,219,207,43,4,269,335,0,14,10,3,2,0,0,6,278,0,305,1,21,38,7,11,12,44,4,24,4,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2014,Arkansas,45800,AR0720000,28,218,110,180,183,43,3,225,277,0,8,9,5,5,0,0,3,229,2,269,0,18,19,4,13,10,36,2,29,2,0,3,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2013,Arkansas,45263,AR0720000,37,204,102,187,135,34,3,197,298,0,17,2,1,1,0,0,1,202,1,247,0,9,21,5,18,9,37,2,20,1,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2012,Arkansas,44729,AR0720000,56,183,120,226,225,43,12,172,352,0,14,7,4,0,0,0,4,180,4,266,3,18,32,6,19,7,43,2,22,5,0,2,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2011,Arkansas,47269,AR0720000,39,191,106,205,192,38,15,188,287,1,13,12,1,4,0,0,4,173,2,231,0,24,16,7,17,11,33,5,21,1,0,2,0,0,0,0,0,1,10,0,3,0,0,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2010,Arkansas,43776,AR0720000,38,260,100,183,224,38,7,242,269,0,18,2,5,2,0,0,2,227,0,224,1,15,24,2,24,17,21,3,23,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2009,Arkansas,44154,AR0720000,51,216,92,194,221,60,7,234,298,0,14,9,4,0,0,0,2,214,0,231,1,18,20,11,22,10,45,4,19,1,0,4,0,0,0,0,0,0,7,1,0,0,2,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2008,Arkansas,44175,AR0720000,43,175,90,202,245,40,11,180,264,0,16,11,1,2,1,0,1,131,0,167,0,32,14,5,18,15,36,5,26,2,0,4,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2007,Arkansas,44241,AR0720000,69,196,86,257,292,45,5,181,308,0,22,7,4,4,1,0,0,104,1,256,1,18,26,4,29,18,32,3,29,0,0,11,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2006,Arkansas,43984,AR0720000,44,217,82,254,319,77,12,132,348,0,19,25,5,2,0,0,4,85,3,189,0,28,17,6,14,16,35,6,19,3,0,1,0,0,0,0,0,0,11,0,3,0,1,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2005,Arkansas,45448,AR0720000,53,218,119,218,251,79,14,138,295,2,9,11,3,0,0,0,2,65,3,242,0,17,27,2,15,7,27,4,27,4,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Washington County Sheriff's Office,2004,Arkansas,46357,AR0720000,47,208,84,217,243,42,10,119,338,1,20,8,1,1,1,1,3,37,1,205,0,12,22,17,20,5,24,5,20,2,0,0,1,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0
