agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Lathrup Village Police Department,2016,Michigan,4147,MI6352100,6,18,4,8,15,1,2,13,7,0,0,4,0,1,0,0,0,1,0,6,2,1,2,0,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Lathrup Village Police Department,2015,Michigan,4165,MI6352100,8,15,3,8,14,2,0,10,14,0,0,4,6,2,0,0,1,3,0,2,1,1,1,0,5,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2014,Michigan,4166,MI6352100,10,10,3,3,15,4,3,5,18,0,1,4,5,6,0,0,0,0,0,5,2,1,3,0,2,0,18,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2013,Michigan,4128,MI6352100,14,19,1,10,20,5,3,13,29,0,0,6,2,2,1,1,0,1,0,8,1,3,0,0,2,3,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2012,Michigan,4104,MI6352100,4,21,3,14,14,11,2,21,16,0,1,2,3,1,0,0,0,1,0,17,0,2,1,0,1,1,7,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2011,Michigan,4072,MI6352100,4,17,7,21,15,4,2,11,20,0,1,6,2,2,0,0,0,1,0,13,2,5,1,0,2,1,12,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2010,Michigan,4012,MI6352100,14,28,2,20,9,5,2,35,35,0,1,1,3,4,0,0,1,1,1,22,1,5,1,1,0,2,56,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2009,Michigan,4042,MI6352100,27,17,8,21,19,10,6,25,37,0,1,4,2,5,0,0,0,2,0,17,1,8,0,1,2,1,64,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2008,Michigan,4064,MI6352100,7,25,16,26,33,17,6,23,30,0,2,8,2,5,0,0,2,1,2,20,0,5,1,0,2,3,51,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2007,Michigan,4112,MI6352100,15,31,11,19,33,7,10,12,12,0,2,8,1,6,2,0,0,1,0,24,2,5,2,2,0,3,34,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2006,Michigan,4147,MI6352100,6,41,15,18,20,8,6,4,18,0,0,19,0,9,0,0,1,0,0,26,1,2,5,0,3,1,29,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2005,Michigan,4205,MI6352100,8,31,6,26,20,9,4,6,21,0,0,17,5,8,0,0,1,0,0,22,2,2,2,1,3,1,15,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2004,Michigan,4234,MI6352100,8,19,3,22,36,11,5,3,9,0,0,19,3,4,0,0,1,1,0,13,3,4,1,0,4,0,9,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2003,Michigan,4228,MI6352100,14,25,4,19,28,19,5,6,21,0,1,17,1,5,0,0,0,0,0,7,2,0,4,0,2,1,8,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2002,Michigan,4284,MI6352100,19,16,2,10,44,14,2,2,11,0,0,12,4,6,0,0,0,0,0,4,1,1,1,0,3,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2001,Michigan,4258,MI6352100,3,10,6,10,27,11,2,3,14,0,0,17,2,4,0,0,0,0,0,8,2,0,0,1,4,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,2000,Michigan,0,MI6352100,9,12,9,18,16,18,3,4,8,0,0,11,3,3,0,0,1,1,0,2,3,1,2,1,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,1999,Michigan,4256,MI6352100,7,10,5,14,14,7,1,5,5,0,1,18,1,4,0,0,0,0,0,2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,1998,Michigan,4348,MI6352100,28,18,7,10,19,8,7,0,18,0,0,11,0,4,0,0,0,2,0,0,5,2,2,1,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lathrup Village Police Department,1997,Michigan,4315,MI6352100,70,18,8,16,57,14,6,4,20,0,0,25,4,5,0,1,1,0,0,3,4,1,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
