agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Boone Police Department,2016,Iowa,12702,IA0080100,26,30,41,50,80,7,2,49,61,0,2,6,11,2,8,0,0,51,0,17,0,4,17,2,5,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Boone Police Department,2015,Iowa,12631,IA0080100,0,36,39,54,61,14,2,50,85,0,5,3,15,0,0,0,0,45,0,12,0,4,14,1,3,2,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Boone Police Department,2014,Iowa,12627,IA0080100,8,38,49,93,71,11,1,37,81,0,9,15,35,1,0,0,0,33,0,14,4,5,22,0,3,0,0,1,2,0,0,1,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Boone Police Department,2013,Iowa,12515,IA0080100,4,36,64,64,119,15,0,38,159,1,9,7,17,1,0,0,0,28,0,23,7,0,27,0,0,2,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boone Police Department,2012,Iowa,12684,IA0080100,0,64,54,111,137,3,0,38,194,0,13,0,19,1,0,0,0,17,0,47,9,3,25,3,0,1,0,0,1,1,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Boone Police Department,2011,Iowa,12727,IA0080100,0,81,50,156,220,11,0,50,177,0,14,1,32,1,0,0,1,20,0,59,9,2,11,6,0,1,0,1,2,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Boone Police Department,2010,Iowa,12565,IA0080100,0,70,34,101,166,9,0,47,186,0,3,0,9,0,0,0,2,17,0,73,7,0,23,2,0,1,0,0,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone Police Department,2009,Iowa,12592,IA0080100,1,64,42,74,170,14,1,15,120,0,3,6,6,0,0,0,0,9,0,89,5,1,12,4,4,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone Police Department,2008,Iowa,12611,IA0080100,1,75,65,89,172,10,0,54,183,0,14,5,0,1,0,0,0,37,0,118,10,0,16,4,10,1,0,1,0,1,0,0,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Boone Police Department,2007,Iowa,12768,IA0080100,1,75,54,106,224,8,2,46,174,0,15,14,0,1,0,0,0,28,0,112,16,0,33,9,2,2,1,0,0,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
