agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Ripley Police Department,2016,Tennessee,8129,TN0490100,36,157,61,145,136,16,15,22,48,1,5,58,48,13,0,1,0,4,2,52,5,7,29,0,14,0,36,0,4,5,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0
Ripley Police Department,2015,Tennessee,8216,TN0490100,43,111,62,165,136,21,71,20,49,1,1,47,42,13,0,0,1,13,1,43,6,4,16,3,15,0,37,2,3,8,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ripley Police Department,2014,Tennessee,8392,TN0490100,36,143,92,173,105,13,34,19,44,0,3,52,45,18,0,0,0,6,0,58,4,14,11,3,15,0,21,4,1,9,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Ripley Police Department,2013,Tennessee,8373,TN0490100,33,142,83,179,132,12,22,22,66,1,3,51,78,11,0,1,1,7,1,73,7,8,13,6,16,0,35,5,3,9,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Ripley Police Department,2012,Tennessee,8494,TN0490100,31,149,59,206,177,11,24,25,70,0,4,67,61,11,1,0,2,7,2,60,3,8,21,1,12,0,36,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripley Police Department,2011,Tennessee,8521,TN0490100,34,154,70,262,139,18,29,18,55,2,4,62,37,17,0,0,1,6,1,70,7,9,14,1,5,2,38,1,2,14,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ripley Police Department,2010,Tennessee,7473,TN0490100,32,179,75,212,210,15,46,23,99,1,5,73,40,18,0,0,1,10,0,93,10,5,26,0,6,2,40,4,5,5,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
Ripley Police Department,2009,Tennessee,7616,TN0490100,47,198,79,194,207,27,59,50,76,2,1,59,64,15,4,0,2,17,0,79,10,7,27,3,7,1,42,1,1,15,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Ripley Police Department,2008,Tennessee,7661,TN0490100,33,190,80,168,233,26,71,34,117,0,2,68,63,5,1,0,2,13,2,129,7,16,25,1,4,0,46,1,7,17,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Ripley Police Department,2007,Tennessee,7705,TN0490100,59,220,113,221,317,38,60,62,189,0,8,116,90,16,2,0,0,16,0,179,12,14,52,2,6,0,61,2,7,12,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Ripley Police Department,2006,Tennessee,7871,TN0490100,60,262,93,227,269,32,54,48,149,2,6,103,57,11,2,1,0,24,1,183,5,11,52,0,6,0,69,2,5,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripley Police Department,2005,Tennessee,7854,TN0490100,42,234,105,200,245,42,60,48,140,1,4,95,53,14,0,1,0,15,0,174,5,9,58,0,5,0,87,1,3,22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Ripley Police Department,2004,Tennessee,7824,TN0490100,76,235,104,190,269,62,77,40,181,6,5,101,73,20,2,3,0,16,0,150,8,10,66,0,4,1,89,1,6,15,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
