agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Muskegon Police Department,2016,Michigan,38442,MI6160300,301,759,149,285,586,91,30,240,334,5,28,308,125,62,3,3,8,32,5,202,11,88,16,6,43,7,33,2,12,3,0,8,0,2,0,1,0,0,0,1,4,1,2,0,0,0,1,1,0,1,11,1
Muskegon Police Department,2015,Michigan,38442,MI6160300,300,687,162,329,559,105,27,274,391,1,18,389,92,68,2,5,7,27,1,432,7,88,14,9,29,7,31,2,19,14,1,5,0,0,0,0,0,0,1,0,3,1,5,1,0,0,0,0,0,1,0,0
Muskegon Police Department,2014,Michigan,36964,MI6160300,284,845,183,452,627,106,29,322,437,1,22,410,96,69,0,4,4,16,2,616,10,101,29,8,50,10,50,5,28,30,0,3,0,0,1,0,3,0,1,0,0,2,15,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2013,Michigan,36658,MI6160300,289,885,171,645,746,61,25,349,449,1,37,365,139,71,2,1,10,20,2,696,11,154,44,10,83,12,46,4,38,27,0,8,0,0,0,0,2,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2012,Michigan,38253,MI6160300,315,1212,212,669,1013,97,23,308,453,0,38,417,95,83,11,6,11,24,1,761,14,264,34,14,45,15,47,11,29,32,0,3,0,0,0,1,4,0,1,0,2,3,15,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2011,Michigan,38372,MI6160300,404,1087,212,590,854,74,51,249,548,0,35,392,109,87,1,5,8,21,5,789,9,220,34,17,61,12,26,2,40,35,0,6,0,1,0,0,3,0,0,0,5,3,5,1,0,0,0,0,0,0,0,0
Muskegon Police Department,2010,Michigan,38829,MI6160300,466,1110,190,539,1149,98,31,240,568,3,45,388,149,91,5,4,11,22,1,919,16,163,20,23,45,13,48,3,49,16,0,4,0,0,0,1,6,0,1,0,11,4,7,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2009,Michigan,39327,MI6160300,434,955,177,545,956,110,38,200,620,1,26,422,136,97,4,6,12,11,1,581,20,50,23,9,33,11,44,6,32,20,0,4,0,0,0,1,2,0,0,0,7,5,13,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2008,Michigan,39319,MI6160300,401,936,216,553,826,129,27,284,682,5,35,363,172,101,4,8,9,20,1,495,13,39,51,15,35,6,41,3,39,20,0,1,0,0,0,2,1,0,1,0,7,1,6,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2007,Michigan,39562,MI6160300,467,899,241,390,905,156,10,222,778,2,34,222,191,77,4,5,5,13,0,213,19,92,16,8,28,23,42,3,40,13,0,0,0,3,2,2,0,0,0,0,4,2,8,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2006,Michigan,39820,MI6160300,671,1011,258,450,1325,167,7,259,936,3,47,243,184,101,2,3,10,14,1,244,17,115,17,31,41,24,66,12,65,31,0,0,0,0,0,3,4,0,1,0,5,1,8,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2005,Michigan,39987,MI6160300,640,1075,272,503,1174,239,8,214,1006,4,56,246,140,99,1,11,11,21,3,188,18,97,46,22,45,22,56,3,50,37,0,3,0,3,0,5,6,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2004,Michigan,39954,MI6160300,667,1130,251,520,1313,239,7,136,976,0,61,281,174,70,4,7,8,14,1,338,12,62,33,17,34,17,41,0,53,15,0,5,0,3,0,4,2,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2003,Michigan,39547,MI6160300,634,1173,203,478,1280,216,21,107,982,2,50,184,104,48,2,9,19,6,1,491,11,53,35,8,24,10,33,1,52,14,0,0,0,1,1,0,1,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2002,Michigan,40557,MI6160300,742,1391,256,471,1487,408,43,119,1013,4,58,222,107,83,2,3,24,16,2,751,12,80,31,22,36,17,43,1,70,10,0,3,0,0,0,1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Muskegon Police Department,2001,Michigan,40316,MI6160300,759,1201,252,561,1248,231,52,124,1019,3,56,205,135,82,3,4,18,10,1,492,21,119,62,22,25,12,63,3,75,7,0,1,0,2,0,6,2,0,1,0,9,0,2,0,0,0,0,0,0,0,0,0
