agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Logan Police Department,2016,Ohio,7106,OH0370100,24,39,8,39,65,5,0,61,60,1,6,74,51,2,1,6,0,70,0,71,0,4,5,2,3,5,4,4,4,9,1,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2015,Ohio,7150,OH0370100,40,42,7,40,84,7,2,58,65,0,3,71,61,2,2,5,0,54,0,95,0,6,6,2,3,9,3,4,6,4,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Logan Police Department,2014,Ohio,7139,OH0370100,37,36,11,49,99,5,0,51,101,0,8,85,56,1,4,1,0,42,0,89,0,1,8,1,4,12,9,3,5,13,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2013,Ohio,7153,OH0370100,39,2,0,48,65,10,3,79,56,0,1,131,74,5,1,0,0,74,1,105,0,5,8,0,1,13,9,2,3,7,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2012,Ohio,7155,OH0370100,41,3,1,61,99,6,0,51,52,1,3,129,68,6,1,0,1,53,0,121,0,3,33,1,6,17,5,1,7,9,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2011,Ohio,7157,OH0370100,52,4,1,80,114,9,16,46,80,3,4,138,74,4,4,3,0,37,1,133,0,5,16,1,4,14,6,4,5,11,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2010,Ohio,7418,OH0370100,49,35,1,91,103,10,20,48,17,2,0,172,57,2,0,15,0,46,0,59,0,2,8,0,0,3,3,1,10,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2009,Ohio,7489,OH0370100,60,39,3,53,120,10,11,63,9,1,3,153,34,1,0,9,1,48,0,64,0,7,13,1,3,1,1,2,7,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2008,Ohio,7474,OH0370100,54,41,3,76,202,16,21,40,114,4,4,134,46,6,1,10,1,36,0,110,0,7,22,1,1,3,6,3,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2007,Ohio,7426,OH0370100,62,79,2,102,224,10,19,26,104,5,6,119,18,3,2,5,4,14,0,115,0,10,16,0,2,8,7,3,7,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2006,Ohio,7099,OH0370100,76,76,1,64,214,16,14,48,108,3,5,128,37,5,0,18,1,18,0,80,0,6,21,2,2,13,5,1,10,7,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2005,Ohio,7090,OH0370100,74,128,1,69,238,14,8,36,30,0,3,194,41,2,0,13,1,19,0,114,0,3,23,1,1,10,2,2,4,12,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2004,Ohio,6884,OH0370100,108,91,2,94,238,18,8,30,61,1,9,176,44,1,0,16,0,10,0,130,0,8,20,1,0,7,11,1,8,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Police Department,2003,Ohio,6815,OH0370100,87,73,1,75,206,27,3,13,104,1,6,57,33,2,4,9,1,7,0,113,0,1,11,0,3,3,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
