agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Pratt Police Department,2016,Kansas,6854,KS0760100,69,69,9,64,92,10,5,46,63,0,0,54,16,0,0,0,1,58,0,8,2,3,6,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2015,Kansas,6997,KS0760100,42,59,5,56,77,5,6,36,59,0,3,51,15,1,0,1,2,47,0,6,2,5,1,0,4,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2014,Kansas,7026,KS0760100,27,82,10,53,95,9,2,61,54,0,1,47,22,1,0,1,0,71,0,22,2,6,26,4,4,2,4,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pratt Police Department,2013,Kansas,6900,KS0760100,34,87,10,70,103,9,2,65,79,0,1,68,25,1,0,0,1,72,1,27,2,5,7,1,5,3,6,9,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pratt Police Department,2012,Kansas,6885,KS0760100,31,101,19,44,123,15,1,56,48,0,2,46,29,1,3,2,2,51,0,22,0,0,19,1,5,1,19,12,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2011,Kansas,6878,KS0760100,50,85,15,43,154,9,9,37,48,0,2,32,24,0,0,0,0,40,0,30,4,4,13,4,8,1,8,7,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2010,Kansas,6336,KS0760100,13,72,14,36,82,3,9,20,42,0,2,27,26,1,2,0,1,18,0,18,7,0,15,2,9,2,24,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2009,Kansas,6380,KS0760100,18,37,9,34,80,9,10,8,45,0,3,20,13,0,0,0,0,8,0,20,2,0,5,0,2,0,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2008,Kansas,6387,KS0760100,27,38,9,27,80,4,9,11,21,0,1,21,10,2,0,0,0,16,1,17,1,0,8,0,2,1,10,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2007,Kansas,6389,KS0760100,23,79,14,26,105,6,5,42,35,2,2,20,8,0,1,1,0,43,0,23,1,6,10,1,5,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2006,Kansas,6493,KS0760100,31,46,15,34,74,4,9,48,29,0,0,7,1,0,0,0,0,41,0,17,2,3,6,2,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2005,Kansas,6418,KS0760100,14,58,7,29,80,5,10,52,45,1,0,37,5,1,0,0,0,40,0,23,0,3,22,3,2,1,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2004,Kansas,6450,KS0760100,26,45,8,20,89,5,3,30,62,0,3,32,6,0,0,0,2,27,0,10,1,1,10,1,2,5,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2003,Kansas,6515,KS0760100,32,74,15,44,128,4,12,22,78,0,5,27,12,2,0,0,3,19,0,30,2,0,14,1,2,0,2,9,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2002,Kansas,6637,KS0760100,36,68,13,31,140,11,15,24,66,0,5,18,15,0,0,1,2,22,0,40,3,2,8,1,4,1,3,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt Police Department,2001,Kansas,6585,KS0760100,58,85,14,58,193,18,13,20,89,3,3,12,30,0,2,1,3,16,0,32,0,4,8,3,1,3,0,11,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
