agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Polk County Sheriff's Office,2016,Arkansas,14476,AR0570000,8,68,26,31,48,5,0,35,49,0,8,12,0,0,0,0,2,26,0,24,0,12,20,4,5,4,5,2,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2015,Arkansas,14473,AR0570000,6,41,16,29,64,8,2,44,62,0,3,19,0,2,0,0,1,29,0,24,0,14,13,12,6,2,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2014,Arkansas,14601,AR0570000,12,59,28,59,56,18,2,25,90,0,3,36,2,0,1,0,5,15,0,38,0,6,8,2,8,8,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2013,Arkansas,14693,AR0570000,6,58,15,62,63,14,8,33,99,0,4,57,0,0,0,0,0,23,0,36,0,9,9,8,6,11,8,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2012,Arkansas,14943,AR0570000,17,67,30,88,80,5,9,26,87,0,4,48,1,1,0,0,0,13,0,31,0,17,18,6,5,9,4,4,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2011,Arkansas,15038,AR0570000,11,61,28,72,51,12,2,21,83,0,3,47,1,0,2,0,0,5,0,35,0,15,12,14,4,9,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2010,Arkansas,14665,AR0570000,26,58,33,81,54,9,2,30,82,0,6,47,1,0,1,0,0,3,0,40,0,11,15,5,3,6,5,4,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2009,Arkansas,14711,AR0570000,12,50,15,85,43,6,1,19,73,0,6,51,0,4,1,0,0,6,2,32,0,9,12,2,6,7,3,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2008,Arkansas,14596,AR0570000,9,36,14,75,40,9,1,15,39,0,5,44,0,3,2,0,0,4,0,19,0,7,8,2,5,14,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2007,Arkansas,14764,AR0570000,15,46,15,68,39,9,3,25,46,0,1,39,0,2,0,0,0,2,0,37,0,15,12,1,2,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2006,Arkansas,14734,AR0570000,9,47,13,73,41,5,3,27,58,0,3,21,0,0,0,0,2,5,1,29,0,7,17,0,8,5,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2005,Arkansas,14646,AR0570000,2,14,5,49,19,4,2,11,22,0,1,16,0,1,1,0,0,3,0,14,0,3,13,2,3,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2004,Arkansas,14766,AR0570000,7,29,17,98,34,2,1,21,54,0,0,37,0,0,0,0,0,4,0,24,0,6,21,1,5,4,9,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk County Sheriff's Office,2003,Arkansas,14689,AR0570000,2,30,15,77,24,2,1,8,20,1,0,6,1,0,0,0,0,0,0,27,0,3,15,2,1,4,2,1,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
