agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Papillion Police Dept,2016,Nebraska,19576,NB0770200,80,105,15,17,123,21,1,93,110,0,7,4,167,2,0,0,0,64,0,35,9,7,9,0,44,10,36,1,10,28,2,7,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2015,Nebraska,24355,NB0770200,46,100,11,20,129,11,8,86,129,0,4,1,167,2,0,0,0,59,0,26,13,9,9,1,61,7,30,0,9,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2014,Nebraska,22606,NB0770200,44,90,11,6,95,12,5,65,93,0,6,3,142,3,0,0,0,50,0,32,14,7,9,0,25,6,19,2,10,15,0,5,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2013,Nebraska,21274,NB0770200,59,98,1,32,164,17,11,118,108,2,5,9,143,4,0,0,0,90,0,38,20,11,18,1,38,4,30,5,12,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2012,Nebraska,19466,NB0770200,55,114,4,35,137,21,1,117,114,0,2,10,222,1,0,1,1,76,0,43,6,11,16,4,37,3,31,3,8,24,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2011,Nebraska,19063,NB0770200,54,94,2,34,140,11,8,99,120,0,7,5,123,2,0,0,0,70,0,39,6,8,15,4,41,7,19,1,6,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2010,Nebraska,25213,NB0770200,62,116,13,23,173,18,13,120,115,1,11,14,93,3,0,0,1,84,1,44,0,15,47,0,27,3,16,3,11,24,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2009,Nebraska,24390,NB0770200,67,137,8,34,245,15,7,102,136,0,8,9,137,3,1,0,0,76,0,70,1,5,17,2,37,2,24,2,9,12,1,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2008,Nebraska,22833,NB0770200,49,149,9,23,154,15,16,100,147,0,2,2,133,1,0,0,0,61,1,59,0,8,23,4,42,10,18,2,19,9,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Papillion Police Dept,2007,Nebraska,21748,NB0770200,53,119,5,23,174,20,23,141,147,1,5,4,113,1,0,1,1,100,0,51,0,8,15,1,38,11,20,5,8,15,1,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
