agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
South Bloomfield Police Department,2016,Ohio,1873,OH0650800,4,7,1,5,15,2,1,12,17,0,0,4,3,0,0,0,0,14,0,6,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2015,Ohio,1829,OH0650800,9,7,2,5,9,4,1,9,3,0,1,2,4,0,0,0,0,5,0,7,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2014,Ohio,1777,OH0650800,5,3,0,5,7,3,0,14,7,0,0,8,2,0,0,0,0,12,0,7,0,1,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2013,Ohio,1778,OH0650800,5,7,0,9,6,2,0,6,18,0,0,6,1,0,0,3,0,0,0,6,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2012,Ohio,1754,OH0650800,3,9,0,10,7,3,0,14,20,0,0,9,2,0,0,0,0,8,0,7,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2011,Ohio,1745,OH0650800,12,8,0,7,9,0,0,12,12,0,0,10,5,0,0,0,0,7,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2010,Ohio,1682,OH0650800,7,9,0,5,11,2,0,22,13,0,0,10,1,0,1,1,0,18,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2009,Ohio,1700,OH0650800,8,15,0,16,16,2,1,12,19,0,0,15,2,0,0,0,0,8,0,5,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Bloomfield Police Department,2008,Ohio,NA,OH0650800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Bloomfield Police Department,2007,Ohio,NA,OH0650800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
South Bloomfield Police Department,2006,Ohio,1542,OH0650800,2,7,1,10,13,2,1,32,26,0,0,4,15,0,0,0,1,34,0,7,0,3,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
