agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Nashua Police Department,2016,New Hampshire,88252,NH0064600,210,705,80,126,536,57,34,689,127,5,40,365,340,28,1,3,9,1,0,50,47,24,63,13,140,74,140,14,26,98,2,22,7,36,1,1,0,0,16,0,3,0,1,1,0,0,0,0,0,0,0,0
Nashua Police Department,2015,New Hampshire,87433,NH0064600,232,739,90,138,555,67,47,502,136,1,45,380,385,44,0,1,7,0,5,53,44,28,69,8,106,87,130,7,47,128,0,28,9,12,0,2,0,0,18,0,4,0,3,0,0,0,0,0,0,0,0,0
Nashua Police Department,2014,New Hampshire,87279,NH0064600,309,755,82,279,730,76,65,455,193,0,47,506,469,54,8,1,9,1,4,94,37,25,72,14,119,111,160,16,44,60,0,20,6,11,0,0,0,0,14,0,3,0,1,0,0,0,0,0,0,0,0,0
Nashua Police Department,2013,New Hampshire,87052,NH0064600,386,773,78,340,891,66,92,420,355,1,28,527,550,64,2,1,5,0,5,96,33,19,118,10,121,83,176,10,36,61,0,16,3,3,1,1,0,0,18,0,2,0,2,0,0,0,0,0,0,0,0,0
Nashua Police Department,2012,New Hampshire,86870,NH0064600,537,942,101,390,991,87,94,428,360,2,40,499,470,50,3,3,11,1,0,161,31,16,90,31,148,81,130,21,39,65,1,16,1,10,1,0,0,0,18,1,9,0,1,1,0,0,0,0,0,0,0,0
Nashua Police Department,2011,New Hampshire,86607,NH0064600,401,896,124,373,946,80,102,383,321,2,27,469,447,51,2,3,6,1,3,171,34,18,102,19,119,55,143,12,34,48,0,10,8,11,0,0,0,0,27,0,6,0,0,0,0,0,0,0,0,0,0,0
Nashua Police Department,2010,New Hampshire,86523,NH0064600,422,802,78,409,976,70,104,310,324,5,42,441,501,48,2,1,9,0,1,151,28,21,114,29,111,49,106,17,47,34,0,12,6,14,0,0,0,0,27,0,6,3,1,0,0,0,0,0,0,0,0,0
Nashua Police Department,2009,New Hampshire,86554,NH0064600,583,837,100,399,1174,107,117,291,308,8,27,417,594,39,1,2,15,1,1,207,48,34,76,14,133,28,124,20,32,45,0,10,0,2,0,1,0,0,20,0,4,1,0,0,0,0,0,0,0,0,0,0
Nashua Police Department,2008,New Hampshire,86845,NH0064600,603,819,97,416,1384,174,176,264,350,0,24,435,575,43,4,2,7,1,2,256,44,18,75,17,150,42,109,18,41,47,0,5,9,1,0,2,0,0,22,0,5,0,0,0,0,0,0,0,0,0,0,0
Nashua Police Department,2007,New Hampshire,87217,NH0064600,409,866,101,439,1190,141,198,260,340,4,17,499,384,53,2,2,11,4,1,227,39,18,56,32,104,29,130,20,38,46,0,10,6,8,0,0,0,0,28,1,6,1,1,0,0,0,0,0,0,0,0,0
Nashua Police Department,2006,New Hampshire,87651,NH0064600,415,821,113,350,1208,112,160,282,378,3,23,421,474,49,7,2,10,29,2,176,35,21,86,33,103,38,159,22,27,30,0,6,13,12,0,0,0,0,39,0,8,6,1,0,0,0,0,0,0,0,0,0
Nashua Police Department,2005,New Hampshire,88113,NH0064600,407,694,95,311,1170,130,195,250,332,3,23,399,331,28,0,2,9,10,3,155,29,20,92,47,125,13,245,19,18,38,0,3,15,6,0,0,0,0,17,0,33,6,1,0,0,0,0,0,0,0,0,0
