agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Brownstown Police Department,2016,Michigan,30864,MI8294700,66,268,34,65,105,58,38,61,89,0,9,19,18,5,1,2,10,21,0,37,1,14,8,1,54,5,32,0,10,13,0,2,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2015,Michigan,NA,MI8294700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownstown Police Department,2014,Michigan,30577,MI8294700,61,185,21,79,87,50,35,62,93,0,8,14,20,7,2,0,3,33,0,31,2,8,4,2,34,9,25,0,9,12,0,2,0,0,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2013,Michigan,30388,MI8294700,61,225,26,102,129,56,31,76,119,0,5,45,11,12,1,0,6,27,0,40,4,9,7,4,45,18,18,0,9,10,1,1,0,0,0,2,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2012,Michigan,NA,MI8294700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brownstown Police Department,2011,Michigan,30604,MI8294700,119,221,22,154,133,69,46,101,123,0,5,35,11,9,3,3,5,25,1,52,3,14,12,1,42,9,22,2,3,7,0,2,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2010,Michigan,28102,MI8294700,120,258,24,149,160,52,28,107,111,1,7,20,14,6,0,0,6,33,1,45,2,17,14,2,35,4,20,0,10,25,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2009,Michigan,29045,MI8294700,119,260,29,172,142,52,32,46,131,1,11,34,11,12,0,2,5,14,1,50,4,11,12,5,58,7,36,2,7,36,0,2,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2008,Michigan,29523,MI8294700,113,297,48,159,188,68,31,88,157,1,7,26,10,9,0,1,6,29,0,85,5,17,17,4,43,6,45,4,12,23,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2007,Michigan,30336,MI8294700,125,318,56,171,260,100,48,62,183,1,3,39,15,8,1,0,3,29,1,60,6,14,21,6,30,12,32,3,9,38,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2006,Michigan,29074,MI8294700,100,299,38,109,252,98,45,79,217,1,13,37,16,10,4,1,6,29,1,69,3,11,18,6,24,24,29,1,12,25,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2005,Michigan,28064,MI8294700,132,277,45,180,238,100,41,89,190,1,7,35,22,9,9,2,2,31,0,50,2,16,26,8,18,21,21,1,12,18,1,2,0,1,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Brownstown Police Department,2004,Michigan,NA,MI8294700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
