agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Bennettsville Police Department,2016,South Carolina,8514,SC0350100,31,160,58,63,210,19,6,66,128,0,2,3,83,19,0,0,0,18,1,35,3,12,9,0,11,8,27,2,5,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2015,South Carolina,8773,SC0350100,32,202,80,78,160,13,1,136,157,1,1,6,76,23,0,1,1,36,3,37,2,15,18,1,4,3,38,3,1,2,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2014,South Carolina,8811,SC0350100,24,172,75,66,193,7,3,104,177,2,1,5,97,17,1,1,0,28,0,36,1,15,16,2,4,2,28,2,1,3,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2013,South Carolina,8809,SC0350100,37,210,87,99,219,5,4,132,197,4,2,6,109,11,1,0,2,16,1,48,7,13,23,5,12,6,41,1,3,4,0,0,0,1,0,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2012,South Carolina,9034,SC0350100,39,224,99,98,288,15,8,174,276,0,2,10,100,15,2,0,0,11,1,94,4,13,25,3,6,5,55,1,5,7,0,0,0,0,1,0,0,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2011,South Carolina,9175,SC0350100,51,240,92,113,301,12,11,69,290,0,4,7,118,14,2,1,2,20,3,82,2,26,22,4,7,7,46,1,2,9,0,1,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2010,South Carolina,8941,SC0350100,36,240,82,91,286,13,8,93,246,5,2,5,62,19,1,1,0,22,3,117,4,12,18,3,7,5,38,2,1,8,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2009,South Carolina,8956,SC0350100,55,229,90,120,367,15,10,90,214,4,7,6,82,19,1,1,0,8,1,123,0,20,36,3,4,4,30,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2008,South Carolina,8854,SC0350100,61,262,130,121,357,14,12,96,245,5,4,15,112,27,4,1,1,20,2,148,2,15,37,6,9,4,81,3,4,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Bennettsville Police Department,2007,South Carolina,10898,SC0350100,49,283,154,131,341,23,15,95,331,2,4,21,120,14,1,0,0,26,1,147,1,16,30,2,5,4,64,5,10,14,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
