agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Stoughton Police Department,2016,Massachusetts,28583,MA0112300,63,175,60,68,142,27,1,76,176,0,3,45,81,9,11,2,0,0,1,98,1,21,49,2,13,16,50,2,1,2,1,2,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2015,Massachusetts,28748,MA0112300,42,160,42,64,148,40,0,64,193,0,1,38,88,12,3,4,0,0,0,97,2,10,30,3,9,16,39,1,2,1,0,1,0,2,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2014,Massachusetts,28451,MA0112300,52,211,64,98,190,30,0,66,171,0,2,49,105,18,6,9,1,0,0,99,1,14,26,0,14,17,54,4,3,0,1,3,1,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2013,Massachusetts,28186,MA0112300,73,170,47,75,255,36,0,81,225,0,3,58,93,15,12,6,1,1,1,126,5,18,38,0,11,24,55,2,3,2,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2012,Massachusetts,27392,MA0112300,119,156,60,101,241,45,2,70,232,0,2,72,84,16,5,3,3,1,0,107,7,17,23,4,22,19,50,1,6,1,0,0,0,0,0,1,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2011,Massachusetts,27126,MA0112300,99,164,81,131,256,36,2,75,238,0,3,65,72,23,2,3,3,0,0,95,4,20,27,6,29,23,46,7,0,22,0,0,3,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2010,Massachusetts,26866,MA0112300,46,155,69,157,263,34,2,72,180,0,5,66,120,21,2,1,7,0,2,80,4,11,24,1,21,22,43,7,0,37,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2009,Massachusetts,27355,MA0112300,6,157,75,207,227,29,1,44,162,0,6,75,76,18,2,4,2,0,0,69,5,12,25,1,17,14,50,4,0,40,0,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2008,Massachusetts,26924,MA0112300,6,137,56,198,268,27,2,75,167,0,8,47,57,22,4,3,6,0,0,60,5,9,24,0,22,10,58,7,0,46,0,3,1,1,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0
Stoughton Police Department,2007,Massachusetts,26814,MA0112300,0,157,71,157,240,39,3,79,145,0,4,43,34,13,8,4,6,0,0,88,6,12,30,2,23,24,63,3,1,29,0,1,4,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2006,Massachusetts,NA,MA0112300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stoughton Police Department,2005,Massachusetts,26828,MA0112300,13,147,40,141,241,51,7,104,130,0,2,45,49,25,7,3,1,14,0,66,7,9,19,1,16,16,47,8,1,15,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2004,Massachusetts,NA,MA0112300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stoughton Police Department,2003,Massachusetts,27251,MA0112300,15,131,64,132,253,64,7,105,184,0,10,20,24,12,0,0,1,3,0,55,1,5,33,4,24,21,5,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2002,Massachusetts,27486,MA0112300,23,137,60,110,229,72,8,85,184,0,9,8,31,17,1,0,0,9,2,48,2,11,38,7,17,15,10,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoughton Police Department,2001,Massachusetts,27278,MA0112300,19,20,161,104,232,69,6,79,188,2,12,20,37,10,0,4,2,9,0,65,0,12,36,1,15,28,9,0,1,5,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
