agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Jonesboro Police Department,2016,Arkansas,75230,AR0160100,113,410,205,1545,1166,129,30,846,1041,7,24,202,396,73,3,12,15,406,6,594,0,84,230,11,186,86,65,23,10,10,0,20,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2015,Arkansas,73404,AR0160100,367,465,232,687,1073,98,17,710,1164,0,36,227,538,62,0,0,15,331,4,398,0,67,162,10,169,52,114,20,7,8,0,24,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2014,Arkansas,72569,AR0160100,567,419,195,709,927,88,21,628,1557,4,41,554,466,64,5,14,11,273,4,572,0,48,195,8,231,62,62,15,10,5,0,27,0,5,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2013,Arkansas,71114,AR0160100,406,461,169,1010,881,104,32,662,1435,0,37,544,464,59,5,9,4,265,2,497,0,71,195,13,198,48,105,22,16,0,0,38,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2012,Arkansas,68807,AR0160100,409,387,167,1193,933,123,25,660,1430,4,28,646,503,80,9,9,4,220,5,561,0,54,247,12,227,40,83,14,19,7,0,10,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2011,Arkansas,67772,AR0160100,437,443,159,1303,1132,115,38,552,1505,3,42,726,465,85,9,15,9,198,1,615,0,60,166,17,243,71,73,22,10,11,0,9,0,12,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2010,Arkansas,67382,AR0160100,417,420,162,1245,1011,86,40,421,1338,0,23,669,311,58,7,8,5,140,2,620,0,60,183,12,202,40,78,16,18,7,0,13,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2009,Arkansas,64944,AR0160100,406,472,144,1239,1036,117,49,471,1307,0,27,664,445,74,4,18,4,148,1,579,0,71,201,10,166,50,54,20,17,7,0,13,0,11,4,0,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2008,Arkansas,64187,AR0160100,427,522,129,1292,1112,117,57,466,1413,3,31,660,392,94,9,16,4,81,3,730,0,61,172,17,158,63,72,24,14,3,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2007,Arkansas,61199,AR0160100,498,544,166,1447,1292,121,46,383,1654,2,32,624,352,96,5,9,2,83,3,617,0,62,297,12,222,44,90,26,8,7,0,12,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2006,Arkansas,60035,AR0160100,448,655,281,1606,1359,166,64,399,1897,1,40,730,226,89,12,14,4,87,2,601,0,100,351,7,202,62,68,21,16,8,0,3,0,3,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Jonesboro Police Department,2005,Arkansas,59366,AR0160100,522,637,317,1465,1200,191,108,372,1798,3,33,630,288,105,10,16,5,71,3,620,0,75,373,6,161,57,78,30,8,5,0,1,0,6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Jonesboro Police Department,2004,Arkansas,58002,AR0160100,264,199,134,822,472,90,49,177,838,1,23,448,149,48,4,8,8,45,2,144,0,28,305,6,43,33,58,12,4,10,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
