agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Dewitt Police Department,2016,Arkansas,3162,AR0010100,15,48,15,47,43,6,2,19,69,1,6,6,10,1,0,0,3,12,1,20,0,8,21,0,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2015,Arkansas,3197,AR0010100,23,48,18,48,41,2,2,19,64,0,3,6,13,3,0,0,3,9,0,7,0,6,13,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2014,Arkansas,3247,AR0010100,24,45,16,37,47,5,4,9,73,0,1,9,18,0,0,0,1,3,1,9,0,2,17,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2013,Arkansas,3259,AR0010100,33,40,18,53,44,6,10,29,44,0,1,21,1,2,0,0,0,9,0,22,0,4,7,0,5,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2012,Arkansas,3282,AR0010100,20,46,12,32,37,1,1,38,42,1,3,19,6,2,0,0,0,16,0,11,0,10,9,1,4,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2011,Arkansas,3317,AR0010100,3,49,21,44,30,3,0,35,74,0,0,2,7,2,0,0,0,4,0,17,0,2,9,1,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2010,Arkansas,3175,AR0010100,8,48,7,57,23,5,0,12,84,0,1,1,9,4,0,0,1,0,0,6,0,9,8,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2009,Arkansas,3223,AR0010100,10,76,13,56,8,9,0,4,69,0,2,2,2,6,0,0,0,0,0,5,0,4,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2008,Arkansas,3249,AR0010100,7,67,7,37,15,8,2,3,65,0,1,14,3,3,0,0,0,0,0,3,0,2,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2007,Arkansas,3354,AR0010100,28,46,13,76,34,4,3,10,68,0,4,22,5,6,1,1,0,0,0,5,0,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2006,Arkansas,3453,AR0010100,28,58,7,38,18,6,0,8,69,0,0,14,5,3,0,0,1,0,0,5,0,2,25,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2005,Arkansas,3459,AR0010100,18,69,16,41,23,2,2,18,57,0,1,19,3,0,0,1,0,1,1,14,0,3,6,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewitt Police Department,2004,Arkansas,3476,AR0010100,18,69,10,30,50,5,5,3,59,0,3,20,5,1,0,0,0,0,0,23,0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
