agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Longmeadow Police Department,2016,Massachusetts,15876,MA0071100,26,19,6,40,59,13,0,7,41,0,2,27,7,2,0,0,1,0,0,10,1,2,4,0,7,5,31,0,0,26,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2015,Massachusetts,15901,MA0071100,31,12,13,16,41,3,0,4,45,0,1,25,5,1,0,3,0,0,0,12,0,1,4,0,10,6,22,1,1,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2014,Massachusetts,15901,MA0071100,32,11,7,26,41,1,0,8,50,0,1,26,12,1,0,1,0,0,0,16,1,0,8,0,7,3,28,1,0,23,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2013,Massachusetts,15844,MA0071100,33,15,7,27,84,8,2,11,57,0,1,34,10,4,2,1,1,1,0,21,0,3,4,1,5,4,28,1,0,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2012,Massachusetts,15936,MA0071100,51,21,4,27,64,5,0,8,78,0,1,41,13,6,1,0,0,0,0,15,1,2,12,1,9,4,18,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2011,Massachusetts,15880,MA0071100,43,18,7,41,98,2,0,5,88,0,0,15,15,3,0,1,0,0,0,20,3,3,14,5,4,3,19,0,0,21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2010,Massachusetts,15324,MA0071100,78,19,2,45,86,7,4,4,147,0,0,16,8,3,2,1,1,0,0,21,5,1,11,0,5,4,24,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2009,Massachusetts,15506,MA0071100,57,32,3,35,77,10,1,7,87,0,0,17,15,1,3,3,1,0,0,38,1,1,13,2,4,10,13,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Longmeadow Police Department,2008,Massachusetts,15275,MA0071100,104,30,6,60,87,12,7,21,107,0,0,17,14,0,1,1,1,1,0,31,2,1,5,1,0,8,11,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longmeadow Police Department,2007,Massachusetts,15465,MA0071100,5,22,5,89,149,6,2,6,103,0,2,11,14,3,0,2,0,0,0,30,0,3,7,4,2,6,9,0,0,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
