agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Barre Town Police Dept,2016,Vermont,7791,VT0120500,1,10,3,29,44,0,0,2,57,0,5,0,17,0,0,0,0,0,0,0,1,0,0,0,2,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2015,Vermont,NA,VT0120500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barre Town Police Dept,2014,Vermont,7902,VT0120500,4,11,2,21,21,0,0,5,41,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2013,Vermont,7932,VT0120500,27,14,2,51,53,4,10,14,28,0,0,18,26,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2012,Vermont,7932,VT0120500,82,21,1,33,39,6,9,7,36,0,1,17,13,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2011,Vermont,7933,VT0120500,50,22,5,37,52,8,6,6,25,0,0,13,9,0,0,0,0,0,0,0,0,0,0,2,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2010,Vermont,8039,VT0120500,56,16,2,29,65,6,7,1,24,0,0,20,14,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2009,Vermont,8049,VT0120500,42,14,0,31,51,5,5,8,34,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2008,Vermont,8037,VT0120500,27,20,0,14,82,8,9,4,48,0,0,20,4,0,0,0,0,0,0,2,0,0,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2007,Vermont,8146,VT0120500,16,19,1,14,88,4,5,5,24,0,0,14,5,0,0,0,0,0,0,1,0,0,1,0,0,1,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2006,Vermont,8013,VT0120500,30,28,0,31,101,8,7,17,49,0,1,20,2,1,0,0,0,0,0,1,2,0,6,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2005,Vermont,7926,VT0120500,15,21,1,21,117,5,4,21,57,0,0,21,4,3,1,0,0,0,0,1,0,0,4,1,4,4,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Barre Town Police Dept,2004,Vermont,7875,VT0120500,5,8,1,5,26,0,1,3,11,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2003,Vermont,7802,VT0120500,9,12,6,9,44,1,4,17,8,0,0,10,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2002,Vermont,7699,VT0120500,6,13,2,10,32,3,2,5,13,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barre Town Police Dept,2001,Vermont,7655,VT0120500,15,11,1,5,42,6,3,3,11,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
