agency,year,state,population,ORI,theft_from_motor_vehicle,simple_assault,aggravated_assault,burglary_breaking_and_entering,destruction_damage_vandalism_of_property,motor_vehicle_theft,theft_of_motor_vehicle_parts_accessories,drug_narcotic_violations,all_other_larceny,theft_from_coin_operated_machine_or_device,rape,theft_from_building,shoplifting,robbery,pocket_picking,purse_snatching,sodomy,drug_equipment_violations,murder_nonnegligent_manslaughter,intimidation,embezzlement,weapon_law_violations,counterfeiting_forgery,arson,credit_card_automatic_teller_machine_fraud,stolen_property_offenses,false_pretenses_swindle_confidence_game,kidnaping_abduction,fondling_child_molest,impersonation,assisting_or_promoting_prostitution,pornography_obscene_material,incest,prostitution,operating_promoting_assisting_gambling,extortion_blackmail,betting_wagering,gambling_equipment_violations,statutory_rape,negligent_manslaughter,sexual_assault_with_an_object,welfare_fraud,wire_fraud,bribery,justifiable_homicide,sports_tampering,purchasing_prostitution,human_trafficking_commercial_sex_acts,human_trafficking_involuntary_servitude,identity_theft,animal_cruelty,hacking_computer_invasion
Walterboro Police Department,2016,South Carolina,5253,SC0150100,61,154,40,38,167,22,8,145,132,0,5,15,186,5,0,1,0,63,2,67,0,32,66,6,62,13,71,6,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Walterboro Police Department,2015,South Carolina,5250,SC0150100,66,177,22,48,143,13,5,85,118,0,3,9,137,18,0,1,0,31,0,75,0,24,57,3,63,14,69,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2014,South Carolina,5287,SC0150100,113,188,24,63,182,13,10,83,151,2,5,8,198,13,0,3,1,28,1,85,0,18,84,5,30,11,51,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2013,South Carolina,5281,SC0150100,110,189,29,63,172,18,15,116,187,0,6,9,160,11,0,1,0,43,1,61,0,33,54,2,40,21,43,4,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2012,South Carolina,5411,SC0150100,90,150,43,71,188,26,8,130,157,1,2,22,122,17,0,1,0,47,0,35,0,51,73,3,59,23,42,6,0,9,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2011,South Carolina,5461,SC0150100,138,189,25,110,213,24,10,125,191,3,5,36,149,14,0,3,0,72,0,82,0,49,66,3,46,23,50,5,2,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2010,South Carolina,5841,SC0150100,77,207,47,192,225,29,13,162,199,5,4,25,140,19,0,3,0,99,1,94,0,52,38,2,27,17,38,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2009,South Carolina,5825,SC0150100,92,210,83,117,244,27,14,81,224,4,4,6,168,16,0,3,0,45,2,77,0,59,110,0,26,20,51,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2008,South Carolina,5777,SC0150100,81,234,55,79,259,39,24,109,221,11,4,5,171,37,0,4,0,53,0,69,0,43,133,6,62,24,86,0,5,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2007,South Carolina,5601,SC0150100,62,224,74,100,247,41,13,107,205,8,4,5,124,37,0,2,0,29,3,52,0,28,58,2,34,27,78,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2006,South Carolina,5634,SC0150100,88,192,66,98,250,48,9,90,300,4,4,2,129,17,0,2,0,25,0,37,0,16,90,6,56,28,58,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2005,South Carolina,5591,SC0150100,61,164,55,80,257,36,2,107,248,8,5,5,110,15,0,1,0,22,0,43,0,11,85,2,27,20,122,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2004,South Carolina,5422,SC0150100,52,172,41,66,193,28,10,77,182,7,5,2,77,14,0,3,0,40,1,32,0,13,68,1,14,12,42,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2003,South Carolina,5173,SC0150100,90,121,47,85,178,31,21,80,192,7,2,5,56,21,0,4,0,32,1,33,0,16,46,3,15,14,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2002,South Carolina,5275,SC0150100,54,122,40,63,142,26,11,33,412,0,6,9,112,17,0,1,0,15,1,15,0,16,48,11,22,17,45,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2001,South Carolina,5219,SC0150100,73,126,40,57,165,25,16,31,140,1,0,17,106,0,0,1,0,0,1,17,4,13,47,7,26,19,31,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,2000,South Carolina,NA,SC0150100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walterboro Police Department,1999,South Carolina,5388,SC0150100,115,181,61,85,248,32,21,35,144,3,3,22,80,8,0,1,1,0,1,53,20,10,117,13,11,12,76,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,1998,South Carolina,5614,SC0150100,44,138,43,60,76,38,35,54,129,3,1,17,84,13,0,0,0,0,1,14,8,3,13,6,4,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,1997,South Carolina,6006,SC0150100,12,222,59,70,0,31,23,158,253,1,4,2,150,18,0,2,0,0,0,19,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,1996,South Carolina,5909,SC0150100,16,174,62,91,1,43,30,82,274,2,1,15,118,18,0,3,0,0,0,21,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,1995,South Carolina,NA,SC0150100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Walterboro Police Department,1994,South Carolina,5769,SC0150100,47,186,107,133,78,56,45,31,436,3,9,36,160,34,1,2,0,0,0,41,0,4,2,1,0,0,0,3,7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,1993,South Carolina,5736,SC0150100,47,171,130,127,76,44,46,7,425,3,6,49,131,20,0,3,2,1,2,11,1,6,7,0,1,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walterboro Police Department,1992,South Carolina,5674,SC0150100,55,200,138,111,247,34,39,18,302,5,6,44,95,18,0,2,0,0,0,6,3,20,34,6,2,3,27,6,5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Walterboro Police Department,1991,South Carolina,5607,SC0150100,41,204,104,120,205,29,33,7,259,7,5,27,124,21,1,2,1,0,1,12,8,7,21,4,3,2,28,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
