agency,year,state,population,ORI,number_of_months_reported,female_employees_civilians,female_employees_officers,female_employees_total,male_employees_civilians,male_employees_officers,male_employees_total,total_employees_civilians,total_employees_officers,total_employees_total,officers_killed_by_accident,officers_killed_by_felony,assaults_with_injury_gun,assaults_with_injury_knife,assaults_with_injury_oth_weap,assaults_with_injury_total,assaults_with_injury_unarmed,assaults_no_injury_gun,assaults_no_injury_knife,assaults_no_injury_oth_weap,assaults_no_injury_total,assaults_no_injury_unarmed,ambush_assault_gun,ambush_assault_knife,ambush_assault_oth_weap,ambush_assault_unarmed,ambush_total_assaults,burglary_assault_gun,burglary_assault_knife,burglary_assault_oth_weap,burglary_assault_unarmed,burglary_total_assaults,deranged_assault_gun,deranged_assault_knife,deranged_assault_oth_weap,deranged_assault_unarmed,deranged_total_assaults,disturbance_assault_gun,disturbance_assault_knife,disturbance_assault_oth_weap,disturbance_assault_unarmed,disturbance_total_assaults,oth_arrest_assault_gun,oth_arrest_assault_knife,oth_arrest_assault_oth_weap,oth_arrest_assault_unarmed,oth_arrest_total_assaults,prisoner_assault_gun,prisoner_assault_knife,prisoner_assault_oth_weap,prisoner_assault_unarmed,prisoner_total_assaults,riot_assault_gun,riot_assault_knife,riot_assault_oth_weap,riot_assault_unarmed,riot_total_assaults,robbery_assault_gun,robbery_assault_knife,robbery_assault_oth_weap,robbery_assault_unarmed,robbery_total_assaults,susp_pers_assault_gun,susp_pers_assault_knife,susp_pers_assault_oth_weap,susp_pers_assault_unarmed,susp_pers_total_assaults,traffic_assault_gun,traffic_assault_knife,traffic_assault_oth_weap,traffic_assault_unarmed,traffic_total_assaults,all_other_assault_gun,all_other_assault_knife,all_other_assault_oth_weap,all_other_assault_unarmed,total_assault_gun,total_assault_knife,total_assault_oth_weap,total_assault_unarmed,total_assaults_total
Philadelphia Police Department,2018-12-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,2,14,12,1,0,1,34,32,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,24,26,0,0,0,3,3,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,6,1,0,3,44,48
Philadelphia Police Department,2018-11-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,1,0,0,13,12,3,0,2,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,18,0,0,0,3,3,0,0,0,6,6,0,0,0,0,0,0,0,0,2,2,0,0,0,3,3,0,0,1,2,3,2,0,0,5,4,0,2,36,42
Philadelphia Police Department,2018-10-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,4,22,18,0,2,1,29,26,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,18,23,0,0,1,6,7,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,1,1,0,1,0,12,0,2,5,44,51
Philadelphia Police Department,2018-09-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,1,20,19,1,0,4,36,31,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,1,23,25,0,0,1,2,3,0,0,0,3,3,0,0,2,0,2,0,0,0,0,0,0,0,0,4,4,0,0,0,2,2,0,0,1,12,1,0,5,50,56
Philadelphia Police Department,2018-08-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,1,0,2,23,20,7,0,2,35,26,0,0,0,2,2,0,0,0,2,2,0,0,0,0,0,6,0,1,15,22,0,0,1,5,6,0,0,0,5,5,0,0,0,0,0,1,0,0,1,2,0,0,0,4,4,0,0,1,0,1,1,0,1,12,8,0,4,46,58
Philadelphia Police Department,2018-07-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,3,30,27,2,0,4,40,34,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,6,24,32,0,0,0,6,6,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,1,13,2,0,7,61,70
Philadelphia Police Department,2018-06-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,6,29,23,3,0,5,41,33,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,1,0,2,25,28,0,0,0,7,7,0,0,0,9,9,0,0,0,1,1,0,0,0,0,0,0,0,1,2,3,0,0,5,2,7,2,0,3,6,3,0,11,56,70
Philadelphia Police Department,2018-05-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,0,20,20,1,0,10,39,28,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,1,0,4,21,26,0,0,0,2,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,6,0,0,3,5,1,0,10,48,59
Philadelphia Police Department,2018-04-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,1,16,15,11,0,2,40,27,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,8,0,1,22,31,0,0,2,1,3,0,0,0,3,3,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,13,11,0,3,42,56
Philadelphia Police Department,2018-03-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,3,22,19,0,1,1,36,34,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,1,2,18,21,0,0,1,5,6,0,0,0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,5,5,0,0,0,5,5,0,0,1,10,0,1,4,53,58
Philadelphia Police Department,2018-02-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,4,23,19,1,0,3,43,39,0,0,0,2,2,0,0,0,5,5,0,0,0,0,0,1,0,5,25,31,0,0,0,4,4,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,2,0,0,1,11,1,0,7,58,66
Philadelphia Police Department,2018-01-01,Pennsylvania,1586916,PAPEP00,12,544,1420,1964,245,5157,5402,789,6577,7366,0,0,0,0,3,29,26,4,0,0,37,33,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,0,0,23,24,3,0,0,3,6,0,0,0,8,8,0,0,0,2,2,0,0,0,3,3,0,0,2,3,5,0,0,0,0,0,0,0,1,14,4,0,3,59,66
Philadelphia Police Department,2017-12-01,Pennsylvania,1575595,PAPEP00,12,549,1414,1963,240,5144,5384,789,6558,7347,0,0,0,0,3,19,16,0,3,3,42,36,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,5,20,27,0,0,0,1,1,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,3,4,0,0,0,11,0,3,6,52,61
Philadelphia Police Department,2017-11-01,Pennsylvania,1575595,PAPEP00,12,549,1414,1963,240,5144,5384,789,6558,7347,0,0,0,0,1,24,23,0,1,3,42,38,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,1,0,30,31,0,0,0,1,1,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,4,0,0,0,10,0,1,4,61,66
Philadelphia Police Department,2017-10-01,Pennsylvania,1575595,PAPEP00,12,549,1414,1963,240,5144,5384,789,6558,7347,0,0,0,0,2,23,21,1,2,4,32,25,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,1,2,2,23,28,0,0,1,2,3,0,0,0,6,6,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,3,0,3,0,0,0,8,1,2,6,46,55
