agency,year,state,population,ORI,number_of_months_reported,female_employees_civilians,female_employees_officers,female_employees_total,male_employees_civilians,male_employees_officers,male_employees_total,total_employees_civilians,total_employees_officers,total_employees_total,officers_killed_by_accident,officers_killed_by_felony,assaults_with_injury_gun,assaults_with_injury_knife,assaults_with_injury_oth_weap,assaults_with_injury_total,assaults_with_injury_unarmed,assaults_no_injury_gun,assaults_no_injury_knife,assaults_no_injury_oth_weap,assaults_no_injury_total,assaults_no_injury_unarmed,ambush_assault_gun,ambush_assault_knife,ambush_assault_oth_weap,ambush_assault_unarmed,ambush_total_assaults,burglary_assault_gun,burglary_assault_knife,burglary_assault_oth_weap,burglary_assault_unarmed,burglary_total_assaults,deranged_assault_gun,deranged_assault_knife,deranged_assault_oth_weap,deranged_assault_unarmed,deranged_total_assaults,disturbance_assault_gun,disturbance_assault_knife,disturbance_assault_oth_weap,disturbance_assault_unarmed,disturbance_total_assaults,oth_arrest_assault_gun,oth_arrest_assault_knife,oth_arrest_assault_oth_weap,oth_arrest_assault_unarmed,oth_arrest_total_assaults,prisoner_assault_gun,prisoner_assault_knife,prisoner_assault_oth_weap,prisoner_assault_unarmed,prisoner_total_assaults,riot_assault_gun,riot_assault_knife,riot_assault_oth_weap,riot_assault_unarmed,riot_total_assaults,robbery_assault_gun,robbery_assault_knife,robbery_assault_oth_weap,robbery_assault_unarmed,robbery_total_assaults,susp_pers_assault_gun,susp_pers_assault_knife,susp_pers_assault_oth_weap,susp_pers_assault_unarmed,susp_pers_total_assaults,traffic_assault_gun,traffic_assault_knife,traffic_assault_oth_weap,traffic_assault_unarmed,traffic_total_assaults,all_other_assault_gun,all_other_assault_knife,all_other_assault_oth_weap,all_other_assault_unarmed,total_assault_gun,total_assault_knife,total_assault_oth_weap,total_assault_unarmed,total_assaults_total
Anchorage Police Department,2017-12-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,3,3,11,6,12,57,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,4,15,0,6,2,15,23,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,2,12,0,0,0,0,11,6,12,31,60
Anchorage Police Department,2017-11-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,1,1,7,1,6,29,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,9,6,0,1,6,13,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,0,0,0,0,0,0,0,0,0,7,1,6,16,30
Anchorage Police Department,2017-10-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,1,1,1,0,10,38,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,6,6,1,0,3,11,15,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,1,1,0,10,28,39
Anchorage Police Department,2017-09-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,2,9,7,3,2,9,33,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,10,2,0,5,11,18,0,0,0,5,5,0,0,0,0,0,1,0,0,0,1,0,2,2,1,5,0,0,1,1,2,0,0,0,0,3,2,11,26,42
Anchorage Police Department,2017-08-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,1,4,3,13,0,6,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,13,0,2,4,19,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,3,3,13,0,7,20,40
Anchorage Police Department,2017-07-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,4,4,3,0,4,35,28,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,6,6,0,0,1,5,6,0,0,0,7,7,0,0,0,0,0,0,0,0,3,3,0,0,0,2,2,0,0,1,0,1,2,0,1,7,3,0,4,32,39
Anchorage Police Department,2017-06-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,0,0,0,0,6,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,3,0,0,0,6,6,0,0,0,4,4,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,0,1,1,2,0,0,2,0,0,0,6,18,24
Anchorage Police Department,2017-05-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,1,4,3,1,4,4,29,20,0,0,0,0,0,0,0,1,0,1,0,0,0,4,4,0,0,0,9,9,0,0,1,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,2,7,0,0,3,0,3,0,0,0,4,1,4,5,23,33
Anchorage Police Department,2017-04-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,0,0,0,0,4,20,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,10,11,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,4,16,20
Anchorage Police Department,2017-03-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,6,6,0,2,19,31,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,7,8,0,2,1,4,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,13,0,13,0,0,0,0,0,2,19,16,37
Anchorage Police Department,2017-02-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,1,2,8,5,0,0,2,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,9,10,0,1,2,8,11,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,4,29,34
Anchorage Police Department,2017-01-01,Alaska,296188,AK00101,12,111,57,168,36,351,387,147,408,555,0,0,0,0,0,1,1,0,0,1,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,15,15,0,0,0,4,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,27,28
Anchorage Police Department,2016-12-01,Alaska,299097,AK00101,12,107,55,162,34,301,335,141,356,497,0,0,0,0,0,2,2,1,3,10,37,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,6,10,0,0,7,8,15,0,0,0,2,2,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,1,0,2,0,3,0,0,0,2,1,3,10,25,39
Anchorage Police Department,2016-11-01,Alaska,299097,AK00101,12,107,55,162,34,301,335,141,356,497,0,0,1,0,0,2,1,0,0,3,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,0,0,5,5,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,1,1,1,0,0,1,1,0,3,18,22
Anchorage Police Department,2016-10-01,Alaska,299097,AK00101,12,107,55,162,34,301,335,141,356,497,0,0,0,0,0,2,2,0,2,5,29,22,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,0,3,4,7,0,2,2,9,13,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,2,5,24,31
Anchorage Police Department,2016-09-01,Alaska,299097,AK00101,12,107,55,162,34,301,335,141,356,497,0,0,2,0,1,5,2,6,0,1,20,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,7,7,8,0,0,2,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,1,0,0,0,0,8,0,2,15,25
Anchorage Police Department,2016-08-01,Alaska,299097,AK00101,12,107,55,162,34,301,335,141,356,497,0,0,0,0,0,2,2,0,0,4,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,1,3,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,0,1,0,0,0,1,0,0,4,23,27
