agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Gibraltar Police Department,2018-10-01,Michigan,4474,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,73,6431,6516,6516,0,0,0,73,0,0,0,0,6443,0,0,12,0,364,0,0,0,3046,0,3094,6516,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2018-11-01,Michigan,4474,MI82423,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808,18693,0,0,0,0,20501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20501,0,0,0,0,0,0,0,0,0,619,0,1929,0,146,15198,607,0,61,0,1941,20501,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2018-12-01,Michigan,4474,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870,3870,3870,0,0,0,3870,0,0,0,0,0,400,0,1,0,30,0,0,0,1011,0,2427,3870,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2019-01-01,Michigan,4467,MI82423,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,715,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,7151,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2019-02-01,Michigan,4467,MI82423,0,0,0,20,0,0,20,260000,0,0,0,0,0,0,0,3000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35755,11918355,0,0,0,0,0,0,0,0,0,35755,0,0,0,0,0,0,0,0,0,35755067,0,0,0,59592,0,0,0,0,11918355,0,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2019-03-01,Michigan,4467,MI82423,15,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,14,0,0,0,0,0,58400,0,0,6,0,0,0,0,0,0,0,0,0,1275264,0,560,0,122,0,0,0,0,0,169240640,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119184,0,0,0,0
Gibraltar Police Department,2019-04-01,Michigan,4467,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1788,0,0,1,0,0,595917747,0,0,1788,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar Police Department,2019-05-01,Michigan,4467,MI82423,0,0,0,0,0,0,0,0,0,0,1500,0,0,0,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191835,0,0,0,0,11918355,0,0,0,0,0,0,11918355,0,11918,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Gibraltar Police Department,2019-06-01,Michigan,4467,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,730,3500,7230,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,417142,0,0,35755,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,119184,0,0,0,0,0,0,0,0,0,119184,0,0,1192,0,1,119,238,0,0,0
Gibraltar Police Department,2019-07-01,Michigan,4467,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,953468395,453,0,0,0,29795887,483,0,0,2145,0,0,0,0,0,0,0,1,2,0,0,244326276,0,0,0,0,483,0,0,0,0,0,0,29795887,0,0,0,0,0,0,0,2598,0,0,0,0,0,0,0,0,0,0,2,0,0,244326276
Gibraltar Police Department,2019-08-01,Michigan,4467,MI82423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,11918,2383671,0,0,0,11918355,0,0,0,0,0,11918,0,0,119184,0,11918355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,17878,8342848,12,0,12,0,0,56016268,0,0,0
Gibraltar Police Department,2019-09-01,Michigan,4467,MI82423,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,5000000,0,1,600,0,10,0,119183549,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119184,0,0,0,0,0,0,0,0,0,0,0,119,0,1191835,0,0,0,0,0,0,1192,0,0,0,0,0,11918356,0,0,238,23837,0,0,0,0,0
