agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Payette Police Department,2017-11-01,Idaho,7405,ID03803,0,0,1,0,1,2,4,4,0,0,0,0,0,0,0,0,0,0,4,2,1,7,0,0,0,1,2,0,0,0,4,0,0,0,0,0,0,2673,373,0,546,3591,31077,0,0,0,0,0,0,0,0,0,0,4,224,2131,2358,68103,0,0,0,2,224,0,0,0,2132,714,0,138,1,0,1492,0,31077,1643,622,1340,37026,0,0,0,1,0,0,0,27348,373,373,0,28095
Payette Police Department,2017-12-01,Idaho,7405,ID03803,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2,1,5,8,0,1,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,3411,3411,6215,0,0,0,0,0,0,0,0,0,0,65,99,7772,7936,23778,0,994,0,497,6299,0,0,0,145,0,124,2654,0,0,0,0,6215,5849,0,2720,17562,0,0,0,0,0,311,0,0,0,622,0,932
Payette Police Department,2018-01-01,Idaho,7430,ID03803,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,19172,0,0,0,0,0,0,0,0,0,0,0,164,4368,4532,42878,0,0,0,1699,2670,0,0,0,164,546,0,425,0,0,243,0,18808,3684,0,0,23706,0,0,0,0,0,0,0,18202,1,0,0,18203
Payette Police Department,2018-02-01,Idaho,7430,ID03803,0,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,7,3,0,10,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,131,131,6067,0,0,0,0,0,0,0,0,0,0,113,245,0,358,12623,0,0,0,127,0,0,0,161,69,18,157,6,0,118,0,0,6067,191,0,0,6556,18,0,0,0,118,0,0,6067,0,0,0,6203
Payette Police Department,2018-03-01,Idaho,7430,ID03803,1,0,0,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,485,0,140,1,0,626,2427,0,0,0,0,0,0,0,0,0,0,1,0,1517,1518,6998,1213,0,0,0,0,0,0,0,305,485,0,0,0,0,0,0,2427,1659,0,0,4571,485,0,0,0,0,0,0,0,1,0,0,487
Payette Police Department,2018-04-01,Idaho,7430,ID03803,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,7,1,8,16,0,1,0,4,2,0,0,0,9,0,0,0,0,0,0,0,0,0,2,2,11528,0,0,0,0,0,0,0,0,0,0,125,183,15195,15503,38561,0,1,0,3972,1019,0,0,0,10511,233,2,0,4029,24,0,0,11528,10974,243,0,27033,183,1,0,0,0,0,0,9707,1,243,0,10136
Payette Police Department,2018-05-01,Idaho,7430,ID03803,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,4,9,0,0,0,1,2,0,0,3,3,0,0,0,0,0,0,1820,0,0,0,1820,1820,0,0,0,0,0,0,0,0,0,0,47,224,2039,2310,7771,0,0,0,425,886,0,0,180,820,158,0,0,0,0,0,0,1820,1934,0,2039,5951,24,0,0,0,0,0,0,1820,22,0,0,1866
Payette Police Department,2018-06-01,Idaho,7430,ID03803,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,5,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,61,3932,3995,3995,352,0,0,0,0,0,0,2,3640,0,2,0,0,0,0,0,0,2779,0,1213,3995,0,2,0,0,0,0,0,0,0,0,0,2
Payette Police Department,2018-07-01,Idaho,7430,ID03803,0,1,1,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,5,2,5,12,1,1,0,1,1,0,0,2,6,0,0,0,0,7038,0,182,0,0,0,7220,53497,0,0,0,0,0,0,0,0,0,0,87,241,7579,7908,122121,12,121,0,359,485,0,0,12,6918,121,75,754,359,0,6917,0,53497,6659,0,243,68625,0,12,0,0,0,0,0,51677,0,0,0,51689
Payette Police Department,2018-08-01,Idaho,7430,ID03803,1,1,1,0,0,3,6,2,0,1,0,0,0,0,0,0,0,0,4,7,7,18,1,1,0,7,2,0,0,0,7,0,0,0,0,1,6447,607,0,0,0,7055,9707,0,0,0,0,0,0,0,0,0,0,116,795,25602,26514,52983,243,61,0,2228,4360,0,0,0,19622,910,44,2793,0,789,2236,0,9707,24315,1650,831,43276,0,0,0,0,0,0,0,9707,1335,0,182,11224
