agency,year,state,population,ORI,offenses_burglary_resident_day,offenses_burglary_resident_night,offenses_burglary_resident_unknown,offenses_burglary_nonresident_day,offenses_burglary_nonresident_night,offenses_burglary_nonresident_unknown,offenses_burglary_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_miscellaneous,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_picking_pocket,offenses_theft_purse_snatching,offenses_theft_shoplifting,offenses_theft_all_other,value_burglary_resident_night,value_burglary_resident_day,value_burglary_resident_unknown,value_burglary_nonresident_night,value_burglary_nonresident_day,value_burglary_nonresident_unknown,value_burglary_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_miscellaneous,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_picking_pocket,value_theft_purse_snatching,value_theft_shoplifting,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewelry_metal,value_stolen_livestock,value_stolen_local_motor_vehicle,value_stolen_miscellaneous,value_stolen_office_equipment,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_household_good,value_recovered_jewelry_metal,value_recovered_livestock,value_recovered_local_motor_vehicle,value_recovered_miscellaneous,value_recovered_office_equipment,value_recovered_tv_and_radio,value_recovered_total
Dublin Police Department,2017-11-01,Georgia,16086,GA08701,3,2,0,2,1,0,8,4,0,0,0,1,0,0,0,1,0,2,12,8,14,34,0,0,0,5,3,0,1,12,13,17950,2015,0,0,5440,0,25405,29866,0,0,0,994,0,0,0,31,0,1026,367,999,12594,13960,100122,0,0,0,3957,939,0,12,3351,5701,1081,34,1908,1075,840,13690,0,32593,15364,104,3565,70256,838,16,0,0,186,0,0,5221,1814,104,283,8463
Dublin Police Department,2017-12-01,Georgia,16086,GA08701,3,2,0,4,1,0,10,2,1,0,0,0,0,0,0,0,1,1,16,15,16,47,1,0,0,8,3,0,0,17,18,3691,2220,0,25,18778,0,24714,12628,0,0,0,0,0,0,0,0,189,189,348,1662,9870,11880,62039,25,0,0,3584,3027,0,0,1784,3461,1824,213,14770,3335,124,323,0,12753,10047,249,5774,49411,701,87,0,0,0,322,0,8702,229,0,0,10040
Dublin Police Department,2018-01-01,Georgia,15756,GA08701,3,1,0,0,2,0,6,3,1,1,0,0,0,0,0,0,2,2,4,5,15,24,1,0,0,8,1,0,0,2,12,1335,6819,0,24403,0,0,32558,27126,0,0,0,0,0,0,0,0,849,849,118,612,19720,20449,108108,10,0,0,5845,182,0,0,3982,10429,5942,0,6027,303,243,6310,0,26817,29946,0,5394,80982,0,0,0,473,0,0,0,3640,0,0,0,4114
Dublin Police Department,2018-02-01,Georgia,15756,GA08701,4,1,0,3,0,0,8,4,0,0,0,0,0,3,0,1,0,4,13,11,17,41,0,0,0,13,2,0,0,7,19,971,7910,0,0,1597,0,10478,20264,0,0,0,0,0,2136,0,607,0,2742,343,1381,25099,26823,80572,0,0,0,3910,1747,0,0,2787,18379,4406,2619,8789,546,1,1213,0,24511,10121,0,8101,60308,370,34,0,0,1,0,0,0,542,0,0,948
Dublin Police Department,2018-03-01,Georgia,15756,GA08701,4,0,0,4,4,0,12,2,0,0,0,2,0,0,2,2,0,6,12,15,19,46,1,0,0,14,8,0,0,12,11,0,1584,0,3325,14197,0,19106,38830,0,0,0,365,0,0,1,97,0,464,212,1863,13481,15556,112785,146,0,0,8987,2261,0,0,1604,2559,802,10099,432,5776,1,115,0,38976,13780,0,3974,73955,754,125,0,0,0,61,0,0,266,0,261,1466
Dublin Police Department,2018-04-01,Georgia,15756,GA08701,4,5,0,3,4,0,16,3,0,0,0,0,0,0,0,0,1,1,14,17,34,65,2,0,0,21,5,0,0,15,22,8818,2824,0,2690,12069,0,26401,23177,0,0,0,0,0,0,0,0,0,0,339,2033,78854,81225,153979,394,0,0,13151,825,0,0,4023,62832,4236,540,31335,7658,420,2306,0,42683,30071,0,11554,130802,39,0,1,473,56,0,0,32763,4652,0,0,37984
Dublin Police Department,2018-05-01,Georgia,15756,GA08701,7,3,0,2,1,0,13,5,2,0,0,0,0,0,0,1,0,1,21,17,27,65,1,0,0,15,6,0,1,16,26,2895,5388,0,0,427,0,8710,15169,0,0,0,0,0,0,0,487,0,487,336,2281,205423,208041,247576,3410,0,0,4997,3409,0,0,1533,194693,811,296,176612,3942,852,1281,0,21236,16832,1315,9229,232407,368,1,11,0,197,578,0,4248,859,0,0,6261
Dublin Police Department,2018-06-01,Georgia,15756,GA08701,8,3,0,1,3,0,15,2,0,0,0,0,0,0,0,1,1,2,8,10,16,34,0,1,1,8,2,0,1,7,14,2526,14895,0,1668,1,0,19091,11528,0,0,0,0,0,0,0,199,69,268,191,1190,15232,16613,59027,0,97,1,2326,2548,0,61,802,10778,1255,175,8367,2427,1577,775,0,12134,9778,0,11012,47500,260,0,0,0,0,199,0,0,252,0,1456,2167
Dublin Police Department,2018-07-01,Georgia,15756,GA08701,1,2,0,3,1,0,7,3,0,0,0,0,0,0,0,0,1,1,20,12,20,52,0,4,0,13,6,0,1,8,20,920,1062,0,485,61,0,2528,57517,0,0,0,0,0,0,0,0,243,243,504,1531,25232,27267,145071,0,682,0,7687,6299,0,1092,1440,10067,718,197,8191,681,275,1796,0,57031,13820,1092,3753,87554,635,75,0,0,221,315,0,0,1171,0,0,2417
Dublin Police Department,2018-08-01,Georgia,15756,GA08701,5,4,0,2,5,0,16,6,1,0,0,0,0,0,0,0,1,1,14,12,32,58,1,0,0,16,9,0,1,9,22,41548,6528,0,2355,4763,0,55194,128702,0,0,0,0,0,0,0,0,680,680,235,1318,33082,34635,347912,485,0,0,5395,8802,0,243,2790,16920,1277,56,7800,4259,1705,32530,0,132750,26494,0,12341,219211,181,0,0,0,0,192,0,21235,430,0,1087,23124
Dublin Police Department,2018-09-01,Georgia,15756,GA08701,10,2,0,2,4,0,18,1,0,2,0,0,0,0,0,0,0,0,14,18,20,52,0,2,2,13,4,0,1,16,14,1655,11128,0,1450,4490,0,18723,22368,0,0,0,0,0,0,0,0,0,0,352,2640,12176,15168,78628,0,413,849,3917,842,0,485,3841,4821,4944,505,6298,2633,44,1435,0,22368,7083,606,10345,56260,1774,85,0,0,11,513,0,0,262,0,0,2645
Dublin Police Department,2018-10-01,Georgia,15756,GA08701,2,4,0,0,5,0,11,4,1,2,0,0,0,2,0,1,0,3,20,12,22,54,0,0,0,7,9,0,2,19,17,5127,3458,0,177,0,0,8762,32514,0,0,0,0,0,2623,0,0,0,2623,252,1490,21784,23526,99940,0,0,0,2649,882,0,123,5252,14621,1527,51,7453,2028,343,1063,0,32514,15872,73,6503,67426,1198,39,0,0,342,910,0,23055,493,0,0,26037
Dublin Police Department,2018-11-01,Georgia,15756,GA08701,4,3,0,4,2,0,13,3,0,0,0,0,0,0,1,0,0,1,23,14,28,65,0,0,0,21,6,0,4,13,21,7063,3143,0,7494,10045,0,27745,8130,0,0,0,0,0,0,153,0,0,153,387,2196,32947,35531,79689,0,0,0,14078,1311,0,1389,2615,16137,4538,703,13615,3194,582,4794,0,8130,17006,3648,15349,71559,1596,285,0,0,170,0,0,4854,655,0,0,7560
Dublin Police Department,2018-12-01,Georgia,15756,GA08701,2,2,0,4,8,0,16,3,0,0,0,0,0,2,0,1,0,3,11,4,13,28,0,0,0,6,3,1,3,5,10,1119,849,0,21917,5970,0,29855,54605,0,0,0,0,0,2654,0,1213,0,3867,157,436,9280,9872,152804,0,0,0,3211,3095,0,747,437,2382,738,2,3830,1420,0,3640,0,54605,28477,1,5487,98200,533,0,0,607,0,0,0,24269,289,0,1091,26788
