agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total
Southgate Police Department,2017-01-01,Michigan,28939,MI82752,3,2,0,0,2,0,7,11,0,0,0,0,0,0,0,1,0,1,21,21,19,61,4,1,0,6,3,1,0,31,15,0,0,0,0,5345,0,0,559,0,0,5905,106084,0,0,0,0,0,0,0,5,0,5,533,2821,22364,25718,243795,2538,56,0,8515,2629,1057,0,5392,5530,435,198,3719,497,50,870,0,102554,27179,1924,286,137711,0,198,5,0,0,0,0,50966,3742,0,0,54910
Southgate Police Department,2017-02-01,Michigan,28939,MI82752,1,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,15,13,9,37,0,0,0,5,0,0,0,23,9,0,0,0,0,653,932,0,0,0,0,1585,410463,0,0,0,0,0,0,0,0,0,0,384,1856,15812,18052,840562,0,0,0,1444,0,0,0,3082,13526,389,134,3829,1243,0,404,0,379137,44912,0,51,430100,314,134,0,0,0,0,0,43508,35416,0,51,79424
Southgate Police Department,2017-03-01,Michigan,28939,MI82752,0,1,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,7,24,16,47,1,0,0,1,2,0,0,29,14,0,0,0,0,0,0,0,11817,0,0,11817,67810,0,0,0,0,0,0,0,0,0,0,226,2697,19217,22140,169576,31,0,0,1336,2259,0,0,6980,11534,116,203,3179,1114,0,1243,0,79432,14463,1336,681,101767,116,65,0,485,0,0,0,36671,4693,0,0,42028
Southgate Police Department,2017-04-01,Michigan,28939,MI82752,3,0,0,0,3,0,6,5,0,3,0,0,0,0,1,1,0,2,17,12,12,41,3,2,0,1,3,0,0,16,16,0,0,0,0,0,5257,0,10276,0,0,15533,86394,0,101,0,0,0,0,224,19,0,242,347,1551,32321,34219,222883,498,696,0,34,1441,0,0,4475,27075,273,107,30711,2075,0,124,0,86394,13419,1224,2162,136489,0,107,1341,435,0,0,0,34806,2838,0,111,39638
Southgate Police Department,2017-05-01,Michigan,28939,MI82752,3,3,0,1,3,0,10,9,0,3,0,0,0,0,0,0,1,1,16,22,23,61,1,2,0,15,1,0,1,25,16,0,0,0,0,9324,1113,0,13177,356,0,23969,147161,0,0,0,0,0,0,0,0,149,149,347,2949,25091,28387,346827,3729,1243,0,3817,670,0,124,11176,7626,2026,1,7165,497,0,0,0,156006,34032,1,0,199728,387,0,0,0,0,0,0,62154,10769,0,0,73309
Southgate Police Department,2017-06-01,Michigan,28939,MI82752,2,0,0,0,2,0,4,12,0,2,1,0,0,0,1,0,0,2,6,6,16,28,2,2,0,8,5,0,0,6,5,0,0,0,0,0,168,0,124,0,0,292,315442,0,119,0,0,0,0,93,0,0,93,126,879,13470,14474,645864,19,559,0,4090,1461,0,0,1033,7313,791,346,778,1305,205,466,0,310147,15762,0,622,330421,144,346,0,249,0,0,0,82043,1538,0,0,84319
Southgate Police Department,2017-07-01,Michigan,28939,MI82752,5,3,0,1,2,0,11,10,0,0,0,0,0,0,0,0,0,0,16,21,30,67,2,4,0,18,5,0,0,22,16,0,0,0,0,42349,32071,0,186,218,0,74824,110510,0,0,0,0,0,0,0,0,0,0,501,2497,37766,40764,336609,653,2051,0,21378,2735,0,0,2138,11809,6365,0,19505,702,62,14295,0,83163,98023,1722,2262,226099,75,0,25,0,0,0,0,74586,1303,106,0,76093
Southgate Police Department,2017-08-01,Michigan,28939,MI82752,4,0,0,0,0,0,4,4,0,2,0,1,0,0,1,1,0,3,13,11,24,48,3,2,1,14,6,0,1,11,10,0,0,0,0,0,83044,0,0,0,0,83044,22377,0,0,0,0,0,0,1740,2489,0,4229,198,1517,27159,28873,160898,6714,280,0,7931,6879,0,50,2489,4531,740,0,1300,0,373,82913,0,22377,29514,0,1305,138522,0,0,0,0,0,0,0,2486,1785,0,0,4271
Southgate Police Department,2017-09-01,Michigan,28939,MI82752,3,3,0,0,0,0,6,5,0,1,0,0,0,0,2,0,0,2,12,22,23,57,2,2,0,15,1,0,0,27,10,0,0,0,0,6961,3860,0,0,0,0,10821,65746,0,0,0,0,0,0,1305,0,0,1305,364,3002,34703,38069,181688,497,311,0,10692,16,0,0,5266,21288,206,762,16854,1989,1374,1840,0,64018,22056,2797,4046,115941,75,121,0,0,6,1119,0,37914,3369,0,168,42770
Southgate Police Department,2017-10-01,Michigan,28939,MI82752,1,1,0,0,1,0,3,6,0,2,0,0,0,0,1,1,0,2,24,22,37,83,8,1,0,29,7,0,1,21,16,0,0,0,0,3294,0,0,13725,0,0,17019,124805,0,0,0,0,0,0,311,808,0,1119,530,2536,105086,108151,375898,6352,155,0,11965,15808,0,31,4588,69252,2890,47,6117,1305,193,4388,0,129350,102551,1181,3070,251093,997,47,1729,746,0,0,0,0,3330,0,0,6849
