agency,year,state,population,ORI,offenses_burg_resident_day,offenses_burg_resident_night,offenses_burg_resident_unk,offenses_burg_nonresident_day,offenses_burg_nonresident_night,offenses_burg_nonresident_unk,offenses_burg_total,offenses_motor_vehicle_theft,offenses_murder,offenses_rape,offenses_robbery_bank,offenses_robbery_chain_store,offenses_robbery_gas_station,offenses_robbery_highway,offenses_robbery_house,offenses_robbery_misc,offenses_robbery_residence,offenses_robbery_total,offenses_theft_under_50,offenses_theft_50_to_200,offenses_theft_over_200,offenses_theft_total,offenses_theft_auto_part,offenses_theft_bicycle,offenses_theft_coin_machine,offenses_theft_from_auto,offenses_theft_from_building,offenses_theft_pick_pocket,offenses_theft_purse_snatch,offenses_theft_shoplift,offenses_theft_all_other,auto_stolen_recover_local,auto_stolen_recovered_other,auto_theft_total,auto_stole_oth_recover_local,value_burg_resident_night,value_burg_resident_day,value_burg_resident_unk,value_burg_nonresident_night,value_burg_nonresident_day,value_burg_nonresident_unk,value_burg_total,value_motor_vehicle_theft,value_murder,value_rape,value_robbery_bank,value_robbery_chain_store,value_robbery_gas_station,value_robbery_highway,value_robbery_house,value_robbery_misc,value_robbery_residence,value_robbery_total,value_theft_under_50,value_theft_50_to_200,value_theft_over_200,value_theft_total,value_total_all_values,value_theft_auto_part,value_theft_bicycle,value_theft_coin_machine,value_theft_from_auto,value_theft_from_building,value_theft_pick_pocket,value_theft_purse_snatch,value_theft_shoplift,value_theft_all_other,value_stolen_clothing_or_fur,value_stolen_consumable_good,value_stolen_currency,value_stolen_guns,value_stolen_household_good,value_stolen_jewel_metal,value_stolen_livestock,value_stolen_local_mtr_veh,value_stolen_misc,value_stolen_office_equip,value_stolen_tv_and_radio,value_stolen_total,value_recovered_clothing_or_fur,value_recovered_consumable_good,value_recovered_currency,value_recovered_guns,value_recovered_house_good,value_recovered_jewel_metal,value_recovered_livestock,value_recovered_local_mtv_veh,value_recovered_misc,value_recovered_office_equip,value_recovered_tv_and_radio,value_recovered_total,price,in_2023_dollars
State Police: Oswego County,2017-11-01,New York,0,NY337SD,4,2,6,2,1,1,16,2,0,9,0,0,0,0,1,0,0,1,6,5,13,24,1,0,0,2,5,0,1,7,8,2,0,2,0,472,14432,12790,1,4925,4351,36971,3868,0,0,0,0,0,0,81,0,0,81,127,592,10722,11440,56229,1851,0,0,1827,2635,0,37,1369,3721,348,122,5293,0,1413,4985,0,11685,27985,0,530,52361,348,122,0,0,83,3916,0,6215,1512,0,0,12196,1,1.24307319386626
State Police: Oswego County,2017-12-01,New York,0,NY337SD,2,0,2,1,2,2,9,2,0,6,0,0,0,0,0,0,0,0,9,7,8,24,0,1,0,3,4,0,0,8,8,2,0,2,0,0,1330,1765,1042,24,1485,5646,0,0,0,0,0,0,0,0,0,0,0,145,982,4509,5636,11282,0,31,0,14,2225,0,0,1878,1488,341,301,983,1740,815,249,0,1,6319,0,533,11282,0,298,0,0,0,0,0,1,1350,0,0,1650,1,1.24307319386626
State Police: Oswego County,2018-01-01,New York,0,NY337SD,3,2,2,1,1,0,9,4,0,7,0,0,0,0,0,0,0,0,9,7,6,22,0,0,0,1,2,0,0,9,10,2,0,2,0,1080,783,1323,182,200,0,3567,471,0,0,0,0,0,0,0,0,0,0,203,589,23128,23919,28428,0,0,0,6,364,0,0,527,23022,80,92,22150,0,280,394,0,471,4380,0,109,27958,80,92,19,0,38,18,0,3034,591,0,61,3933,1,1.21343405628813
State Police: Oswego County,2018-02-01,New York,0,NY337SD,1,1,3,0,0,2,7,2,0,5,0,0,0,0,0,0,0,0,9,8,12,29,0,0,0,7,4,1,0,8,9,0,0,0,0,6,24,329,0,0,1982,2341,21235,0,0,0,0,0,0,0,0,0,0,189,1062,53049,54300,99111,0,0,0,2040,862,121,0,655,50622,62,217,50433,364,1383,0,0,21235,3757,0,425,77876,0,30,0,0,11,0,0,0,1758,0,0,1800,1,1.21343405628813
State Police: Oswego County,2018-03-01,New York,0,NY337SD,3,2,1,1,2,1,10,3,0,6,0,0,0,0,0,0,0,0,10,5,12,27,1,0,0,2,5,0,0,7,12,2,0,2,0,1196,3288,0,8148,2779,363,15775,1213,0,0,0,0,0,0,0,0,0,0,254,595,53110,53958,72159,2,0,0,268,4231,0,0,8546,40910,0,98,48417,0,556,0,0,1213,18913,50,1699,70946,0,96,467,0,307,0,0,1213,808,50,0,2941,1,1.21343405628813
State Police: Oswego County,2018-04-01,New York,0,NY337SD,2,2,5,0,0,0,9,2,0,3,0,0,0,0,0,0,0,0,12,13,14,39,0,1,0,3,5,0,0,11,19,1,0,1,0,26380,1358,2312,0,0,0,30049,1820,0,0,0,0,0,0,0,0,0,0,120,1699,33766,35585,69275,0,102,0,130,1184,0,0,3961,30208,61,44,25539,0,24,6,0,26089,12979,0,2713,67455,0,12,837,0,12,6,0,1213,1850,0,590,4521,1,1.21343405628813
State Police: Oswego County,2018-05-01,New York,0,NY337SD,2,0,2,0,0,0,4,2,0,8,0,0,0,0,0,1,0,1,9,7,10,26,0,1,0,0,4,0,0,8,13,0,0,0,0,0,1116,7639,0,0,0,8755,76978,0,364,0,0,0,0,0,364,0,364,125,978,26782,27885,191323,0,121,0,0,6918,0,0,993,19853,273,678,11031,364,667,7275,0,76007,18050,0,0,114346,273,669,0,0,0,0,0,0,456,0,0,1398,1,1.21343405628813
State Police: Oswego County,2018-06-01,New York,0,NY337SD,7,1,3,1,0,1,13,3,0,2,0,0,0,0,0,0,0,0,13,14,10,37,0,2,0,5,5,0,1,14,10,1,0,1,0,0,4463,650,0,98,1238,6449,121647,0,0,0,0,0,0,0,0,0,0,302,1802,20497,22601,272344,0,273,0,1247,6401,0,64,1340,13276,61,58,14062,667,194,1,0,123588,11701,0,364,150698,61,0,0,121,30,0,0,0,3978,0,0,4190,1,1.21343405628813
State Police: Oswego County,2018-07-01,New York,0,NY337SD,1,0,7,2,1,3,14,4,0,6,0,0,0,0,0,0,0,0,14,7,20,41,0,3,0,1,8,0,0,6,23,1,0,1,0,0,121343,2827,0,672,510,125353,10245,0,0,0,0,0,0,0,0,0,0,250,847,336002,337099,482942,0,648,0,522,294066,0,0,786,41077,69,533,36313,485,146,555,0,9222,425138,0,237,472697,69,109,1213,0,146,191,0,0,1978,0,237,3942,1,1.21343405628813
State Police: Oswego County,2018-08-01,New York,0,NY337SD,1,2,3,1,0,2,9,0,0,4,0,0,0,0,0,0,0,0,13,14,17,44,1,2,0,9,3,0,1,5,23,0,0,0,0,340,0,2119,0,267,3049,5775,0,0,0,0,0,0,0,0,0,0,0,286,1801,136420,138507,144282,182,120,0,1557,3729,0,1,921,131997,147,809,117837,0,231,425,0,0,24494,0,340,144282,135,0,0,0,0,0,0,0,849,0,0,984,1,1.21343405628813
