county,state,year,number_of_inmates_booked,average_daily_population
LaSalle,Illinois,2016,3886,160.5
LaSalle,Illinois,2015,4524,144.1
LaSalle,Illinois,2014,4782,125
LaSalle,Illinois,2013,5454,139.2
LaSalle,Illinois,2012,5724,222.2
LaSalle,Illinois,2011,5740,246.8
LaSalle,Illinois,2010,5546,220.8
LaSalle,Illinois,2009,6123,239.7
LaSalle,Illinois,2008,6809,281.4
LaSalle,Illinois,2007,6546,255.5
LaSalle,Illinois,2006,6444,247.7
LaSalle,Illinois,2005,6172,249
LaSalle,Illinois,2004,6719,233.2
LaSalle,Illinois,2003,5460,196.4
LaSalle,Illinois,2002,3634,127.3
LaSalle,Illinois,2001,3139,106.2
LaSalle,Illinois,2000,3449,252.1
LaSalle,Illinois,1999,3225,151.9
LaSalle,Illinois,1998,3106,96
LaSalle,Illinois,1997,2664,94
LaSalle,Illinois,1996,2027,79
LaSalle,Illinois,1995,2215,78
LaSalle,Illinois,1994,2157.8,73.8
LaSalle,Illinois,1993,2100.5,69.5
LaSalle,Illinois,1992,2043.3,65.3
LaSalle,Illinois,1991,1986,61
LaSalle,Illinois,1990,1833,59.5
LaSalle,Illinois,1989,1711,56
LaSalle,Illinois,1988,2095,50
LaSalle,Illinois,1987,1527,49
LaSalle,Illinois,1986,1490,44
LaSalle,Illinois,1985,1349,45
LaSalle,Illinois,1984,1425,46
LaSalle,Illinois,1983,1697,45
LaSalle,Illinois,1982,1517,35
LaSalle,Illinois,1981,1436,42
