county,state,year,number_of_inmates_booked,average_daily_population
Union,Illinois,2016,,
Union,Illinois,2015,,
Union,Illinois,2014,,
Union,Illinois,2013,,
Union,Illinois,2012,,
Union,Illinois,2011,,
Union,Illinois,2010,,
Union,Illinois,2009,,
Union,Illinois,2008,,
Union,Illinois,2007,,
Union,Illinois,2006,,
Union,Illinois,2005,,
Union,Illinois,2004,,
Union,Illinois,2003,,
Union,Illinois,2002,,
Union,Illinois,2001,,
Union,Illinois,2000,,
Union,Illinois,1999,,
Union,Illinois,1998,,
Union,Illinois,1997,,
Union,Illinois,1996,,
Union,Illinois,1995,,
Union,Illinois,1994,183.5,6
Union,Illinois,1993,367,6
Union,Illinois,1992,550.5,6
Union,Illinois,1991,734,6
Union,Illinois,1990,446,4.9
Union,Illinois,1989,440,4
Union,Illinois,1988,105,2
Union,Illinois,1987,364,2
Union,Illinois,1986,221,3
Union,Illinois,1985,183,5
Union,Illinois,1984,235,4
Union,Illinois,1983,221,4
Union,Illinois,1982,216,5
Union,Illinois,1981,312,6
