county,state,year,number_of_inmates_booked,average_daily_population
Lee,Illinois,2016,1128,36.5
Lee,Illinois,2015,1106,42
Lee,Illinois,2014,1110,38.5
Lee,Illinois,2013,974,37.7
Lee,Illinois,2012,964,42.6
Lee,Illinois,2011,1013,38.6
Lee,Illinois,2010,999,37
Lee,Illinois,2009,1079,38.2
Lee,Illinois,2008,1950,43.3
Lee,Illinois,2007,1108,49.6
Lee,Illinois,2006,1177,44
Lee,Illinois,2005,1095,44.8
Lee,Illinois,2004,1027,44.2
Lee,Illinois,2003,1192,43.8
Lee,Illinois,2002,1369,48.9
Lee,Illinois,2001,1365,37.6
Lee,Illinois,2000,1153,32
Lee,Illinois,1999,1424,30.1
Lee,Illinois,1998,1573,34
Lee,Illinois,1997,1585,34
Lee,Illinois,1996,1623,38
Lee,Illinois,1995,1496,36
Lee,Illinois,1994,1439.8,35.3
Lee,Illinois,1993,1383.5,34.5
Lee,Illinois,1992,1327.3,33.8
Lee,Illinois,1991,1271,33
Lee,Illinois,1990,1362,42.2
Lee,Illinois,1989,1606,21
Lee,Illinois,1988,1655,15
Lee,Illinois,1987,1634,16
Lee,Illinois,1986,1543,15
Lee,Illinois,1985,1353,15
Lee,Illinois,1984,1213,13
Lee,Illinois,1983,1199,12
Lee,Illinois,1982,1111,20
Lee,Illinois,1981,1340,17
