county,state,year,number_of_inmates_booked,average_daily_population
Clay,Illinois,2016,429,11.2
Clay,Illinois,2015,340,11
Clay,Illinois,2014,229,12.1
Clay,Illinois,2013,271,11.6
Clay,Illinois,2012,235,11.6
Clay,Illinois,2011,212,7.2
Clay,Illinois,2010,151,10.6
Clay,Illinois,2009,180,8.4
Clay,Illinois,2008,139,9.7
Clay,Illinois,2007,169,12.2
Clay,Illinois,2006,171,11.4
Clay,Illinois,2005,230,11.7
Clay,Illinois,2004,234,11.6
Clay,Illinois,2003,174,12.6
Clay,Illinois,2002,208,14.1
Clay,Illinois,2001,171,10.6
Clay,Illinois,2000,194,10.7
Clay,Illinois,1999,135,9.6
Clay,Illinois,1998,122,10
Clay,Illinois,1997,128,8
Clay,Illinois,1996,117,9
Clay,Illinois,1995,141,8
Clay,Illinois,1994,147.8,8.3
Clay,Illinois,1993,154.5,8.5
Clay,Illinois,1992,161.3,8.8
Clay,Illinois,1991,168,9
Clay,Illinois,1990,175,5.8
Clay,Illinois,1989,147,7
Clay,Illinois,1988,138,6
Clay,Illinois,1987,144,8
Clay,Illinois,1986,165,8
Clay,Illinois,1985,155,4
Clay,Illinois,1984,153,5
Clay,Illinois,1983,169,6
Clay,Illinois,1982,146,4
Clay,Illinois,1981,160,5
