county,state,year,number_of_inmates_booked,average_daily_population
Fayette,Illinois,2016,1495,64.5
Fayette,Illinois,2015,1434,48.1
Fayette,Illinois,2014,1206,37.3
Fayette,Illinois,2013,1032,38.3
Fayette,Illinois,2012,1065,35.6
Fayette,Illinois,2011,1060,34.2
Fayette,Illinois,2010,1077,31.6
Fayette,Illinois,2009,1259,31.7
Fayette,Illinois,2008,1282,30.6
Fayette,Illinois,2007,1133,25.9
Fayette,Illinois,2006,1175,30.3
Fayette,Illinois,2005,1193,27.8
Fayette,Illinois,2004,1125,28.6
Fayette,Illinois,2003,1154,14
Fayette,Illinois,2002,1199,13.9
Fayette,Illinois,2001,1228,13.4
Fayette,Illinois,2000,1301,13.1
Fayette,Illinois,1999,1500,16.4
Fayette,Illinois,1998,1492,15
Fayette,Illinois,1997,1067,10
Fayette,Illinois,1996,1055,9
Fayette,Illinois,1995,1015,12
Fayette,Illinois,1994,966.8,11
Fayette,Illinois,1993,918.5,10
Fayette,Illinois,1992,870.3,9
Fayette,Illinois,1991,822,8
Fayette,Illinois,1990,852,8
Fayette,Illinois,1989,913,9
Fayette,Illinois,1988,1013,8
Fayette,Illinois,1987,990,9
Fayette,Illinois,1986,910,6
Fayette,Illinois,1985,848,9
Fayette,Illinois,1984,955,13
Fayette,Illinois,1983,1203,12
Fayette,Illinois,1982,731,10
Fayette,Illinois,1981,736,8
