county,state,year,number_of_inmates_booked,average_daily_population
Mercer,Illinois,2016,749,16.6
Mercer,Illinois,2015,591,14.6
Mercer,Illinois,2014,645,14.1
Mercer,Illinois,2013,1370,52.8
Mercer,Illinois,2012,1233,48.3
Mercer,Illinois,2011,1030,32.4
Mercer,Illinois,2010,1265,43.1
Mercer,Illinois,2009,1212,35.3
Mercer,Illinois,2008,1306,41.3
Mercer,Illinois,2007,1116,38.1
Mercer,Illinois,2006,1137,36.5
Mercer,Illinois,2005,841,34.6
Mercer,Illinois,2004,844,31.7
Mercer,Illinois,2003,713,9.6
Mercer,Illinois,2002,1036,12
Mercer,Illinois,2001,693,14
Mercer,Illinois,2000,572,12.4
Mercer,Illinois,1999,558,15.7
Mercer,Illinois,1998,594,16
Mercer,Illinois,1997,475,11
Mercer,Illinois,1996,509,14
Mercer,Illinois,1995,437,9
Mercer,Illinois,1994,454.8,13.8
Mercer,Illinois,1993,472.5,18.5
Mercer,Illinois,1992,490.3,23.3
Mercer,Illinois,1991,508,28
Mercer,Illinois,1990,429,13.5
Mercer,Illinois,1989,404,14
Mercer,Illinois,1988,293,8
Mercer,Illinois,1987,277,8
Mercer,Illinois,1986,261,7
Mercer,Illinois,1985,307,6
Mercer,Illinois,1984,290,6
Mercer,Illinois,1983,368,8
Mercer,Illinois,1982,423,9
Mercer,Illinois,1981,350,7
