county,state,year,number_of_inmates_booked,average_daily_population
McDonough,Illinois,2016,1498,36.9
McDonough,Illinois,2015,1691,40.9
McDonough,Illinois,2014,2056,39
McDonough,Illinois,2013,2609,39.9
McDonough,Illinois,2012,1768,34.6
McDonough,Illinois,2011,1833,40.2
McDonough,Illinois,2010,1846,40.1
McDonough,Illinois,2009,1792,36
McDonough,Illinois,2008,1807,44.4
McDonough,Illinois,2007,1678,36
McDonough,Illinois,2006,1411,31.3
McDonough,Illinois,2005,1435,26.6
McDonough,Illinois,2004,1457,37.1
McDonough,Illinois,2003,1469,32.6
McDonough,Illinois,2002,912,29.8
McDonough,Illinois,2001,852,29.7
McDonough,Illinois,2000,975,29.3
McDonough,Illinois,1999,809,25.7
McDonough,Illinois,1998,872,21
McDonough,Illinois,1997,642,21
McDonough,Illinois,1996,517,15
McDonough,Illinois,1995,478,14
McDonough,Illinois,1994,479,15.8
McDonough,Illinois,1993,480,17.5
McDonough,Illinois,1992,481,19.3
McDonough,Illinois,1991,482,21
McDonough,Illinois,1990,450,14.1
McDonough,Illinois,1989,440,16
McDonough,Illinois,1988,506,15
McDonough,Illinois,1987,540,18
McDonough,Illinois,1986,616,17
McDonough,Illinois,1985,479,16
McDonough,Illinois,1984,452,14
McDonough,Illinois,1983,535,13
McDonough,Illinois,1982,382,10
McDonough,Illinois,1981,394,9
