county,state,year,number_of_inmates_booked,average_daily_population
Moultrie,Illinois,2016,165,8.8
Moultrie,Illinois,2015,160,7.9
Moultrie,Illinois,2014,261,11
Moultrie,Illinois,2013,347,10.9
Moultrie,Illinois,2012,355,28.2
Moultrie,Illinois,2011,171,26.9
Moultrie,Illinois,2010,181,33.7
Moultrie,Illinois,2009,259,22.5
Moultrie,Illinois,2008,234,14.8
Moultrie,Illinois,2007,224,11.2
Moultrie,Illinois,2006,264,13
Moultrie,Illinois,2005,250,13.7
Moultrie,Illinois,2004,257,13.6
Moultrie,Illinois,2003,261,17.8
Moultrie,Illinois,2002,214,12.5
Moultrie,Illinois,2001,211,12.8
Moultrie,Illinois,2000,189,16.1
Moultrie,Illinois,1999,317,13.5
Moultrie,Illinois,1998,172,12
Moultrie,Illinois,1997,152,12
Moultrie,Illinois,1996,119,6
Moultrie,Illinois,1995,162,9
Moultrie,Illinois,1994,152.3,8.8
Moultrie,Illinois,1993,142.5,8.5
Moultrie,Illinois,1992,132.8,8.3
Moultrie,Illinois,1991,123,8
Moultrie,Illinois,1990,224,6.7
Moultrie,Illinois,1989,195,7
Moultrie,Illinois,1988,181,9
Moultrie,Illinois,1987,118,5
Moultrie,Illinois,1986,98,4
Moultrie,Illinois,1985,93,6
Moultrie,Illinois,1984,102,5
Moultrie,Illinois,1983,142,4
Moultrie,Illinois,1982,128,5
Moultrie,Illinois,1981,217,7
