county,state,year,number_of_inmates_booked,average_daily_population
Richland,Illinois,2016,766,22
Richland,Illinois,2015,846,27.2
Richland,Illinois,2014,927,31.9
Richland,Illinois,2013,949,28.5
Richland,Illinois,2012,838,30.9
Richland,Illinois,2011,822,23.6
Richland,Illinois,2010,985,28.5
Richland,Illinois,2009,1014,26.8
Richland,Illinois,2008,984,21.4
Richland,Illinois,2007,929,26.5
Richland,Illinois,2006,841,21.3
Richland,Illinois,2005,871,19.3
Richland,Illinois,2004,961,21.3
Richland,Illinois,2003,905,17.5
Richland,Illinois,2002,888,16.3
Richland,Illinois,2001,781,18.3
Richland,Illinois,2000,739,13.4
Richland,Illinois,1999,628,10.4
Richland,Illinois,1998,638,11
Richland,Illinois,1997,595,15
Richland,Illinois,1996,578,12
Richland,Illinois,1995,430,12
Richland,Illinois,1994,411,11.8
Richland,Illinois,1993,392,11.5
Richland,Illinois,1992,373,11.3
Richland,Illinois,1991,354,11
Richland,Illinois,1990,314,9.6
Richland,Illinois,1989,340,9
Richland,Illinois,1988,326,7
Richland,Illinois,1987,336,9
Richland,Illinois,1986,407,9
Richland,Illinois,1985,404,7
Richland,Illinois,1984,291,5
Richland,Illinois,1983,421,6
Richland,Illinois,1982,652,7
Richland,Illinois,1981,755,7
