county,state,year,num_pretrial_felons,num_convicted_felons,num_convicted_felony_sentenced_jail,num_parole_violators,num_parole_violators_new_charge,num_pretrial_misdemeanor,num_convicted_misdemeanor,num_bench_warrants,num_federal,num_pretrial_state_jail_felons,num_convicted_state_jail_felons_to_county_jail_time,num_convicted_state_jail_felons_to_state_jail_time,total_others,total_local,total_contract,total_population,total_capacity,percent_of_capacity,available_beds,num_pregnant_women,num_of_immigrant_detainer_inmates,num_of_immigrant_detainer_inmate_days,immigrant_detainer_cost_in_dollars
Red River,Texas,2017-12-01,8,11,0,0,1,8,1,1,0,2,0,0,1,33,0,33,95,34.74,53,,,,
Red River,Texas,2017-11-01,8,13,2,0,1,7,2,1,0,2,0,3,1,40,0,40,95,42.11,46,0,0,0,0
Red River,Texas,2017-10-01,13,9,1,0,2,5,1,1,0,4,0,1,1,38,0,38,95,40,48,0,0,0,0
Red River,Texas,2017-09-01,16,10,1,2,3,4,2,2,0,5,0,0,0,45,0,45,95,47.37,41,0,0,0,0
Red River,Texas,2017-08-01,18,6,2,2,5,0,3,1,0,5,0,0,1,43,0,43,95,45.26,43,1,0,0,0
Red River,Texas,2017-07-01,13,6,4,3,5,7,1,0,0,6,0,0,1,46,0,46,95,48.42,40,0,0,0,0
Red River,Texas,2017-06-01,12,8,2,0,4,4,1,1,0,7,0,3,0,42,0,42,95,44.21,44,1,1,10,240.3
Red River,Texas,2017-05-01,18,3,1,2,3,3,2,3,0,4,0,2,1,42,0,42,95,44.21,44,0,1,30,720.9
Red River,Texas,2017-04-01,11,2,0,2,2,3,2,0,0,2,0,3,1,28,0,28,95,29.47,58,0,1,31,744.93
Red River,Texas,2017-03-01,15,6,0,1,3,2,3,1,0,3,0,2,1,37,0,37,95,38.95,49,0,1,28,672.84
Red River,Texas,2017-02-01,20,3,0,2,2,1,3,1,0,4,0,1,1,38,0,38,95,40,48,0,3,84,2018.52
Red River,Texas,2017-01-01,18,5,0,3,1,2,5,0,0,1,0,2,2,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-12-01,19,2,0,2,2,5,6,0,0,3,0,2,1,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-11-01,21,1,0,0,2,10,5,0,0,6,0,1,1,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-10-01,13,7,0,1,2,4,5,1,0,3,0,2,2,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-09-01,16,6,1,0,2,4,4,1,0,2,0,6,0,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-08-01,23,4,2,0,0,6,2,1,0,5,0,2,0,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-07-01,15,4,1,0,1,9,1,0,0,5,0,4,0,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-06-01,13,9,0,0,1,5,0,0,0,4,0,3,0,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-05-01,12,6,0,0,1,3,0,0,0,3,0,2,0,0,0,0,95,0,86,0,0,0,0
Red River,Texas,2016-04-01,16,1,0,3,2,4,1,0,0,3,0,1,0,0,0,0,95,0,86,0,2,29,696.87
Red River,Texas,2016-03-01,15,3,0,3,1,2,3,0,0,3,0,0,0,30,0,30,95,31.58,56,1,2,58,1393.74
Red River,Texas,2016-02-01,18,2,2,2,1,2,2,0,0,2,0,0,0,31,0,31,95,32.63,55,1,3,84,2018.52
Red River,Texas,2016-01-01,6,5,1,0,1,5,2,0,0,2,0,3,0,25,0,25,95,26.32,61,1,3,93,2234.79
Red River,Texas,2015-12-01,7,4,2,1,0,6,1,1,0,4,0,3,0,29,0,29,95,30.53,57,0,4,48,1153.44
Red River,Texas,2015-11-01,8,5,1,2,1,3,2,2,0,4,0,0,1,29,0,29,95,30.53,57,0,1,31,744.93
Red River,Texas,2015-10-01,9,7,0,1,2,6,2,2,0,4,0,7,0,40,0,40,95,42.11,46,0,2,40,961.2
Red River,Texas,2015-09-01,18,2,1,2,2,5,1,1,0,8,0,2,1,43,0,43,95,45.26,43,0,2,62,1489.86
Red River,Texas,2015-08-01,11,3,1,0,2,5,1,2,0,8,0,0,0,33,0,33,95,34.74,53,0,2,62,1489.86
Red River,Texas,2015-07-01,9,2,2,5,1,7,2,2,0,7,0,1,3,41,0,41,95,43.16,45,2,2,60,1441.8
Red River,Texas,2015-06-01,10,4,2,0,2,9,2,1,0,6,0,2,0,38,0,38,95,40,48,0,2,62,1489.86
Red River,Texas,2015-05-01,10,3,0,1,2,3,4,1,0,6,0,2,1,33,0,33,95,34.74,53,1,2,46,1105.38
Red River,Texas,2015-04-01,8,10,0,1,1,6,1,1,0,2,0,3,0,33,0,33,95,34.74,53,0,1,31,744.93
Red River,Texas,2015-03-01,9,8,0,0,2,5,3,1,0,6,0,1,1,36,0,36,95,37.89,50,0,0,28,672.84
Red River,Texas,2015-02-01,6,14,0,2,2,6,2,0,0,4,0,1,1,38,0,38,95,40,48,0,1,31,744.93
Red River,Texas,2015-01-01,12,11,1,0,2,6,1,0,0,3,0,2,0,38,0,38,95,40,48,0,1,31,744.93
Red River,Texas,2014-12-01,17,11,1,0,2,2,1,0,0,2,0,0,0,36,0,36,95,37.89,50,0,1,1,24.03
Red River,Texas,2014-11-01,16,8,0,0,5,4,4,0,0,1,0,2,0,40,0,40,95,42.11,46,0,0,0,0
Red River,Texas,2014-10-01,18,5,1,0,5,5,4,1,0,4,0,1,1,45,0,45,95,47.37,41,1,0,0,0
Red River,Texas,2014-09-01,17,5,1,2,4,4,4,0,0,6,0,2,2,47,0,47,95,49.47,39,0,0,0,0
Red River,Texas,2014-08-01,18,4,0,1,4,6,0,0,0,10,0,0,1,44,0,44,95,46.32,42,1,0,0,0
Red River,Texas,2014-07-01,15,8,0,2,4,8,0,0,0,10,0,1,0,48,0,48,95,50.53,38,0,0,0,0
Red River,Texas,2014-06-01,7,10,1,2,4,4,0,0,0,5,0,0,1,34,0,34,95,35.79,52,0,0,0,0
Red River,Texas,2014-05-01,10,6,2,1,4,6,2,0,0,6,0,1,0,38,0,38,95,40,48,1,0,0,0
Red River,Texas,2014-04-01,10,7,3,1,1,8,3,0,0,5,0,1,0,39,0,39,95,41.05,47,0,1,4,96.12
Red River,Texas,2014-03-01,11,4,1,0,0,8,1,3,0,4,0,1,0,33,0,33,95,34.74,53,0,0,0,0
Red River,Texas,2014-02-01,12,2,0,0,3,6,2,2,0,3,0,2,1,33,0,33,95,34.74,53,0,0,0,0
Red River,Texas,2014-01-01,8,5,1,0,3,7,0,0,5,5,0,0,0,29,5,34,95,35.79,52,2,1,5,120.15
Red River,Texas,2013-12-01,6,3,2,2,4,7,2,1,5,3,0,2,3,35,5,40,95,42.11,46,0,1,19,456.57
Red River,Texas,2013-11-01,12,1,0,2,3,6,3,0,6,2,0,0,1,30,6,36,95,37.89,50,1,0,0,0
Red River,Texas,2013-10-01,10,1,2,1,3,7,2,0,6,1,0,0,2,29,6,35,95,36.84,51,1,0,0,0
Red River,Texas,2013-09-01,9,1,1,0,2,9,2,0,4,3,0,0,2,29,4,33,95,34.74,53,1,0,0,0
Red River,Texas,2013-08-01,16,2,1,0,4,5,3,1,6,4,0,0,1,37,6,43,95,45.26,43,0,0,0,0
Red River,Texas,2013-07-01,20,3,1,0,3,4,7,1,6,2,0,0,1,42,6,48,95,50.53,38,0,0,0,0
Red River,Texas,2013-06-01,12,2,1,0,6,7,6,0,4,3,0,0,0,37,4,41,95,43.16,45,0,1,30,720.9
Red River,Texas,2013-05-01,16,3,1,0,4,5,9,0,4,1,0,0,2,41,4,45,95,47.37,41,3,1,30,720.9
Red River,Texas,2013-04-01,13,3,0,2,5,5,6,1,5,1,0,0,0,36,5,41,95,43.16,45,1,1,17,408.51
Red River,Texas,2013-03-01,10,5,1,0,3,5,3,1,3,0,0,1,1,30,3,33,95,34.74,53,0,0,0,0
Red River,Texas,2013-02-01,13,7,0,1,2,7,4,0,3,0,0,0,0,34,3,37,95,38.95,49,0,0,0,0
Red River,Texas,2013-01-01,14,9,0,0,3,4,0,0,4,0,1,1,0,32,4,36,95,37.89,50,0,0,0,0
Red River,Texas,2012-12-01,14,3,0,0,3,7,2,0,5,1,1,2,0,33,5,38,95,40,48,2,0,0,0
Red River,Texas,2012-11-01,16,1,0,1,3,8,1,0,5,5,1,0,1,37,5,42,95,44.21,44,0,0,0,0
Red River,Texas,2012-10-01,13,6,0,2,0,5,1,1,4,2,1,0,3,34,4,38,95,40,48,2,0,0,0
Red River,Texas,2012-09-01,8,2,0,1,0,4,3,2,2,1,1,0,1,23,2,25,95,26.32,61,2,1,2,48.06
Red River,Texas,2012-08-01,10,1,0,0,2,8,3,0,2,3,0,1,2,30,2,32,95,33.68,54,0,1,31,744.93
Red River,Texas,2012-07-01,7,3,1,0,3,4,4,0,1,0,0,3,1,26,1,27,95,28.42,59,1,2,25,600.75
Red River,Texas,2012-06-01,12,4,0,0,2,10,4,0,4,3,0,1,2,38,4,42,95,44.21,44,1,5,22,528.66
Red River,Texas,2012-05-01,7,3,0,0,3,10,4,0,4,6,0,0,1,34,4,38,95,40,48,1,1,30,720.9
Red River,Texas,2012-04-01,5,8,0,0,4,7,0,1,0,0,0,1,0,26,0,26,95,27.37,60,0,1,31,744.93
Red River,Texas,2012-03-01,9,6,1,0,2,8,3,0,0,4,0,0,0,33,0,33,95,34.74,53,0,1,10,240.3
Red River,Texas,2012-02-01,10,4,1,1,1,13,4,0,0,3,0,0,0,37,0,37,95,38.95,49,0,1,18,432.54
Red River,Texas,2012-01-01,8,4,0,0,2,12,2,1,0,2,0,0,1,32,0,32,95,33.68,54,0,2,29,696.87
Red River,Texas,2011-12-01,6,2,5,0,3,6,3,0,0,2,0,0,0,27,0,27,95,28.42,59,,1,6,144.18
Red River,Texas,2011-11-01,11,4,6,1,2,9,2,0,0,4,0,0,1,40,0,40,95,42.11,46,,0,0,0
Red River,Texas,2011-10-01,12,5,3,0,2,9,1,1,0,8,0,0,0,41,0,41,95,43.16,45,,0,0,0
Red River,Texas,2011-09-01,9,3,4,0,1,5,1,2,0,3,0,1,0,29,0,29,95,30.53,57,,,,
Red River,Texas,2011-08-01,12,6,3,0,1,3,5,0,0,3,0,2,0,35,0,35,95,36.84,51,,,,
Red River,Texas,2011-07-01,11,4,3,0,0,8,1,0,0,1,0,2,0,30,0,30,95,31.58,56,,,,
Red River,Texas,2011-06-01,14,4,5,2,0,4,3,1,0,3,0,0,0,36,0,36,95,37.89,50,,,,
Red River,Texas,2011-05-01,14,3,2,2,0,4,1,1,0,3,0,4,0,34,0,34,95,35.79,52,,,,
Red River,Texas,2011-04-01,13,6,2,3,0,9,1,0,0,1,0,0,0,35,0,35,95,36.84,51,,,,
Red River,Texas,2011-03-01,15,6,2,2,1,7,0,0,0,1,1,0,0,35,0,35,95,36.84,51,,,,
Red River,Texas,2011-02-01,13,6,4,2,2,7,1,0,0,1,1,1,0,38,0,38,95,40,48,,,,
Red River,Texas,2011-01-01,12,8,4,2,1,8,3,1,0,3,1,0,0,43,0,43,95,45.26,43,,,,
Red River,Texas,2010-12-01,15,6,5,1,1,6,7,0,0,6,1,0,1,49,0,49,95,51.58,37,,,,
Red River,Texas,2010-11-01,21,5,4,0,1,7,7,0,0,4,1,0,2,52,0,52,95,54.74,33.5,,,,
Red River,Texas,2010-10-01,15,3,1,0,2,8,6,1,0,10,0,0,1,47,0,47,95,49.47,39,,,,
Red River,Texas,2010-09-01,14,1,1,0,2,7,3,0,0,5,0,0,1,34,0,34,95,35.79,52,,,,
Red River,Texas,2010-08-01,15,5,3,0,2,6,4,1,0,10,0,1,3,50,0,50,95,52.63,36,,,,
Red River,Texas,2010-07-01,21,5,5,1,3,11,3,0,0,5,0,1,1,56,0,56,95,58.95,30,,,,
Red River,Texas,2010-06-01,17,0,6,2,4,11,7,0,0,4,0,1,6,58,25,83,95,87.37,0,,,,
Red River,Texas,2010-05-01,11,0,4,2,2,7,3,0,0,4,0,1,0,34,0,34,95,35.79,52,,,,
Red River,Texas,2010-04-01,14,0,2,1,2,4,5,0,0,1,0,0,1,30,0,30,95,31.58,56,,,,
Red River,Texas,2010-03-01,12,3,1,1,1,6,7,0,0,3,0,0,3,37,0,37,95,38.95,49,,,,
Red River,Texas,2010-02-01,10,2,2,0,1,11,3,0,0,2,0,0,3,34,0,34,95,35.79,52,,,,
Red River,Texas,2010-01-01,9,1,2,2,3,5,3,1,0,3,0,1,0,30,0,30,95,31.58,56,,,,
Red River,Texas,2009-12-01,8,2,1,1,2,5,5,1,0,4,0,0,0,29,0,29,95,30.53,57,,,,
Red River,Texas,2009-11-01,8,0,2,1,3,8,5,1,0,4,0,1,0,33,0,33,95,34.74,53,,,,
Red River,Texas,2009-10-01,7,3,2,1,2,3,5,2,0,5,0,0,0,30,0,30,95,31.58,56,,,,
Red River,Texas,2009-09-01,7,8,0,2,2,1,4,1,55,8,0,1,0,34,55,89,95,93.68,0,,,,
Red River,Texas,2009-08-01,7,3,0,2,2,4,8,1,48,7,1,1,1,37,48,85,95,89.47,0,,,,
Red River,Texas,2009-07-01,9,3,0,1,3,8,7,3,41,9,1,0,0,44,41,85,95,89.47,0,,,,
Red River,Texas,2009-06-01,10,6,0,3,2,4,7,1,0,4,1,0,0,38,0,38,95,40,48,,,,
Red River,Texas,2009-05-01,8,5,0,1,2,9,4,0,31,4,1,0,1,35,31,66,95,69.47,20,,,,
Red River,Texas,2009-04-01,13,3,0,0,1,5,6,0,35,6,1,0,3,38,35,73,95,76.84,13,,,,
Red River,Texas,2009-03-01,11,2,0,0,1,6,2,0,25,2,1,0,0,25,25,50,95,52.63,36,,,,
Red River,Texas,2009-02-01,9,3,0,0,1,10,1,0,25,4,1,0,1,30,25,55,95,57.89,31,,,,
Red River,Texas,2009-01-01,12,2,0,0,1,6,0,0,36,5,1,0,0,27,36,63,95,66.32,23,,,,
Red River,Texas,2008-12-01,12,4,0,1,1,9,6,1,28,5,0,0,0,39,28,67,96,69.79,19,,,,
Red River,Texas,2008-11-01,14,4,0,1,1,7,9,1,26,8,0,0,0,39,26,65,96,67.71,21,,,,
Red River,Texas,2008-10-01,11,4,1,2,1,12,4,1,40,,4,0,0,2,42,40,82,96,85.42,,,,
Red River,Texas,2008-09-01,13,6,0,1,0,10,4,1,42,1,0,0,0,36,42,78,96,81.25,0,,,,
Red River,Texas,2008-08-01,17,4,0,2,0,10,2,0,45,3,0,0,1,39,46,85,96,88.54,0,,,,
Red River,Texas,2008-07-01,14,6,0,0,0,7,3,0,45,1,0,0,4,35,45,80,96,83.33,0,,,,
Red River,Texas,2008-06-01,19,1,1,0,1,7,2,0,45,3,0,0,0,34,45,79,96,82.29,0,,,,
Red River,Texas,2008-05-01,13,8,1,3,1,3,3,1,38,3,0,0,0,36,38,74,96,77.08,12,,,,
Red River,Texas,2008-04-01,15,5,0,3,1,5,1,0,32,5,0,0,0,35,32,67,96,69.79,19,,,,
Red River,Texas,2008-03-01,16,0,0,1,1,4,0,0,40,3,0,0,1,26,40,66,96,68.75,20,,,,
Red River,Texas,2008-02-01,13,0,0,0,1,3,0,2,45,2,0,0,0,21,45,66,96,68.75,20,,,,
Red River,Texas,2008-01-01,12,1,1,2,1,12,1,0,44,1,0,1,1,33,44,77,96,80.21,0,,,,
Red River,Texas,2007-12-01,13,1,1,1,1,8,5,2,39,0,0,1,0,32,39,71,96,73.96,15,,,,
Red River,Texas,2007-11-01,16,1,2,1,0,2,4,3,46,0,0,0,1,29,46,75,96,78.13,11,,,,
Red River,Texas,2007-10-01,17,3,1,2,1,6,2,0,49,1,0,0,0,32,49,81,96,84.38,0,,,,
Red River,Texas,2007-09-01,14,12,1,0,1,5,1,0,43,3,0,0,0,36,43,79,96,82.29,0,,,,
Red River,Texas,2007-08-01,17,8,1,3,1,4,3,0,42,5,0,1,0,42,42,84,96,87.5,0,,,,
