county,state,year,number_of_inmates_booked,average_daily_population
Coles,Illinois,2016,1523,102.6
Coles,Illinois,2015,1634,105.9
Coles,Illinois,2014,1578,105.6
Coles,Illinois,2013,1510,84.7
Coles,Illinois,2012,1764,90
Coles,Illinois,2011,1798,112.2
Coles,Illinois,2010,1763,100.3
Coles,Illinois,2009,2026,97.7
Coles,Illinois,2008,1845,92.8
Coles,Illinois,2007,1803,103.9
Coles,Illinois,2006,1886,122.4
Coles,Illinois,2005,1786,112.2
Coles,Illinois,2004,2159,129.4
Coles,Illinois,2003,2243,122.7
Coles,Illinois,2002,2439,142.3
Coles,Illinois,2001,2383,133.9
Coles,Illinois,2000,2370,118.9
Coles,Illinois,1999,1921,109
Coles,Illinois,1998,1687,76
Coles,Illinois,1997,1833,100
Coles,Illinois,1996,2630,119
Coles,Illinois,1995,2615,116
Coles,Illinois,1994,2213.8,99.5
Coles,Illinois,1993,1812.5,83
Coles,Illinois,1992,1411.3,66.5
Coles,Illinois,1991,1010,50
Coles,Illinois,1990,1366,45.4
Coles,Illinois,1989,1364,35
Coles,Illinois,1988,1071,34
Coles,Illinois,1987,935,32
Coles,Illinois,1986,996,28
Coles,Illinois,1985,923,36
Coles,Illinois,1984,1045,31
Coles,Illinois,1983,1234,22
Coles,Illinois,1982,1232,24
Coles,Illinois,1981,1402,23
