county,state,year,number_of_inmates_booked,average_daily_population
Washington,Illinois,2016,568,17.7
Washington,Illinois,2015,547,16.2
Washington,Illinois,2014,393,16.4
Washington,Illinois,2013,516,23.1
Washington,Illinois,2012,481,17.8
Washington,Illinois,2011,473,19.1
Washington,Illinois,2010,653,17.1
Washington,Illinois,2009,616,18.6
Washington,Illinois,2008,555,21
Washington,Illinois,2007,652,16
Washington,Illinois,2006,697,11.9
Washington,Illinois,2005,614,13.7
Washington,Illinois,2004,663,11.2
Washington,Illinois,2003,690,11.6
Washington,Illinois,2002,754,11.2
Washington,Illinois,2001,705,12.3
Washington,Illinois,2000,799,13.1
Washington,Illinois,1999,850,18.6
Washington,Illinois,1998,719,19
Washington,Illinois,1997,531,15
Washington,Illinois,1996,500,11
Washington,Illinois,1995,445,7
Washington,Illinois,1994,414.8,6.5
Washington,Illinois,1993,384.5,6
Washington,Illinois,1992,354.3,5.5
Washington,Illinois,1991,324,5
Washington,Illinois,1990,339,5
Washington,Illinois,1989,298,6
Washington,Illinois,1988,183,4
Washington,Illinois,1987,161,4
Washington,Illinois,1986,108,3
Washington,Illinois,1985,175,5
Washington,Illinois,1984,137,2
Washington,Illinois,1983,147,3
Washington,Illinois,1982,87,2
Washington,Illinois,1981,118,2
