county,state,year,number_of_inmates_booked,average_daily_population
Kane,Illinois,2016,4350,501.5
Kane,Illinois,2015,4702,534.4
Kane,Illinois,2014,5018,644.5
Kane,Illinois,2013,5081,644.5
Kane,Illinois,2012,5973,664.2
Kane,Illinois,2011,7063,679.1
Kane,Illinois,2010,8206,663.9
Kane,Illinois,2009,8305,626.8
Kane,Illinois,2008,8735,561.5
Kane,Illinois,2007,8769,452.8
Kane,Illinois,2006,8585,445.5
Kane,Illinois,2005,7974,438.9
Kane,Illinois,2004,8145,434.5
Kane,Illinois,2003,8034,508.1
Kane,Illinois,2002,7795,623.9
Kane,Illinois,2001,6266,466.1
Kane,Illinois,2000,7138,527.2
Kane,Illinois,1999,6542,491.5
Kane,Illinois,1998,5595,455
Kane,Illinois,1997,5502,476
Kane,Illinois,1996,5032,430
Kane,Illinois,1995,4541,444
Kane,Illinois,1994,4333.5,407
Kane,Illinois,1993,4126,370
Kane,Illinois,1992,3918.5,333
Kane,Illinois,1991,3711,296
Kane,Illinois,1990,6550,270.9
Kane,Illinois,1989,5239,208
Kane,Illinois,1988,5075,110
Kane,Illinois,1987,3660,148
Kane,Illinois,1986,5096,136
Kane,Illinois,1985,4778,98
Kane,Illinois,1984,4193,92
Kane,Illinois,1983,4485,105
Kane,Illinois,1982,4142,85
Kane,Illinois,1981,3217,91
