county,state,year,number_of_inmates_booked,average_daily_population
Sangamon,Illinois,2016,8225,262.1
Sangamon,Illinois,2015,8623,260.4
Sangamon,Illinois,2014,9355,327.8
Sangamon,Illinois,2013,9705,352.7
Sangamon,Illinois,2012,10151,358.2
Sangamon,Illinois,2011,10780,330.3
Sangamon,Illinois,2010,10522,309.3
Sangamon,Illinois,2009,12106,320.5
Sangamon,Illinois,2008,12510,357.2
Sangamon,Illinois,2007,13018,376.7
Sangamon,Illinois,2006,12487,399.4
Sangamon,Illinois,2005,12817,399
Sangamon,Illinois,2004,12527,371.6
Sangamon,Illinois,2003,12353,332.8
Sangamon,Illinois,2002,13085,331
Sangamon,Illinois,2001,12179,282.4
Sangamon,Illinois,2000,13110,264
Sangamon,Illinois,1999,12772,257.5
Sangamon,Illinois,1998,13586,281
Sangamon,Illinois,1997,13936,255
Sangamon,Illinois,1996,12714,231
Sangamon,Illinois,1995,11771,202
Sangamon,Illinois,1994,11404.3,194
Sangamon,Illinois,1993,11037.5,186
Sangamon,Illinois,1992,10670.8,178
Sangamon,Illinois,1991,10304,170
Sangamon,Illinois,1990,9363,134
Sangamon,Illinois,1989,8088,104
Sangamon,Illinois,1988,5792,91
Sangamon,Illinois,1987,6915,102
Sangamon,Illinois,1986,6652,104
Sangamon,Illinois,1985,7291,120
Sangamon,Illinois,1984,7044,94
Sangamon,Illinois,1983,7152,122
Sangamon,Illinois,1982,6191,101
Sangamon,Illinois,1981,3768,75
